Accession,Sample_id,Country,Year,Species,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,ybt_context,Colibactin,Aerobactin,iuc,Salmochelin,iro,rmpA,rmpA2,peg-344_id,peg-344-cov,peg-344,AGly,Col,Fcyn,Flq,Gly,MLS,Ntmdz,Phe,Rif,Sul,Tet,Tmt,Bla,Bla_Carb,Bla_ESBL,Bla_broad,Bla_broad_inhR,Kaptive_best_match_Klocus,Kaptive_Klocus_match_confidence,wzi,wzi_predicted_Klocus,final_KLocus_call,Kaptive_best_match_Olocus,Kaptive_Olocus_match_confidence,Final_OLocus_call,Predicted_O_type,100_SNV_cluster,multi_country_100_SNV_cluster,25_SNV_cluster,isolation_source
ERS1867380,A1516666,Laos,2015,Klebsiella pneumoniae,ST15,1,1,7,18,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,Aac3-IId*;StrB;StrA*;Aph3-Ia*;AadA16*,-,-,QnrB2*;GyrA-83F;GyrA-87A;ParC-80I,-,MphA,-,FloR*,Arr3,SulII;SulI,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Very high,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,136,blood
ERS1867381,1675489,Laos,2015,Klebsiella pneumoniae,ST76-1LV,1,1,6,9,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,-,-,-,SulII,TetA,DfrA14,SHV-132;AmpH*;OXA-1,-,CTX-M-15,-,TEM-30*,KL10,Very high,100,na,KL10,O3/O3a,Very high,O3/O3a,O3/O3a,88,no,117,blood
ERS1867382,1675485,Laos,2015,Klebsiella pneumoniae,ST65,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-11,-,KL2,Very high,72,na,KL2,O1v2,Very high,O1v2,O1,86,yes,singleton,blood
ERS1867383,1690095,Laos,2015,Klebsiella pneumoniae,ST101,0,1,2,10,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA*,-,-,Qnr-S1;QnrB1?,-,-,-,-,-,SulII,TetA,DfrA14,AmpH*;SHV-1;LAP-2;OXA-1,-,CTX-M-15;CTX-M-27,-,TEM-30*,KL17,Very high,137,na,KL17,O1v1,Very high,O1v1,O1,1,yes,singleton,blood
ERS1867384,1690084,Laos,2015,Klebsiella pneumoniae,ST1787,1,1,8,15,1,unknown,0,0,none,none,0,-,-,-,-,0,AadA16*;StrB;StrA*;Aph3-Ia,-,-,QnrB1?,-,MphA,-,CatA2*,Arr3,SulI;SulII*,TetA,DfrA27;DfrA14,SHV-172*;AmpH*;OXA-1,-,CTX-M-15,TEM-135*,-,KL148,Very high,325,na,KL148,O1v2,Very high,O1v2,O1,not_tested,na,not_tested,blood
ERS1867385,1690093,Laos,2015,Klebsiella pneumoniae,ST29,1,2,11,10,1, ICEKp5,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IId*,-,-,QnrS2,-,-,-,FloR*,-,SulII,TetA?,DfrA14,AmpH*;SHV-187*,GES-13,CTX-M-3,-,-,KL30,Good,85,na,KL30,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867386,1675494,Laos,2015,Klebsiella pneumoniae,ST76-1LV,1,1,9,9,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,-,-,-,SulII,TetA,DfrA14,SHV-132;AmpH*;OXA-1,-,CTX-M-15,-,TEM-30*,KL10,Very high,100,na,KL10,O3/O3a,Very high,O3/O3a,O3/O3a,88,no,117,blood
ERS1867387,1675484,Laos,2015,Klebsiella pneumoniae,ST76-1LV,1,1,5,9,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,-,-,-,SulII,TetA,DfrA14,SHV-132;AmpH*;OXA-1,-,CTX-M-15,-,TEM-30*,KL10,Very high,100,na,KL10,O3/O3a,Very high,O3/O3a,O3/O3a,88,no,117,blood
ERS1867388,1675480,Laos,2015,Klebsiella pneumoniae,ST86,3,0,0,0,0,na,0,1,iuc 1,iro 1,1,rmpA_2*(KpVP-1),rmpA2_6,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,SHV-132;AmpH*,-,-,-,-,KL2,Very high,2,na,KL2,O1v1,Very high,O1v1,O1,singleton,no,singleton,blood
ERS1867389,1675475,Laos,2015,Klebsiella pneumoniae,ST520,0,1,6,8,0,na,0,0,none,none,0,-,-,-,-,0,AadA1-pm*?;AadA2;Aac3-IId*,-,-,Qnr-S1,-,-,-,CmlA1*,-,SulI*,TetD,-,AmpH*;LAP-2,-,SHV-2?,-,-,KL2,Very high,114,na,KL2,O1v2,Very high,O1v2,O1,not_tested,na,not_tested,blood
ERS1867390,1675488,Laos,2015,Klebsiella pneumoniae,ST111-1LV,0,0,1,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-11,-,KL63,Very high,63,na,KL63,O1v2,Very high,O1v2,O1,not_tested,na,not_tested,blood
ERS1867391,1675491,Laos,2015,Klebsiella pneumoniae,ST36,0,0,11,7,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA,-,-,-,-,-,-,CatA1*,-,SulII,TetD,DfrA5,AmpH*,-,-,SHV-11,-,KL102,Very high,173,na,KL102,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867392,16113032,Laos,2016,Klebsiella pneumoniae,ST86,3,0,0,0,0,na,0,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_2,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*;SHV-132,-,-,-,-,KL2,Very high,2,na,KL2,O1v1,Very high,O1v1,O1,singleton,no,singleton,blood
ERS1867393,1675482,Laos,2015,Klebsiella variicola,ST1903-1LV,0,0,0,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*;LEN-16,-,-,-,-,KL165,Reference strain,57*,na,KL165,O5,Very high,O5,O5,not_tested,na,not_tested,blood
ERS1867394,1675486,Laos,2015,Klebsiella pneumoniae,ST23,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH,-,-,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867395,A1616858,Laos,2016,Klebsiella pneumoniae,ST15,1,1,9,19,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,AadA16*;StrB;StrA*;Aac3-IId*;Aph3-Ia*,-,-,QnrB2*;ParC-80I;GyrA-83F;GyrA-87A,-,MphA,-,FloR*,Arr3,SulI;SulI;SulII,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Perfect,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,136,blood
ERS1867396,1676103,Laos,2015,Klebsiella quasipneumoniae subsp. similipneumoniae,ST283-3LV,0,0,2,2,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,TetA,-,AmpH*,-,-,OKP-B-2,-,KL10,High,443*,na,KL10,O5,High,O5,O5,not_tested,na,not_tested,blood
ERS1867398,1690099,Laos,2015,Klebsiella pneumoniae,ST15,1,1,9,12,1, ICEKp3,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?;ParC-80I;GyrA-83F;GyrA-87A,-,-,-,-,-,SulII,TetA,DfrA14,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Good,24,na,KL24,O1v1,Very high,O1v1,O1,singleton,no,singleton,blood
ERS1867399,A1516655,Laos,2015,Klebsiella pneumoniae,ST15,1,1,6,19,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IId*;Aph3-Ia*;AadA16*,-,-,QnrB2*;GyrA-83F;GyrA-87A;ParC-80I,-,MphA,-,FloR*,Arr3,SulII;SulI;SulI,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Perfect,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,136,blood
ERS1867400,1675493,Laos,2015,Klebsiella pneumoniae,ST152,0,0,0,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,SHV-132;AmpH*,-,-,-,-,KL52,Good,50,na,KL52,OL101,Low,unknown,unknown,singleton,no,singleton,blood
ERS1867401,1675478,Laos,2015,Klebsiella pneumoniae,ST592,3,0,1,1,0,na,0,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_6*,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,-,SHV-26,KL57,None,206,KL57,KL57,O3b,Good,O3b,O3b,82,yes,singleton,blood
ERS1867402,16114200,Laos,2016,Klebsiella pneumoniae,ST65,3,0,1,0,0,na,0,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-11,-,KL2,Very high,72,na,KL2,O1v2,Very high,O1v2,O1,86,yes,singleton,blood
ERS1867403,16114394,Laos,2016,Klebsiella pneumoniae,ST1,0,1,3,21,0,na,0,0,none,none,0,-,-,-,-,0,AadA16*?;StrB;StrA*;Aac3-IId*,Mcr1;Mcr3,-,QnrB2*;Qnr-S1;GyrA-83I;ParC-80I,-,ErmB*;MphA,-,FloR*,Arr3,SulI;SulI;SulII*,TetA*,DfrA27,SHV-132;AmpH*,-,CTX-M-55,-,TEM-30*,KL106,Very high,29,na,KL106,O1v2,Very high,O1v2,O1,not_tested,na,not_tested,blood
ERS1867404,1675496,Laos,2015,Klebsiella pneumoniae,ST23,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH,-,-,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,49,no,singleton,blood
ERS1867405,1690092,Laos,2015,Klebsiella pneumoniae,ST200,0,0,0,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*;SHV-132,-,-,-,-,KL23,Very high,83,na,KL23,O2v2,Very high,O2v2,O2,not_tested,na,not_tested,blood
ERS1867406,1623463,Laos,2016,Klebsiella pneumoniae,ST313-1LV,0,1,1,1,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,SHV-27,-,-,KL7,Very high,243,na,KL7,O2v1,Very high,O2v1,O2,not_tested,na,not_tested,blood
ERS1867407,A1616762,Laos,2016,Klebsiella pneumoniae,ST15,1,1,10,17,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;AadA16*;Aac3-IId*;Aph3-Ia*,-,-,GyrA-83F;GyrA-87A;ParC-80I,-,MphA,-,FloR*,Arr3,SulII;SulI,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Perfect,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,135,blood
ERS1867408,A1617160,Laos,2016,Klebsiella pneumoniae,ST1419-1LV,0,0,1,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-11,-,KL56,Very high,325,na,KL56,OL103,High,OL103,OL103,not_tested,na,not_tested,blood
ERS1867409,1623449,Laos,2016,Klebsiella pneumoniae,ST23,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH,-,-,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,49,no,77,blood
ERS1867410,16114608,Laos,2016,Klebsiella pneumoniae,ST966,0,0,6,7,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA,-,-,-,-,-,-,CatA1*,-,SulII,TetD,DfrA5,AmpH*,-,-,SHV-11,-,KL102,Very high,173,na,KL102,O2v1,High,O2v1,O2,not_tested,na,not_tested,blood
ERS1867411,A150019,Laos,2015,Klebsiella pneumoniae,ST15,1,1,10,19,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,AadA16*;StrB;StrA*;Aac3-IId*;Aph3-Ia*,-,-,QnrB2*;GyrA-83F;GyrA-87A;ParC-80I,-,MphA,-,FloR*,Arr3,SulI;SulI;SulII,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Perfect,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,135,blood
ERS1867412,16114661,Laos,2016,Klebsiella pneumoniae,ST23,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_6,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH,-,-,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867413,1690098,Laos,2015,Klebsiella pneumoniae,ST15,1,1,10,18,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IId*;AadA16*;Aph3-Ia*,-,-,QnrB2*;GyrA-83F;GyrA-87A;ParC-80I,-,MphA,-,FloR*,Arr3,SulII;SulI,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Perfect,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,135,blood
ERS1867414,1690101,Laos,2015,Klebsiella pneumoniae,ST23,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH,-,-,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,49,no,77,blood
ERS1867415,16113882,Laos,2016,Klebsiella pneumoniae,ST101,0,1,5,11,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IId*,-,-,Qnr-S1,-,-,-,-,-,SulI;SulII,TetA;TetD,DfrA1,AmpH*;SHV-1;LAP-2,-,CTX-M-14,-,TEM-30*,KL106,Good,29,na,KL106,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867416,LHC1608862-1,Laos,2016,Klebsiella pneumoniae,ST13,0,1,11,18,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;AadA1-pm*?;AadA2;Aac3-IId*;AadA16*?,-,-,QnrB17*,-,MphA,-,CmlA1*,Arr3,SulII*;SulI,TetA,DfrA16*;DfrA27,AmpH*,-,CTX-M-15,SHV-1,TEM-30*,KL3,Very high,40,na,KL3,O1v2,Very high,O1v2,O1,not_tested,na,not_tested,blood
ERS1867417,A1616822,Laos,2016,Klebsiella pneumoniae,ST15,1,1,10,19,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IId*;Aph3-Ia*;AadA16*,-,-,QnrB2*;ParC-80I;GyrA-83F;GyrA-87A,-,MphA,-,FloR*,Arr3,SulI;SulI;SulII,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Perfect,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,135,blood
ERS1867418,1623415,Laos,2016,Klebsiella pneumoniae,ST86,4,0,0,0,1, ICEKp4?,0,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),-,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*;SHV-132,-,-,-,-,KL2,Very high,2,na,KL2,O1v1,Very high,O1v1,O1,89,yes,singleton,blood
ERS1867419,16112578,Laos,2016,Klebsiella pneumoniae,ST412,3,0,1,1,0,na,0,1,iuc 1,iro 1,1,rmpA_2*(KpVP-1),rmpA2_2*,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-1,-,KL57,Very high,206,na,KL57,O3b,Very high,O3b,O3b,113,yes,singleton,blood
ERS1867420,16114343,Laos,2016,Klebsiella pneumoniae,ST23,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH,-,-,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,49,no,singleton,blood
ERS1867421,A1617166,Laos,2016,Klebsiella pneumoniae,ST23,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH,-,-,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867422,16114664,Laos,2016,Klebsiella pneumoniae,ST23,5,1,2,3,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,SulI*,-,DfrA14,AmpH,-,CTX-M-63,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,49,no,singleton,blood
ERS1867423,1690089,Laos,2015,Klebsiella pneumoniae,ST76-1LV,1,1,8,9,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,-,-,-,SulII,TetA,DfrA14,SHV-132;AmpH*;OXA-1,-,CTX-M-15,-,TEM-30*,KL10,Very high,100,na,KL10,O3/O3a,Very high,O3/O3a,O3/O3a,88,no,117,blood
ERS1867424,16114547,Laos,2016,Klebsiella pneumoniae,ST290,3,0,4,4,0,na,0,1,iuc 3,none,0,-,-,-,-,0,-,-,-,Qnr-S1,-,-,-,-,-,-,TetA*,-,AmpH*,-,-,SHV-1,TEM-30*,KL21,Very high,21,na,KL21,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
ERS1867425,A1616826,Laos,2016,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,0,1,4,4,0,na,0,0,none,none,0,-,-,-,-,0,Aac3-IId*,-,-,Qnr-S1,-,-,-,-,-,-,-,-,AmpH*;LAP-2,-,CTX-M-27,OKP-B-17?,-,KL103,Very high,337,na,KL103,O5,High,O5,O5,not_tested,na,not_tested,blood
ERS1867426,1623618,Laos,2016,Klebsiella pneumoniae,ST37,0,1,9,11,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IIa*;Aph3-Ia*,-,-,Qnr-S1,-,MphA*,-,-,-,SulII*,TetA,DfrA14,AmpH*;OXA-1,-,CTX-M-15,SHV-11,TEM-30*,KL15,Very high,50,na,KL15,O4,Very high,O4,O4,not_tested,na,not_tested,blood
ERS1867427,16112557,Laos,2016,Klebsiella pneumoniae,ST1192,0,0,0,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*;SHV-132,-,-,-,-,KL128,Very high,99,na,KL128,O3b,Very high,O3b,O3b,not_tested,na,not_tested,blood
ERS1867428,1690100,Laos,2015,Klebsiella pneumoniae,ST15,1,1,10,17,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;AadA16*;Aac3-IId*;Aph3-Ia*,-,-,GyrA-83F;GyrA-87A;ParC-80I,-,MphA,-,FloR*,Arr3,SulII;SulI,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Perfect,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,135,blood
ERS1867429,A1616823,Laos,2016,Klebsiella pneumoniae,ST15,1,1,7,18,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IId*;AadA16*;Aph3-Ia*,-,-,QnrB2*;GyrA-83F;GyrA-87A;ParC-80I,-,MphA,-,FloR*,Arr3,SulII;SulI,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Perfect,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,136,blood
ERS1867430,16114031,Laos,2016,Klebsiella pneumoniae,ST2188,0,1,1,1,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,SHV-27,-,-,KL136,Very high,123,na,KL136,O2v2,Very high,O2v2,O2,not_tested,na,not_tested,blood
ERS1867431,LHC1608923-1,Laos,2016,Klebsiella pneumoniae,ST59-3LV,0,0,1,1,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-32,-,KL45,Very high,286,na,KL45,O2v1,Good,O2v1,O2,not_tested,na,not_tested,blood
ERS1867432,A1616722,Laos,2015,Klebsiella pneumoniae,ST15,1,1,10,19,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,AadA16*;StrB;StrA*;Aac3-IId*;Aph3-Ia*,-,-,QnrB2*;ParC-80I;GyrA-83F;GyrA-87A,-,MphA,-,FloR*,Arr3,SulI;SulI;SulII,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Perfect,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,136,blood
ERS1867433,A156502,Laos,2015,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1224,0,0,1,1,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,OKP-B-2*,-,KL60,Very high,60*,na,KL60,O5,High,O5,O5,not_tested,na,not_tested,blood
ERS1867434,1675473,Laos,2015,Klebsiella pneumoniae,ST16,1,1,5,10,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,AadA2*,-,-,GyrA-83F;GyrA-87N;ParC-84K,-,MphA,-,-,-,SulI,-,DfrA12,AmpH*;OXA-1,-,CTX-M-15,SHV-1,TEM-30*,KL51,Very high,50,na,KL51,O3b,Very high,O3b,O3b,singleton,no,singleton,blood
ERS1867435,1675477,Laos,2015,Klebsiella pneumoniae,ST65,5,0,0,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,-,-,KL2,Very high,72,na,KL2,O1v2,Very high,O1v2,O1,86,yes,singleton,blood
ERS1867436,1623483,Laos,2016,Klebsiella pneumoniae,ST592,3,0,1,1,0,na,0,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5*,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,-,SHV-26,KL57,Good,206,na,KL57,O3b,Good,O3b,O3b,singleton,no,singleton,blood
ERS1867437,A1516566,Laos,2015,Klebsiella quasipneumoniae subsp. similipneumoniae,ST749-2LV,0,0,1,1,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,OKP-B-7*,-,KL57,High,407,na,KL57,O5,High,O5,O5,not_tested,na,not_tested,blood
ERS1867438,1623424,Laos,2016,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,0,1,4,4,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,GyrA-87N,-,-,-,-,-,-,-,DfrA5,AmpH*,-,SHV-2a,OKP-B-17?,-,KL103,Very high,337,na,KL103,O5,High,O5,O5,not_tested,na,not_tested,blood
ERS1867439,1690085,Laos,2015,Klebsiella pneumoniae,ST1787,1,1,9,15,1,unknown,0,0,none,none,0,-,-,-,-,0,AadA16*;StrB;StrA*;Aph3-Ia,-,-,QnrB1?,-,MphA,-,CatA2*,Arr3,SulI;SulII*,TetA,DfrA27;DfrA14,SHV-172*;AmpH*;OXA-1,-,CTX-M-15,-,TEM-30*,KL148,Very high,325,na,KL148,O1v2,Very high,O1v2,O1,not_tested,na,not_tested,blood
ERS1867440,V1,Hong Kong,2016,Klebsiella pneumoniae,ST1569,0,0,1,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-11,-,KL114,Very high,354,na,KL114,O3b,Very high,O3b,O3b,not_tested,na,not_tested,blood
ERS1867441,V2,Hong Kong,2016,Klebsiella pneumoniae,ST86,4,0,0,0,1, ICEKp12,0,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_4,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,SHV-132;AmpH*,-,-,-,-,KL2,Very high,2,na,KL2,O1/O2v1,Very high,O1/O2v1,unknown,singleton,no,singleton,blood
ERS1867442,V3,Hong Kong,2016,Klebsiella pneumoniae,ST152,0,0,0,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*;SHV-132,-,-,-,-,KL149,Very high,110,na,KL149,O4,Very high,O4,O4,singleton,no,singleton,blood
ERS1867443,V4,Hong Kong,2016,Klebsiella pneumoniae,ST23,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH,-,-,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867444,V5,Hong Kong,2016,Klebsiella pneumoniae,ST1117,1,0,1,1,1, ICEKp3,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-33,-,KL117,Very high,356,na,KL117,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
ERS1867445,V6,Hong Kong,2016,Klebsiella pneumoniae,ST45,4,1,7,12,1, ICEKp4,0,1,iuc 3,none,0,-,-,-,-,0,AadA16*?,-,-,QnrB2*;Qnr-S1,-,MphA,-,FloR,Arr3,SulI,TetA?,DfrA27,AmpH*,-,CTX-M-3,SHV-1,TEM-30*,KL62,Very high,149,na,KL62,O2v1,Very high,O2v1,O2,singleton,no,singleton,blood
ERS1867446,V7,Hong Kong,2016,Klebsiella pneumoniae,ST45,1,0,2,2,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,TetD,-,AmpH*,-,-,SHV-1*?,-,KL24,Good,101,na,KL24,O2v1,Very high,O2v1,O2,singleton,no,singleton,blood
ERS1867447,V8,Hong Kong,2016,Klebsiella pneumoniae,ST23,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_6*,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH,-,-,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867448,V9,Hong Kong,2016,Klebsiella pneumoniae,ST896,0,1,1,10,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA*,-,-,-,-,-,-,-,-,SulI;SulII,TetA;TetD,DfrA1,AmpH*,-,CTX-M-14,SHV-11,TEM-30*,KL3,Very high,59,na,KL3,O2v2,Very high,O2v2,O2,not_tested,na,not_tested,blood
ERS1867449,V10,Hong Kong,2016,Klebsiella pneumoniae,ST180,0,0,0,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,SHV-28*;AmpH*,-,-,-,-,KL54,Very high,115,na,KL54,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
