sr_sample_accession,sr_run_accession,refseq_sample,refseq_gcf_accession,duplicate_removed,in_bakrep_sheet,in_assembly_scan,bakrep_FINAL,bakrep_instrument_platform,bakrep_gtdbtk_species,bakrep_checkm2_completeness,bakrep_checkm2_contamination,bakrep_study_accession,kleborate_species,kleborate_species_match,kleborate_contig_count,kleborate_N50
SAMN28054360,SRR20082567,GCF_024734175.1_ASM2473417v1_genomic,GCF_024734175.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.07,PRJNA834640,Klebsiella pneumoniae,strong,170,238690
SAMN22822729,SRR18827909,GCF_023066605.1_ASM2306660v1_genomic,GCF_023066605.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.22,PRJNA776891,Klebsiella pneumoniae,strong,243,184732
SAMN04868736,SRR8607459,GCF_001701835.2_ASM170183v2_genomic,GCF_001701835.2,False,True,True,False,OXFORD_NANOPORE || ILLUMINA || OXFORD_NANOPORE || OXFORD_NANOPORE || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.14,PRJNA307517,Klebsiella pneumoniae,strong,184,203521
SAMN46544977,SRR33047874,GCF_051549765.1_ASM5154976v1_genomic,GCF_051549765.1,False,False,False,,,,,,,,,,
SAMN39724761,SRR27830828,GCF_037024235.1_ASM3702423v1_genomic,GCF_037024235.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.81,PRJNA1072014,Klebsiella pneumoniae,strong,206,246134
SAMN32542119,SRR22955762,GCF_040763085.1_ASM4076308v1_genomic,GCF_040763085.1,True,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.72,PRJNA803387 || PRJNA1071971,Klebsiella pneumoniae,strong,156,236767
SAMN22822719,SRR18827911,GCF_023066805.1_ASM2306680v1_genomic,GCF_023066805.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.19,PRJNA776891,Klebsiella pneumoniae,strong,283,160562
SAMN28054362,SRR20082565,GCF_024734195.1_ASM2473419v1_genomic,GCF_024734195.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.07,PRJNA834640,Klebsiella pneumoniae,strong,90,420197
SAMN14987945,SRR11880658,GCF_021498005.1_ASM2149800v1_genomic,GCF_021498005.1,False,False,False,,,,,,,,,,
SAMN32542124,SRR22955757,GCF_040763075.1_ASM4076307v1_genomic,GCF_040763075.1,True,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.15,PRJNA803387 || PRJNA1071971,Klebsiella pneumoniae,strong,107,270379
SAMN22024779,SRR16202852,GCF_020526085.1_ASM2052608v1_genomic,GCF_020526085.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella africana,100.0,0.04,PRJNA768294,Klebsiella africana,strong,70,371999
SAMN28174000,SRR19165525,GCF_024918835.1_ASM2491883v1_genomic,GCF_024918835.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.06,PRJNA836696,Klebsiella pneumoniae,strong,70,274926
SAMN22822722,SRR18827907,GCF_023066745.1_ASM2306674v1_genomic,GCF_023066745.1,True,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.2,PRJNA776891,Klebsiella pneumoniae,strong,231,158666
SAMN22822727,SRR18827902,GCF_023066645.1_ASM2306664v1_genomic,GCF_023066645.1,True,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.1,PRJNA776891,Klebsiella pneumoniae,strong,139,158860
SAMN22822728,SRR18827901,GCF_023066625.1_ASM2306662v1_genomic,GCF_023066625.1,True,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,1.37,PRJNA776891,Klebsiella pneumoniae,strong,161,185743
SAMN28173994,SRR19165493,GCF_024917435.1_ASM2491743v1_genomic,GCF_024917435.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.72,PRJNA836696,Klebsiella pneumoniae,strong,75,274156
SAMN22822721,SRR18827908,GCF_023066765.1_ASM2306676v1_genomic,GCF_023066765.1,True,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.2,PRJNA776891,Klebsiella pneumoniae,strong,282,160561
SAMN22822723,SRR18827906,GCF_023066725.1_ASM2306672v1_genomic,GCF_023066725.1,True,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.42,PRJNA776891,Klebsiella pneumoniae,strong,176,182420
SAMN22822725,SRR18827904,GCF_023066685.1_ASM2306668v1_genomic,GCF_023066685.1,True,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.28,PRJNA776891,Klebsiella pneumoniae,strong,175,151812
SAMN22822720,SRR18827910,GCF_023066785.1_ASM2306678v1_genomic,GCF_023066785.1,True,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.2,PRJNA776891,Klebsiella pneumoniae,strong,237,171661
SAMN21878873,SRR17212193,GCF_020410725.1_ASM2041072v1_genomic,GCF_020410725.1,False,False,False,,,,,,,,,,
SAMN28054359,SRR20082568,GCF_024734155.1_ASM2473415v1_genomic,GCF_024734155.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.08,PRJNA834640,Klebsiella pneumoniae,strong,176,238690
SAMN22822724,SRR18827905,GCF_023066705.1_ASM2306670v1_genomic,GCF_023066705.1,True,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.16,PRJNA776891,Klebsiella pneumoniae,strong,142,151812
SAMN22822726,SRR18827903,GCF_023066665.1_ASM2306666v1_genomic,GCF_023066665.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.47,PRJNA776891,Klebsiella pneumoniae,strong,177,151812
SAMN15437790,SRR12518021,GCF_022370035.1_ASM2237003v1_genomic,GCF_022370035.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,1.27,PRJNA643814,Klebsiella pneumoniae,strong,128,231117
SAMN15547569,SRR12233586,GCF_023703935.1_ASM2370393v1_genomic,GCF_023703935.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,80.51,PRJNA646592,Klebsiella pneumoniae,strong,174,156695
SAMN28404989,SRR19213009,GCF_023538995.1_ASM2353899v1_genomic,GCF_023538995.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.12,PRJNA838107,Klebsiella pneumoniae,strong,120,234346
SAMN16387630,SRR12811589,GCF_027595585.1_ASM2759558v1_genomic,GCF_027595585.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.49,PRJNA667445,Klebsiella pneumoniae,strong,122,301493
SAMN16387632,SRR12811584,GCF_027595605.1_ASM2759560v1_genomic,GCF_027595605.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.68,PRJNA667445,Klebsiella pneumoniae,strong,167,207781
SAMN28174098,SRR19165539,GCF_024917695.1_ASM2491769v1_genomic,GCF_024917695.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella quasipneumoniae,100.0,0.07,PRJNA836696,Klebsiella quasipneumoniae subsp. quasipneumoniae,strong,122,268767
SAMN16387621,SRR12811599,GCF_027595485.1_ASM2759548v1_genomic,GCF_027595485.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.08,PRJNA667445,Klebsiella pneumoniae,strong,160,220856
SAMN22024793,SRR16202846,GCF_020525645.1_ASM2052564v1_genomic,GCF_020525645.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.23,PRJNA768294,Klebsiella pneumoniae,strong,52,346106
SAMD00194355,DRR199191,GCF_014168655.1_ASM1416865v1_genomic,GCF_014168655.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.07,PRJDB6962,Klebsiella pneumoniae,strong,98,255854
SAMN40375161,SRR28329856,GCF_040518045.1_ASM4051804v1_genomic,GCF_040518045.1,False,False,False,,,,,,,,,,
SAMN28174070,SRR19165559,GCF_024917515.1_ASM2491751v1_genomic,GCF_024917515.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.22,PRJNA836696,Klebsiella pneumoniae,strong,83,307959
SAMN15148711,SRR11949275,GCF_013731305.1_ASM1373130v1_genomic,GCF_013731305.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.51,PRJNA605147,Klebsiella pneumoniae,strong,108,381313
SAMN28173983,SRR19165527,GCF_024918855.1_ASM2491885v1_genomic,GCF_024918855.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.26,PRJNA836696,Klebsiella pneumoniae,strong,85,252407
SAMN16387635,SRR12811578,GCF_027595645.1_ASM2759564v1_genomic,GCF_027595645.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.66,PRJNA667445,Klebsiella pneumoniae,strong,157,249680
SAMN28173997,SRR19165516,GCF_024917935.1_ASM2491793v1_genomic,GCF_024917935.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.14,PRJNA836696,Klebsiella pneumoniae,strong,86,276404
SAMN31654601,SRR22226949,GCF_029814195.1_ASM2981419v1_genomic,GCF_029814195.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.2,PRJNA561493,Klebsiella pneumoniae,strong,156,276487
SAMN06671956,SRR6958794,GCF_002257935.4_ASM225793v4_genomic,GCF_002257935.4,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.16,PRJNA353728,Klebsiella pneumoniae,strong,125,361805
SAMN24790942,SRR17543075,GCF_024498895.1_ASM2449889v1_genomic,GCF_024498895.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.74,PRJNA795853,Klebsiella pneumoniae,strong,148,138383
SAMN28173985,SRR19165576,GCF_024918175.1_ASM2491817v1_genomic,GCF_024918175.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.06,PRJNA836696,Klebsiella pneumoniae,strong,63,348999
SAMN28174049,SRR19165492,GCF_024917415.1_ASM2491741v1_genomic,GCF_024917415.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.13,PRJNA836696,Klebsiella pneumoniae,strong,64,308262
SAMN22024791,SRR16202848,GCF_020525845.1_ASM2052584v1_genomic,GCF_020525845.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.34,PRJNA768294,Klebsiella pneumoniae,strong,107,263477
SAMN49983668,SRR36766648,GCF_051776295.1_ASM5177629v1_genomic,GCF_051776295.1,False,False,False,,,,,,,,,,
SAMN06112222,SRR5082454,GCF_904863215.1_INF277_genomic,GCF_904863215.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.41,PRJNA646837 || PRJNA351909,Klebsiella pneumoniae,strong,92,310267
SAMN28174104,SRR19165541,GCF_024917755.1_ASM2491775v1_genomic,GCF_024917755.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.12,PRJNA836696,Klebsiella pneumoniae,strong,93,296271
SAMN14640320,SRR11585079,GCF_030007315.1_ASM3000731v1_genomic,GCF_030007315.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella variicola,100.0,0.61,PRJNA626430,Klebsiella variicola subsp. variicola,strong,124,207726
SAMN03996301,SRR2821776,GCF_002951635.1_ASM295163v1_genomic,GCF_002951635.1,False,True,True,False,PACBIO_SMRT || PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.14,PRJNA231221,Klebsiella pneumoniae,strong,112,150510
SAMN28174011,SRR19165507,GCF_024918095.1_ASM2491809v1_genomic,GCF_024918095.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.14,PRJNA836696,Klebsiella pneumoniae,strong,64,366729
SAMN28174030,SRR19165520,GCF_024918435.1_ASM2491843v1_genomic,GCF_024918435.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.1,PRJNA836696,Klebsiella pneumoniae,strong,72,233262
SAMN28174100,SRR19165547,GCF_024917915.1_ASM2491791v1_genomic,GCF_024917915.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.44,PRJNA836696,Klebsiella pneumoniae,strong,72,272422
SAMD00294603,DRR286065,GCF_018324045.1_ASM1832404v1_genomic,GCF_018324045.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella variicola,100.0,0.26,PRJDB11476,Klebsiella variicola subsp. variicola,strong,64,491436
SAMN28173992,SRR19165495,GCF_024918315.1_ASM2491831v1_genomic,GCF_024918315.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.09,PRJNA836696,Klebsiella pneumoniae,strong,86,244473
SAMD00194529,DRR199365,GCF_014169335.1_ASM1416933v1_genomic,GCF_014169335.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.08,PRJDB6962,Klebsiella pneumoniae,strong,99,225973
SAMN28173993,SRR19165512,GCF_024918455.1_ASM2491845v1_genomic,GCF_024918455.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.1,PRJNA836696,Klebsiella pneumoniae,strong,110,205785
SAMN28174085,SRR19165481,GCF_024917875.1_ASM2491787v1_genomic,GCF_024917875.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.09,PRJNA836696,Klebsiella pneumoniae,strong,85,244566
SAMN18874709,SRR26412269,GCF_019928625.2_ASM1992862v2_genomic,GCF_019928625.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.16,PRJNA717739,Klebsiella pneumoniae,strong,110,395057
SAMN07291504,SRR6799391,GCF_002968495.1_ASM296849v1_genomic,GCF_002968495.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,99.99,0.07,PRJNA316321,Klebsiella pneumoniae,strong,190,316021
SAMN22024802,SRR16202836,GCF_020525825.1_ASM2052582v1_genomic,GCF_020525825.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella quasipneumoniae,100.0,1.19,PRJNA768294,Klebsiella quasipneumoniae subsp. quasipneumoniae,strong,275,80672
SAMN15941323,SRR13399735,GCF_014489395.1_ASM1448939v1_genomic,GCF_014489395.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella variicola,100.0,0.26,PRJNA660205,Klebsiella variicola subsp. variicola,strong,139,368883
SAMN28174060,SRR19165569,GCF_024917855.1_ASM2491785v1_genomic,GCF_024917855.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.06,PRJNA836696,Klebsiella pneumoniae,strong,101,283424
SAMN12618964,SRR10012081,GCF_019856575.1_ASM1985657v1_genomic,GCF_019856575.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.54,PRJNA561493,Klebsiella pneumoniae,strong,241,225248
SAMN22024792,SRR16202847,GCF_020525505.1_ASM2052550v1_genomic,GCF_020525505.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.11,PRJNA768294,Klebsiella pneumoniae,strong,65,230145
SAMN22024796,SRR16202843,GCF_020525965.1_ASM2052596v1_genomic,GCF_020525965.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.92,PRJNA768294,Klebsiella pneumoniae,strong,268,193869
SAMN22024801,SRR16202837,GCF_020525805.1_ASM2052580v1_genomic,GCF_020525805.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella quasipneumoniae,100.0,0.06,PRJNA768294,Klebsiella quasipneumoniae subsp. quasipneumoniae,strong,102,249061
SAMN07452764,SRR5931426,GCF_002249975.2_ASM224997v3_genomic,GCF_002249975.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.08,PRJNA397262,Klebsiella pneumoniae,strong,133,299506
SAMN28174025,SRR19165584,GCF_024917555.1_ASM2491755v1_genomic,GCF_024917555.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.13,PRJNA836696,Klebsiella pneumoniae,strong,78,378032
SAMN06909168,SRR6958843,GCF_002164695.2_ASM216469v2_genomic,GCF_002164695.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.27,PRJNA353728,Klebsiella pneumoniae,strong,217,359072
SAMN28404992,SRR19213038,GCF_023538955.1_ASM2353895v1_genomic,GCF_023538955.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.23,PRJNA838107,Klebsiella pneumoniae,strong,78,366838
SAMN06112224,SRR5082469,GCF_904864465.1_INF298_genomic,GCF_904864465.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,1.25,PRJNA646837 || PRJNA351909,Klebsiella pneumoniae,strong,100,235738
SAMN28174007,SRR19165468,GCF_024918075.1_ASM2491807v1_genomic,GCF_024918075.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.18,PRJNA836696,Klebsiella pneumoniae,strong,102,261008
SAMEA3357352,ERR1215631,GCF_904865715.1_KSB1_5H_genomic,GCF_904865715.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,1.2,PRJEB6891,Klebsiella pneumoniae,strong,90,273785
SAMN03455995,SRR8778553,GCF_004322995.1_ASM432299v1_genomic,GCF_004322995.1,False,False,False,,,,,,,,,,
SAMN28404993,SRR19213036,GCF_023538935.1_ASM2353893v1_genomic,GCF_023538935.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.26,PRJNA838107,Klebsiella pneumoniae,strong,109,307999
SAMN50110774,SRR34863631,GCF_052564735.1_ASM5256473v1_genomic,GCF_052564735.1,False,False,False,,,,,,,,,,
SAMN16387643,SRR12811544,GCF_027595685.1_ASM2759568v1_genomic,GCF_027595685.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.67,PRJNA667445,Klebsiella pneumoniae,strong,177,200954
SAMN15148246,SRR11949408,GCF_013834745.1_ASM1383474v1_genomic,GCF_013834745.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.65,PRJNA605147,Klebsiella pneumoniae,strong,97,332342
SAMN28174066,SRR19165484,GCF_024917255.1_ASM2491725v1_genomic,GCF_024917255.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.09,PRJNA836696,Klebsiella pneumoniae,strong,60,304531
SAMN22024800,SRR16202838,GCF_020525925.1_ASM2052592v1_genomic,GCF_020525925.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella quasipneumoniae,100.0,0.03,PRJNA768294,Klebsiella quasipneumoniae subsp. quasipneumoniae,strong,82,154906
SAMN28404990,SRR19213007,GCF_023538975.1_ASM2353897v1_genomic,GCF_023538975.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.12,PRJNA838107,Klebsiella pneumoniae,strong,107,220134
SAMN14640188,SRR11585225,GCF_030007455.1_ASM3000745v1_genomic,GCF_030007455.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.39,PRJNA626430,Klebsiella pneumoniae,strong,92,574064
SAMD00194339,DRR199175,GCF_014168575.1_ASM1416857v1_genomic,GCF_014168575.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.89,PRJDB6962,Klebsiella pneumoniae,strong,101,198306
SAMN04014953,SRR5122322,GCF_002180155.1_ASM218015v1_genomic,GCF_002180155.1,False,True,True,False,PACBIO_SMRT || ILLUMINA || PACBIO_SMRT || ILLUMINA || ILLUMINA,Klebsiella pneumoniae,100.0,0.22,PRJNA292902,Klebsiella pneumoniae,strong,141,270452
SAMN03996259,SRR2814260,GCF_002953295.1_ASM295329v1_genomic,GCF_002953295.1,False,True,True,False,PACBIO_SMRT || ILLUMINA || PACBIO_SMRT,Klebsiella quasipneumoniae,100.0,0.14,PRJNA231221,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,95,302381
SAMN42003045,SRR29506584,GCF_040539475.2_ASM4053947v2_genomic,GCF_040539475.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.59,PRJNA561493,Klebsiella pneumoniae,strong,131,247682
SAMN22024812,SRR16202825,GCF_020525605.1_ASM2052560v1_genomic,GCF_020525605.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella variicola,100.0,0.23,PRJNA768294,Klebsiella variicola subsp. variicola,strong,58,466443
SAMN15148398,SRR11948740,GCF_013811845.1_ASM1381184v1_genomic,GCF_013811845.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.17,PRJNA605147,Klebsiella pneumoniae,strong,62,382323
SAMN26567300,SRR18297524,GCF_044356415.1_ASM4435641v1_genomic,GCF_044356415.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.23,PRJNA814816,Klebsiella pneumoniae,strong,193,86294
SAMN22024781,SRR16202840,GCF_020526025.1_ASM2052602v1_genomic,GCF_020526025.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.07,PRJNA768294,Klebsiella pneumoniae,strong,51,449269
SAMD00194422,DRR199258,GCF_014168895.1_ASM1416889v1_genomic,GCF_014168895.1,False,False,True,,,,,,,,,,
SAMN43771769,SRR35805130,GCF_042230465.1_2482_genomic,GCF_042230465.1,False,False,False,,,,,,,,,,
SAMN22024808,SRR16202830,GCF_020525565.1_ASM2052556v1_genomic,GCF_020525565.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella quasipneumoniae,100.0,0.13,PRJNA768294,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,67,460183
SAMN28174058,SRR19165575,GCF_024917595.1_ASM2491759v1_genomic,GCF_024917595.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.09,PRJNA836696,Klebsiella pneumoniae,strong,108,221009
SAMN06112188,SRR6307304,GCF_002813595.1_ASM281359v1_genomic,GCF_002813595.1,False,True,True,False,OXFORD_NANOPORE || OXFORD_NANOPORE || ILLUMINA || ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,1.43,PRJNA351910,Klebsiella pneumoniae,strong,68,307070
SAMN12228410,SRR10176980,GCF_008728695.1_ASM872869v1_genomic,GCF_008728695.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.42,PRJNA553055,Klebsiella pneumoniae,strong,188,122129
SAMN15148399,SRR11948739,GCF_013811445.1_ASM1381144v1_genomic,GCF_013811445.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.18,PRJNA605147,Klebsiella pneumoniae,strong,82,399030
SAMN28173989,SRR19165528,GCF_024918875.1_ASM2491887v1_genomic,GCF_024918875.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.37,PRJNA836696,Klebsiella pneumoniae,strong,103,191511
SAMN28174045,SRR19165556,GCF_024918055.1_ASM2491805v1_genomic,GCF_024918055.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.12,PRJNA836696,Klebsiella pneumoniae,strong,84,267775
SAMN48185768,SRR33346715,GCF_051608075.1_ASM5160807v1_genomic,GCF_051608075.1,False,False,False,,,,,,,,,,
SAMN04011426,SRR2244244,GCF_001316565.3_ASM131656v3_genomic,GCF_001316565.3,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.11,PRJNA287968,Klebsiella pneumoniae,strong,194,181043
SAMN04448241,SRR3222213,GCF_001709295.1_ASM170929v1_genomic,GCF_001709295.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.43,PRJNA296771,Klebsiella pneumoniae,strong,72,350038
SAMN15437767,SRR12518046,GCF_022370195.1_ASM2237019v1_genomic,GCF_022370195.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,1.36,PRJNA643814,Klebsiella pneumoniae,strong,115,324833
SAMD00194531,DRR199367,GCF_014169355.1_ASM1416935v1_genomic,GCF_014169355.1,False,True,True,False,ILLUMINA,Klebsiella quasipneumoniae,100.0,1.46,PRJDB6962,Klebsiella quasipneumoniae subsp. quasipneumoniae,strong,265,151430
SAMN15148715,SRR11949271,GCF_013730675.1_ASM1373067v1_genomic,GCF_013730675.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.13,PRJNA605147,Klebsiella pneumoniae,strong,71,427495
SAMN15488602,SRR12183835,GCF_029718135.1_ASM2971813v1_genomic,GCF_029718135.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.07,PRJNA605147,Klebsiella pneumoniae,strong,48,748578
SAMN48185751,SRR33346724,GCF_051613495.1_ASM5161349v1_genomic,GCF_051613495.1,False,False,False,,,,,,,,,,
SAMD00237915,DRR238844,GCF_014905815.1_ASM1490581v1_genomic,GCF_014905815.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.37,PRJDB5126,Klebsiella pneumoniae,strong,131,269718
SAMN04014890,SRR5146463,GCF_001922465.1_ASM192246v1_genomic,GCF_001922465.1,False,True,True,False,ILLUMINA || PACBIO_SMRT || ILLUMINA || ILLUMINA,Klebsiella pneumoniae,100.0,0.19,PRJNA292904,Klebsiella pneumoniae,strong,118,250569
SAMN15148699,SRR11948876,GCF_013745295.1_ASM1374529v1_genomic,GCF_013745295.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.11,PRJNA605147,Klebsiella pneumoniae,strong,90,310487
SAMN14640201,SRR11585211,GCF_030007135.1_ASM3000713v1_genomic,GCF_030007135.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.09,PRJNA626430,Klebsiella pneumoniae,strong,98,264825
SAMN14453496,SRR14532169,GCF_012030545.2_ASM1203054v2_genomic,GCF_012030545.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.05,PRJNA395086,Klebsiella pneumoniae,strong,141,225245
SAMEA3357250,ERR1015285,GCF_020149805.1_ASM2014980v1_genomic,GCF_020149805.1,False,True,True,False,ILLUMINA,Klebsiella variicola,100.0,0.13,PRJEB6891,Klebsiella variicola subsp. variicola,strong,72,291358
SAMN15148385,SRR11948825,GCF_013813035.1_ASM1381303v1_genomic,GCF_013813035.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.11,PRJNA605147,Klebsiella pneumoniae,strong,90,357545
SAMN15148407,SRR11948966,GCF_013805705.1_ASM1380570v1_genomic,GCF_013805705.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.19,PRJNA605147,Klebsiella pneumoniae,strong,132,501540
