ncbi_accession	paired_gcf_accession	ncbi_assembly_level	ncbi_assembly_status	ncbi_sequencing_tech	ncbi_assembly_method	ncbi_refseq_category	ncbi_genome_notes	ncbi_genome_size	ncbi_n_scaffolds	ncbi_scaffold_n50	ncbi_scaffold_l50	ncbi_n_contigs	ncbi_contig_n50	ncbi_contig_l50	ncbi_genome_coverage	ncbi_gc_percent	ncbi_n_chromosomes	ncbi_completeness	ncbi_contamination	ncbi_taxonomy_check	ncbi_ani_match_status	lookup_accession
GCF_019317185.1	GCA_019317185.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5888667	13	5493753	1	13	5493753	1	72.0	57.0	13	98.38	1.52	OK	subspecies_match	GCF_019317185
GCF_019287035.1	GCA_019287035.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5884616	7	5493104	1	7	5493104	1	50.0	57.0	7	98.38	1.52	OK	subspecies_match	GCF_019287035
GCF_019317205.1	GCA_019317205.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5963390	5	5457817	1	5	5457817	1	62.0	56.5	5	98.56	0.92	OK	species_match	GCF_019317205
GCF_019286755.1	GCA_019286755.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5965598	5	5456628	1	5	5456628	1	91.0	56.5	5	98.56	0.92	OK	species_match	GCF_019286755
GCF_019286695.1	GCA_019286695.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5962191	5	5456618	1	5	5456618	1	91.0	56.5	5	98.56	0.92	OK	species_match	GCF_019286695
GCF_019317145.1	GCA_019317145.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5641336	3	5440256	1	3	5440256	1	58.0	57.0	3	98.33	0.79	OK	species_match	GCF_019317145
GCF_019317125.1	GCA_019317125.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5656208	6	5435583	1	6	5435583	1	58.0	57.0	6	98.33	0.79	OK	species_match	GCF_019317125
GCF_019287195.1	GCA_019287195.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5676438	7	5420565	1	7	5420565	1	91.0	57.0	7	98.38	0.79	OK	subspecies_match	GCF_019287195
GCF_019287095.1	GCA_019287095.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5674415	7	5418499	1	7	5418499	1	85.0	57.0	7	98.38	0.79	OK	subspecies_match	GCF_019287095
GCF_018623335.1	GCA_018623335.1	Complete Genome	current	Illumina HiSeq; Oxford Nanopore MinION	CANU v. v.1.7; UNICYCLER HYBRID v. v.0.4.6			5763681	9	5418057	1	9	5418057	1	133.0	57.0	9	98.03	1.32	OK	species_match	GCF_018623335
GCF_019317245.1	GCA_019317245.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5593291	9	5377618	1	9	5377618	1	91.0	57.0	9	98.38	0.79	OK	species_match	GCF_019317245
GCF_019286515.1	GCA_019286515.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5863691	7	5364339	1	7	5364339	1	91.0	57.0	7	98.78	1.17	OK	subspecies_match	GCF_019286515
GCF_019286635.1	GCA_019286635.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5925924	7	5363628	1	7	5363628	1	91.0	56.5	7	97.78	0.92	OK	species_match	GCF_019286635
GCF_019286455.1	GCA_019286455.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5861122	11	5299257	1	11	5299257	1	91.0	57.0	11	98.78	1.17	OK	subspecies_match	GCF_019286455
GCF_019286955.1	GCA_019286955.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5590939	8	5299071	1	8	5299071	1	91.0	57.0	8	98.8	0.44	OK	species_match	GCF_019286955
GCF_018604765.1	GCA_018604765.1	Complete Genome	current	Illumina NovaSeq; Oxford Nanopore MinION	Unicycler v. 0.4.8			5890098	6	5285993	1	6	5285993	1	200.0	56.5	6	99.07	1.13	OK	species_match	GCF_018604765
GCF_019286855.1	GCA_019286855.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5959485	9	5251847	1	9	5251847	1	91.0	56.5	9	98.56	0.92	OK	species_match	GCF_019286855
GCF_019317005.1	GCA_019317005.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5590819	7	5234529	1	7	5234529	1	70.0	57.0	7	98.8	0.44	OK	subspecies_match	GCF_019317005
GCF_019317025.1	GCA_019317025.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5593370	11	5231387	1	11	5231387	1	91.0	57.0	11	98.38	0.79	OK	species_match	GCF_019317025
GCF_019317225.1	GCA_019317225.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5591551	10	5153904	1	10	5153904	1	64.0	57.0	10	98.8	0.44	OK	species_match	GCF_019317225
GCF_019317105.1	GCA_019317105.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	UNICYCLER v. V.0.4.8; CANU v. V.2.1.1			5561835	2	4522788	1	2	4522788	1	91.0	57.0	2	98.36	0.96	OK	subspecies_match	GCF_019317105
GCF_019428485.1	GCA_019428485.1	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	Unicycler v. v0.4.9			6021937	8	5527569	1	8	5527569	1	82.0	57.5	8	98.79	1.02	OK	species_match	GCF_019428485
GCF_018604125.1	GCA_018604125.1	Complete Genome	current	Illumina NovaSeq; Oxford Nanopore MinION	Flye v. 2.8.3; SPAdes v. 3.14			6035238	5	5390886	1	5	5390886	1	200.0	57.0	5	99.02	0.96	OK	species_match	GCF_018604125
GCF_019047985.1	GCA_019047985.1	Complete Genome	current	Pacbio; Illumina	SMRT v. 9.0.0, HGAP v. 4.0			5394842	2	5243269	1	2	5243269	1	1608.92	58.0	2	99.08	0.42	OK	derived_species_match	GCF_019047985
GCF_019334825.1	GCA_019334825.1	Complete Genome	current	Illumina NovaSeq; Oxford Nanopore	Unicycle v. SEP-2020			5782811	5	5662860	1	5	5662860	1	435.0	57.0	5	99.66	0.54	OK	species_match	GCF_019334825
GCF_019222805.1	GCA_019222805.1	Complete Genome	current	IonTorrent	Flye v. 2.8.3			6149961	3	5583188	1	3	5583188	1	129.0	56.5	3	99.66	1.54	OK	species_match	GCF_019222805
GCF_019458505.1	GCA_019458505.1	Chromosome	current	IIIumina Novaseq; PacBio Sequel	Flye v. V2.5; CANU v. V1.7.1			5634152	7	5359452	1	7	5359352	1	608.0	57.0	7	99.07	0.87	OK	derived_species_match	GCF_019458505
GCF_018623105.1	GCA_018623105.1	Chromosome	current	Oxford Nanopore MinION	Unicycler v. v0.4.4			5939121	9	5218732	1	9	5218632	1	20.0	56.5	9	98.69	1.79	OK	derived_species_match	GCF_018623105
GCF_019506485.1	GCA_019506485.1	Chromosome	current	Illumina HiSeq	idba_ud v. V1.1.3			5087945	1	5087945	1	435	31832	47	91.98	59.0	1	98.93	0.35	OK	derived_species_match	GCF_019506485
GCF_018583205.1	GCA_018583205.1	Chromosome	current	Oxford Nanopore MiniION; Illumina HiSeq	Unicycler v. v0.4.8			6000724	8	5321002	1	8	5321002	1	100.0	56.5	7	98.92	1.47	OK	derived_species_match	GCF_018583205
GCF_018583285.1	GCA_018583285.1	Chromosome	current	Oxford Nanopore MiniION; Illumina HiSeq	Unicycler v. v0.4.8			5987773	7	5320103	1	7	5320103	1	100.0	56.5	6	98.92	1.51	OK	derived_species_match	GCF_018583285
GCF_018583225.1	GCA_018583225.1	Chromosome	current	Oxford Nanopore MiniION; Illumina HiSeq	Unicycler v. v0.4.8			5856843	5	5319639	1	5	5319639	1	100.0	56.5	4	98.92	1.47	OK	derived_species_match	GCF_018583225
GCF_018583305.1	GCA_018583305.1	Chromosome	current	Oxford Nanopore MiniION; Illumina HiSeq	Unicycler v. v0.4.8			5857365	5	5319219	1	5	5319219	1	100.0	56.5	4	98.92	1.47	OK	derived_species_match	GCF_018583305
GCF_018583185.1	GCA_018583185.1	Chromosome	current	Oxford Nanopore MiniION; Illumina HiSeq	Unicycler v. v0.4.8			5856465	5	5319212	1	5	5319212	1	100.0	56.5	4	98.92	1.47	OK	derived_species_match	GCF_018583185
GCF_018583265.1	GCA_018583265.1	Chromosome	current	Oxford Nanopore MiniION; Illumina HiSeq	Unicycler v. v0.4.8			5856823	5	5317430	1	5	5317430	1	100.0	56.5	4	98.87	1.47	OK	derived_species_match	GCF_018583265
GCF_018583165.1	GCA_018583165.1	Chromosome	current	Oxford Nanopore MiniION; Illumina HiSeq	Unicycler v. v0.4.8			5854337	5	5315268	1	5	5315268	1	100.0	56.5	4	98.92	1.47	OK	derived_species_match	GCF_018583165
GCF_018583325.1	GCA_018583325.1	Chromosome	current	Oxford Nanopore MiniION; Illumina HiSeq	Unicycler v. v0.4.8			6000844	9	5314037	1	9	5314037	1	100.0	56.5	8	98.81	1.61	OK	species_match	GCF_018583325
GCF_018583245.1	GCA_018583245.1	Chromosome	current	Oxford Nanopore MiniION; Illumina HiSeq	Unicycler v. v0.4.8			5786053	9	5205169	1	9	5205169	1	100.0	57.0	8	98.28	1.05	OK	derived_species_match	GCF_018583245
GCF_020099175.1	GCA_020099175.1	Complete Genome	current	Pacbio; Illumina	SMRT v. 9.0.0, HGAP v. 4.0, SPAdes v. 3.14.1	reference genome		5498848	3	5343479	1	3	5343479	1	1367.44	58.0	3	99.12	0.82	OK	derived_species_match	GCF_020099175
GCF_020525545.1	GCA_020525545.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23	reference genome		5521194	1	5521194	1	1	5521194	1	50.0	57.5	1	99.32	0.4	OK	species_match	GCF_020525545
GCF_020526085.1	GCA_020526085.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23	reference genome		5443802	2	5243981	1	2	5243981	1	50.0	56.5	2	99.06	0.98	OK	species_match	GCF_020526085
GCF_020525665.1	GCA_020525665.1	Chromosome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23	reference genome		5869016	2	5489214	1	3	5489214	1	50.0	57.0	2	99.08	0.87	OK	species_match	GCF_020525665
GCF_020525925.1	GCA_020525925.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5507230	2	5343479	1	2	5343479	1	50.0	58.0	2	99.12	0.82	OK	species_match	GCF_020525925
GCF_020911805.1	GCA_020911805.1	Complete Genome	current	PacBio Sequel	HGAP v. 1.2			5692842	1	5692842	1	1	5692842	1	120.0	57.0	1	98.27	0.81	OK	species_match	GCF_020911805
GCF_019823955.1	GCA_019823955.1	Complete Genome	current	Oxford Nanopore	unicycler v. v.0.4.8			5751691	4	5575299	1	4	5575299	1	12.0	57.0	4	98.81	0.25	OK	derived_species_match	GCF_019823955
GCF_021138155.1	GCA_021138155.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5810429	6	5533068	1	6	5533068	1	289.865	57.0	6	97.97	2.01	OK	derived_species_match	GCF_021138155
GCF_020911785.1	GCA_020911785.1	Complete Genome	current	PacBio Sequel	HGAP v. 1.2			5531835	1	5531835	1	1	5531835	1	120.0	57.0	1	98.52	1.23	OK	derived_species_match	GCF_020911785
GCF_021137635.1	GCA_021137635.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5734525	7	5515591	1	7	5515591	1	662.141	57.0	7	98.42	0.67	OK	derived_species_match	GCF_021137635
GCF_019915305.1	GCA_019915305.1	Complete Genome	current	PacBio Sequel	Canu v. 2.0			5716056	2	5498275	1	2	5498275	1	153.0	57.0	2	97.25	1.26	OK	species_match	GCF_019915305
GCF_020520185.1	GCA_020520185.1	Complete Genome	current	Oxford Nanopore GridION; Illumina HiSeq	minimap v. 2.0; miniasm v. 2.0			5965072	5	5496402	1	5	5496402	1	300.0	57.0	5	97.0	0.69	OK	derived_species_match	GCF_020520185
GCF_021137855.1	GCA_021137855.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5794280	7	5481132	1	7	5481132	1	359.264	57.0	7	98.55	0.57	OK	species_match	GCF_021137855
GCF_020736285.1	GCA_020736285.1	Complete Genome	current	Oxford Nanopore	unicycler v. v0.4.8			5885809	5	5480714	1	5	5480714	1	200.0	57.0	5	99.07	0.43	OK	derived_species_match	GCF_020736285
GCF_020405285.1	GCA_020405285.1	Complete Genome	current	PacBio Sequel	Flye v. V2.5; CANU v. V1.7.1			5751710	5	5480418	1	5	5480418	1	200.0	57.0	5	99.03	0.38	OK	derived_species_match	GCF_020405285
GCF_021166055.1	GCA_021166055.1	Complete Genome	current	Oxford Nanopore MiniION and Illumina HiSeq	Unicycler v. v0.4.9			5804488	3	5478652	1	3	5478652	1	100.0	57.0	3	98.57	0.61	OK	species_match	GCF_021166055
GCF_020149875.1	GCA_020149875.1	Complete Genome	current	Illumina; Oxford Nanopore MinION	Unicycler v. v4.7			5853109	9	5472883	1	9	5472883	1	147.0	57.0	9	98.1	0.74	OK	derived_species_match	GCF_020149875
GCF_020525645.1	GCA_020525645.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5644528	3	5472677	1	3	5472677	1	50.0	57.0	3	98.95	0.65	OK	derived_species_match	GCF_020525645
GCF_020080125.1	GCA_020080125.1	Complete Genome	current	PacBio Sequel	flye v. v2.5			5470778	1	5470778	1	1	5470778	1	432.0	57.0	1	97.99	0.84	OK	species_match	GCF_020080125
GCF_021137755.1	GCA_021137755.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5630871	5	5463351	1	5	5463351	1	205.45	57.0	5	98.42	0.67	OK	derived_species_match	GCF_021137755
GCF_021135615.1	GCA_021135615.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5811634	8	5460353	1	8	5460353	1	528.801	57.0	8	98.42	0.85	OK	derived_species_match	GCF_021135615
GCF_020695665.1	GCA_020695665.1	Complete Genome	current	PacBio Sequel	Microbial assembly v. v.1			5619473	3	5455675	1	3	5455675	1	735.0	57.5	3	98.35	0.36	OK	derived_species_match	GCF_020695665
GCF_021137715.1	GCA_021137715.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5652918	7	5452171	1	7	5452171	1	197.273	57.0	7	98.42	0.76	OK	derived_species_match	GCF_021137715
GCF_021137895.1	GCA_021137895.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5919869	4	5442819	1	4	5442819	1	304.467	56.5	4	98.07	0.92	OK	derived_species_match	GCF_021137895
GCF_021137875.1	GCA_021137875.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5919753	4	5442703	1	4	5442703	1	199.233	56.5	4	98.07	0.92	OK	derived_species_match	GCF_021137875
GCF_020525485.1	GCA_020525485.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5661819	2	5431677	1	2	5431677	1	50.0	57.0	2	98.88	0.33	OK	species_match	GCF_020525485
GCF_021137795.1	GCA_021137795.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5537776	5	5429892	1	5	5429892	1	229.26	57.0	5	98.14	0.66	OK	derived_species_match	GCF_021137795
GCF_021137815.1	GCA_021137815.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5565437	6	5428359	1	6	5428359	1	204.287	57.0	6	98.14	0.66	OK	derived_species_match	GCF_021137815
GCF_020023465.1	GCA_020023465.1	Complete Genome	current	Oxford Nanopore MinION	Canu v. v1.3			5730830	3	5420142	1	3	5420142	1	100.0	57.0	3	98.85	1.2	OK	derived_species_match	GCF_020023465
GCF_020172745.1	GCA_020172745.1	Complete Genome	current	Oxford Nanopore MinION	Canu v. v1.3			5718265	4	5419314	1	4	5419314	1	100.0	57.0	4	99.07	1.2	OK	derived_species_match	GCF_020172745
GCF_021137775.1	GCA_021137775.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5521180	5	5413231	1	5	5413231	1	328.832	57.0	5	97.48	0.64	OK	derived_species_match	GCF_021137775
GCF_021137735.1	GCA_021137735.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5676882	4	5408312	1	4	5408312	1	218.768	57.0	4	98.47	0.28	OK	derived_species_match	GCF_021137735
GCF_020525505.1	GCA_020525505.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5385248	1	5385248	1	1	5385248	1	50.0	57.5	1	98.59	0.24	OK	derived_species_match	GCF_020525505
GCF_020405265.1	GCA_020405265.1	Complete Genome	current	PacBio Sequel	Flye v. V2.5; CANU v. V1.7.1			5882436	5	5377315	1	5	5377315	1	200.0	56.5	5	98.29	1.3	OK	derived_species_match	GCF_020405265
GCF_021137935.1	GCA_021137935.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5680788	8	5372920	1	8	5372920	1	266.869	57.0	8	98.38	0.79	OK	derived_species_match	GCF_021137935
GCF_021137675.1	GCA_021137675.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5870019	7	5368754	1	7	5368754	1	331.063	57.0	7	98.51	2.12	OK	derived_species_match	GCF_021137675
GCF_020525865.1	GCA_020525865.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5564218	2	5357592	1	2	5357592	1	50.0	57.0	2	98.64	0.35	OK	species_match	GCF_020525865
GCF_020526025.1	GCA_020526025.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5504965	2	5351706	1	2	5351706	1	50.0	57.5	2	98.74	0.92	OK	derived_species_match	GCF_020526025
GCF_020695545.1	GCA_020695545.1	Complete Genome	current	PacBio Sequel	Microbial assembly v. v.1			5811085	5	5350752	1	5	5350752	1	288.0	57.0	5	98.24	0.84	OK	species_match	GCF_020695545
GCF_020526005.1	GCA_020526005.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5697330	4	5346560	1	4	5346560	1	50.0	57.0	4	98.67	1.1	OK	derived_species_match	GCF_020526005
GCF_021137955.1	GCA_021137955.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5409660	3	5342716	1	3	5342716	1	360.63	57.5	3	99.07	0.24	OK	derived_species_match	GCF_021137955
GCF_021137975.1	GCA_021137975.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5618111	4	5340602	1	4	5340602	1	339.808	57.0	4	98.75	0.97	OK	derived_species_match	GCF_021137975
GCF_020525985.1	GCA_020525985.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5788054	9	5336167	1	9	5336167	1	50.0	57.0	9	97.07	3.67	OK	species_match	GCF_020525985
GCF_020906545.1	GCA_020906545.1	Complete Genome	current	Oxford Nanopore MinION; BGISEQ-500	Minimap, Miniasm and Racon v. SEP-2021; Flye v. 2.9; SPAdes v. 3.15			5562023	2	5331479	1	2	5331479	1	64.0	57.0	2	99.03	0.62	OK	species_match	GCF_020906545
GCF_020149785.1	GCA_020149785.1	Complete Genome	current	Illumina; Oxford Nanopore MinION	Unicycler v. v4.7			5776619	6	5330523	1	6	5330523	1	110.0	56.5	6	98.05	1.77	OK	derived_species_match	GCF_020149785
GCF_020535145.1	GCA_020535145.1	Complete Genome	current	Illumina HiSeq	unicycler v. v.0.4.8			5838658	4	5330391	1	4	5330391	1	12.0	57.0	4	99.03	0.52	OK	derived_species_match	GCF_020535145
GCF_021137695.1	GCA_021137695.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5441835	5	5328020	1	5	5328020	1	187.689	57.5	5	98.0	0.19	OK	derived_species_match	GCF_021137695
GCF_021138035.1	GCA_021138035.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5786584	5	5325495	1	5	5325495	1	420.61	56.5	5	98.09	0.85	OK	derived_species_match	GCF_021138035
GCF_020525965.1	GCA_020525965.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5908231	13	5324939	1	13	5324939	1	50.0	57.0	13	99.07	3.28	OK	derived_species_match	GCF_020525965
GCF_020525885.1	GCA_020525885.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5563569	2	5324320	1	2	5324320	1	50.0	57.0	2	98.42	0.26	OK	species_match	GCF_020525885
GCF_020990405.1	GCA_020990405.1	Complete Genome	current	Oxford Nanopore MiniION	unicycler v. 0.4.8			5829237	4	5323119	1	4	5323119	1	12.0	56.5	4	98.68	0.79	OK	derived_species_match	GCF_020990405
GCF_019915325.1	GCA_019915325.1	Complete Genome	current	PacBio Sequel	Canu v. 2.0			5576938	3	5319600	1	3	5319600	1	209.0	57.0	3	97.73	0.58	OK	species_match	GCF_019915325
GCF_021137615.1	GCA_021137615.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5708086	3	5310552	1	3	5310552	1	522.138	56.5	3	98.81	0.92	OK	derived_species_match	GCF_021137615
GCF_021137655.1	GCA_021137655.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5706648	3	5309377	1	3	5309377	1	389.64	56.5	3	98.81	0.92	OK	derived_species_match	GCF_021137655
GCF_020525905.1	GCA_020525905.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5429624	4	5301905	1	4	5301905	1	50.0	57.5	4	98.81	1.31	OK	derived_species_match	GCF_020525905
GCF_021137915.1	GCA_021137915.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5489652	4	5301391	1	4	5301391	1	342.844	57.0	4	98.81	0.25	OK	derived_species_match	GCF_021137915
GCF_020991145.1	GCA_020991145.1	Complete Genome	current	PacBio RS	HGAP v. 4			5720680	4	5288730	1	4	5288730	1	100.0	57.0	4	98.94	1.45	OK	derived_species_match	GCF_020991145
GCF_019928625.2	GCA_019928625.2	Complete Genome	current	Illumina MiSeq; Oxford Nanopore MinION	Trycycler(flye+miniasm+raven) v. OCT-2022; Medaka v. OCT-2022; Polypolish v. OCT-2022			5448399	4	5280085	1	4	5280085	1	236.36	57.0	4	98.64	0.7	OK	derived_species_match	GCF_019928625
GCF_020080145.1	GCA_020080145.1	Complete Genome	current	Oxford Nanopore PromethION	canu v. 1.6			5657623	3	5260182	1	3	5260182	1	500.0	57.0	3	98.98	1.63	OK	derived_species_match	GCF_020080145
GCF_020526065.1	GCA_020526065.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5258072	1	5258072	1	1	5258072	1	50.0	57.5	1	97.59	0.2	OK	species_match	GCF_020526065
GCF_020149895.1	GCA_020149895.1	Complete Genome	current	Illumina; Oxford Nanopore MinION	Unicycler v. v4.7			5548489	7	5245214	1	7	5245214	1	135.0	57.0	7	97.57	1.06	OK	species_match	GCF_020149895
GCF_020808985.1	GCA_020808985.1	Complete Genome	current	PacBio	HGAP v. v4			5338291	2	5226596	1	2	5226596	1	235.0	57.5	2	98.48	1.19	OK	derived_species_match	GCF_020808985
GCF_020149825.1	GCA_020149825.1	Complete Genome	current	Illumina; Oxford Nanopore MinION	Unicycler v. v4.7			5323547	6	5222528	1	6	5222528	1	214.0	57.5	6	99.07	0.49	OK	derived_species_match	GCF_020149825
GCF_021137835.1	GCA_021137835.1	Complete Genome	current	Illumina NovaSeq and Oxford Nanopore MinION	Unicycler v. 0.4.8			5647468	4	5217870	1	4	5217870	1	372.28	57.0	4	99.06	1.94	OK	derived_species_match	GCF_021137835
GCF_020525845.1	GCA_020525845.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5510448	6	5211784	1	6	5211784	1	50.0	57.5	6	98.81	1.26	OK	derived_species_match	GCF_020525845
GCF_020641015.1	GCA_020641015.1	Complete Genome	current	PacBio	HGAP v. v4			5459550	3	5205350	1	3	5205350	1	232.0	57.0	3	98.74	0.47	OK	derived_species_match	GCF_020641015
GCF_020221715.1	GCA_020221715.1	Complete Genome	current	Illumina; Oxford Nanopore	Canu v. 1.8; Unicycler hybrid v. 0.4.7			5450177	4	5189356	1	4	5189356	1	92.3	57.5	4	99.05	0.63	OK	species_match	GCF_020221715
GCF_020525945.1	GCA_020525945.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5180404	1	5180404	1	1	5180404	1	50.0	57.5	1	98.29	0.68	OK	derived_species_match	GCF_020525945
GCF_020459305.1	GCA_020459305.1	Complete Genome	current	Oxford Nanopore MinION	Unicycler v. v0.4.8			5445947	4	5171985	1	4	5171985	1	100.0	57.5	4	98.94	1.65	OK	derived_species_match	GCF_020459305
GCF_020526045.1	GCA_020526045.1	Complete Genome	current	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3; 1.23			5157573	1	5157573	1	1	5157573	1	50.0	57.5	1	98.64	0.72	OK	derived_species_match	GCF_020526045
