Strain ID,Species,Specimen,Date collected,Province,"Short-read
sequencer",DDBJ_short_accession,"Long-read
sequencer",DDBJ_long_accession,Sequence type,"Carbapenemase
genotype"
C326,Klebsiella pneumoniae,Sputum,27/8/2016,Sakon Nakhon,HiSeq,DRX141195,-,-,ST11,OXA-181
C327,Klebsiella pneumoniae,Urine,9/7/2016,Sakon Nakhon,HiSeq,DRX141196,-,-,ST340,OXA-181
C328,Klebsiella pneumoniae,Sputum,11/7/2016,Sakon Nakhon,HiSeq,DRX141197,-,-,ST340,OXA-181
C330,Escherichia coli,Urine,5/9/2016,Sakon Nakhon,HiSeq,DRX141198,-,-,ST38,NDM-1
C331,Klebsiella pneumoniae,Sputum,2/9/2016,Sakon Nakhon,HiSeq,DRX141199,-,-,ST340,OXA-181
C334,Escherichia coli,Sputum,5/8/2016,Sakon Nakhon,HiSeq,DRX141202,-,-,ST410,NDM-5
C336,Klebsiella pneumoniae,Sputum,22/7/2016,Sakon Nakhon,HiSeq,DRX141204,-,-,ST340,OXA-181
C337,Klebsiella pneumoniae,Sputum,15/7/2016,Sakon Nakhon,HiSeq,DRX141205,-,-,ST340,OXA-181
C340,Escherichia coli,Urine,5/11/2016,Surin,HiSeq,DRX141206,-,-,ST167,NDM-5
C341,Klebsiella pneumoniae,Sputum,28/10/2016,Surin,HiSeq,DRX141207,-,-,ST2673,NDM-1
C342,Klebsiella pneumoniae,Sputum,2/11/2016,Surin,HiSeq,DRX141208,-,-,ST1318,IMP-14
C343,Klebsiella pneumoniae,Blood,1/11/2016,Surin,HiSeq,DRX141209,-,-,ST16,NDM-1 OXA-232
C345,Klebsiella pneumoniae,Urine,5/11/2016,Surin,HiSeq,DRX141210,-,-,ST101,NDM-1
C346,Escherichia coli,Urine,10/11/2016,Surin,HiSeq,DRX141211,-,-,ST410,NDM-5
C347,Klebsiella pneumoniae,Sputum,11/11/2016,Surin,HiSeq,DRX141212,-,-,ST656,OXA-48
C348,Escherichia coli,Pus,10/11/2016,Surin,HiSeq,DRX141213,-,-,ST1722,NDM-1
C349,Klebsiella pneumoniae,Sputum,17/10/2016,Nakhon Phanom,HiSeq,DRX141214,-,-,ST37,NDM-1
C350,Escherichia coli,Wound at leg,16/10/2016,Nakhon Phanom,HiSeq,DRX141215,-,-,ST131,OXA-48
C351,Klebsiella pneumoniae,Sputum,24/8/2016,Nakhon Phanom,HiSeq,DRX141216,-,-,ST11,OXA-181
C353,Klebsiella pneumoniae,Sputum,10/9/2016,Nakhon Phanom,HiSeq,DRX141218,-,-,ST11,OXA-181
C354,Klebsiella pneumoniae,Urine,12/9/2016,Nakhon Phanom,HiSeq,DRX141219,-,-,ST147,NDM-1
C355,Klebsiella pneumoniae,Sputum,25/9/2016,Nakhon Phanom,HiSeq,DRX141220,-,-,ST147,NDM-1
C356,Klebsiella pneumoniae,Sputum,30/9/2016,Nakhon Phanom,HiSeq,DRX141221,-,-,ST147,NDM-1
C357,Escherichia coli,Pus,1/10/2016,Nakhon Phanom,HiSeq,DRX141222,-,-,ST405,NDM-1
C358,Klebsiella pneumoniae,Sputum,2/10/2016,Nakhon Phanom,HiSeq,DRX141223,-,-,ST11,OXA-181
C359,Escherichia coli,Urine,2/10/2016,Nakhon Phanom,HiSeq,DRX141224,-,-,ST410,NDM-5
C360,Klebsiella pneumoniae,Sputum,6/10/2016,Nakhon Phanom,HiSeq,DRX141225,-,-,ST11,OXA-181
C361,Klebsiella pneumoniae,Urine,11/10/2016,Nakhon Phanom,HiSeq,DRX141226,-,-,ST147,NDM-1
C363,Klebsiella pneumoniae,Sputum,12/10/2016,Nakhon Phanom,HiSeq,DRX141227,-,-,ST11,OXA-181
C368,Klebsiella pneumoniae,Sputum,1/11/2016,Nakhon Phanom,HiSeq,DRX141231,-,-,ST11,OXA-181
C369,Klebsiella pneumoniae,Urine,14/11/2016,Nakhon Phanom,HiSeq,DRX141232,-,-,ST11,OXA-181
C370,Klebsiella pneumoniae,Pus,12/11/2016,Nakhon Phanom,HiSeq,DRX141233,-,-,ST70,NDM-1
C371,Klebsiella pneumoniae,Urine,20/11/2016,Nakhon Phanom,HiSeq,DRX141234,-,-,ST147,NDM-1
C372,Klebsiella pneumoniae,Urine,5/11/2016,Nakhon Phanom,HiSeq,DRX141235,-,-,ST147,NDM-1
C373,Klebsiella pneumoniae,Sputum,8/11/2016,Nakhon Phanom,HiSeq,DRX141236,-,-,ST11,OXA-181
C374,Klebsiella pneumoniae,Sputum,10/11/2016,Nakhon Phanom,HiSeq,DRX141237,-,-,ST340,OXA-181
C375,Klebsiella pneumoniae,Urine,10/9/2016,Sakon Nakhon,HiSeq,DRX141238,-,-,ST147,NDM-1
C376,Klebsiella pneumoniae,Sputum,13/9/2016,Sakon Nakhon,HiSeq,DRX141239,-,-,ST147,NDM-1
C377,Klebsiella pneumoniae,Sputum,11/9/2016,Sakon Nakhon,HiSeq,DRX141240,-,-,ST336,OXA-181
C378,Escherichia coli,Sputum,10/9/2016,Sakon Nakhon,HiSeq,DRX141241,-,-,ST410,NDM-5
C379,Escherichia coli,Sputum,13/9/2016,Sakon Nakhon,HiSeq,DRX141242,-,-,ST410,NDM-5
C380,Klebsiella pneumoniae,Sputum,8/9/2016,Sakon Nakhon,HiSeq,DRX141243,-,-,ST11,OXA-181
C381,Klebsiella pneumoniae,Blood,6/10/2016,Sakon Nakhon,HiSeq,DRX141244,-,-,ST147,NDM-1
C382,Klebsiella pneumoniae,Sputum,13/10/2016,Sakon Nakhon,HiSeq,DRX141245,-,-,ST11,OXA-181
C383,Klebsiella pneumoniae,Pus,4/10/2016,Sakon Nakhon,HiSeq,DRX141246,-,-,ST147,NDM-1 OXA-181
C384,Escherichia coli,Urine,4/10/2016,Sakon Nakhon,HiSeq,DRX141247,-,-,ST410,NDM-5
C385,Escherichia coli,Urine,11/10/2016,Sakon Nakhon,HiSeq,DRX141248,-,-,ST410,NDM-5
C386,Escherichia coli,Urine,11/10/2016,Sakon Nakhon,HiSeq,DRX141249,-,-,ST410,NDM-5
C387,Klebsiella pneumoniae,Sputum,31/10/2016,Sakon Nakhon,HiSeq,DRX141250,-,-,ST11,OXA-181
C388,Klebsiella pneumoniae,Sputum,1/10/2016,Sakon Nakhon,HiSeq,DRX141251,-,-,ST340,OXA-181
C389,Klebsiella pneumoniae,Sputum,29/10/2016,Sakon Nakhon,HiSeq,DRX141252,-,-,ST11,OXA-181
C390,Klebsiella pneumoniae,Sputum,1/11/2016,Sakon Nakhon,HiSeq,DRX141253,-,-,ST11,OXA-181
C391,Klebsiella pneumoniae,Sputum,1/11/2016,Sakon Nakhon,HiSeq,DRX141254,-,-,ST11,OXA-181
C392,Klebsiella pneumoniae,Sputum,16/11/2016,Sakon Nakhon,HiSeq,DRX141255,-,-,ST340,OXA-181
C393,Klebsiella pneumoniae,Sputum,22/10/2016,Sakon Nakhon,HiSeq,DRX141256,-,-,ST11,OXA-181
C394,Klebsiella pneumoniae,Ascitic fluid,7/9/2016,Sakon Nakhon,HiSeq,DRX141257,-,-,ST147,NDM-1
C396,Klebsiella pneumoniae,Blood,22/10/2016,Sakon Nakhon,HiSeq,DRX141261,-,-,ST340,OXA-181
C397,Klebsiella pneumoniae,Urine,17/10/2016,Sakon Nakhon,HiSeq,DRX141262,-,-,ST147,NDM-1
C398,Klebsiella pneumoniae,Sputum,15/10/2016,Sakon Nakhon,HiSeq,DRX141263,-,-,ST147,NDM-1
C399,Klebsiella pneumoniae,Sputum,16/10/2016,Sakon Nakhon,HiSeq,DRX141264,-,-,ST340,OXA-181
C400,Klebsiella pneumoniae,Sputum,16/10/2016,Sakon Nakhon,HiSeq,DRX141265,-,-,ST11,OXA-181
C401,Escherichia coli,Urine,15/10/2016,Sakon Nakhon,HiSeq,DRX141266,-,-,ST410,NDM-5
C402,Klebsiella pneumoniae,Bile,8/10/2016,Sakon Nakhon,HiSeq,DRX141267,-,-,ST147,NDM-1
C403,Klebsiella pneumoniae,Sputum,21/10/2016,Sakon Nakhon,HiSeq,DRX141268,-,-,ST11,OXA-181
C404,Escherichia coli,Urine,17/11/2016,Surin,HiSeq,DRX141269,-,-,ST410,NDM-5
C405,Escherichia coli,Sputum,20/11/2016,Surin,HiSeq,DRX141270,GridION,DRX187486,ST410,NDM-5
C406,Escherichia coli,Urine,20/11/2016,Surin,HiSeq,DRX141271,-,-,ST410,NDM-5
C407,Escherichia coli,Urine,20/11/2016,Surin,HiSeq,DRX141272,-,-,ST410,NDM-5
C408,Escherichia coli,Urine,23/11/2016,Surin,HiSeq,DRX141273,-,-,ST410,NDM-1
C409,Escherichia coli,Urine,23/11/2016,Surin,HiSeq,DRX141274,-,-,ST457,NDM-1
C410,Escherichia coli,Urine,24/11/2016,Surin,HiSeq,DRX141275,-,-,ST410,NDM-5
C411,Klebsiella pneumoniae,Sputum,24/11/2016,Surin,HiSeq,DRX141276,-,-,ST16,NDM-1 OXA-232
C412,Klebsiella pneumoniae,Sputum,24/11/2016,Surin,HiSeq,DRX141277,-,-,ST2673,NDM-1
C413,Klebsiella pneumoniae,Sputum,24/11/2016,Surin,HiSeq,DRX141278,-,-,ST16,NDM-1 OXA-232
C414,Escherichia coli,Blood,22/11/2016,Surin,HiSeq,DRX141279,-,-,ST410,NDM-5
C415,Klebsiella pneumoniae,Pus,25/11/2016,Surin,HiSeq,DRX141280,-,-,ST16,NDM-1 OXA-232
C416,Escherichia coli,Urine,22/11/2016,Surin,HiSeq,DRX141281,-,-,ST10210,NDM-5
C417,Escherichia coli,Urine,26/11/2016,Surin,HiSeq,DRX141282,-,-,ST410,NDM-5
C418,Klebsiella pneumoniae,Urine,29/8/2016,Udon Thani,HiSeq,DRX141283,-,-,ST5808,NDM-1
C421,Escherichia coli,Urine,6/9/2016,Udon Thani,HiSeq,DRX141285,-,-,ST405,NDM-5
C422,Escherichia coli,Urine,7/9/2016,Udon Thani,HiSeq,DRX141286,-,-,ST361,NDM-5
C423,Escherichia coli,Blood,16/9/2016,Udon Thani,HiSeq,DRX141287,-,-,ST410,NDM-5
C424,Escherichia coli,Blood,21/9/2016,Udon Thani,HiSeq,DRX141288,-,-,ST405,NDM-5
C429,Klebsiella pneumoniae,Bile,5/10/2016,Udon Thani,HiSeq,DRX141292,-,-,ST336,NDM-1
C430,Escherichia coli,Urine,14/10/2016,Udon Thani,HiSeq,DRX141293,-,-,ST34,NDM-5
C432,Escherichia coli,Urine,19/10/2016,Udon Thani,HiSeq,DRX141296,-,-,ST361,NDM-5
C433,Escherichia coli,Blood,17/10/2016,Udon Thani,HiSeq,DRX141297,-,-,ST405,NDM-5
C434,Escherichia coli,Blood,21/10/2016,Udon Thani,HiSeq,DRX141298,-,-,ST46,NDM-5
C435,Klebsiella pneumoniae,Urine,3/11/2016,Udon Thani,HiSeq,DRX141299,GridION,DRX187487,ST147,NDM-1
C436,Klebsiella pneumoniae,Sputum,7/11/2016,Udon Thani,HiSeq,DRX141300,-,-,ST15,OXA-48
C437,Escherichia coli,Blood,7/11/2016,Udon Thani,HiSeq,DRX141301,-,-,ST131,NDM-1
C439,Escherichia coli,Urine,11/11/2016,Udon Thani,HiSeq,DRX141302,-,-,ST405,NDM-3
C443,Escherichia coli,Wound,15/11/2016,Mukdahan,HiSeq,DRX141304,-,-,ST410,NDM-5
C445,Escherichia coli,Pus,17/11/2016,Mukdahan,HiSeq,DRX141305,-,-,ST410,NDM-5
C446,Klebsiella pneumoniae,Sputum,26/11/2016,Mukdahan,HiSeq,DRX141306,-,-,ST147,NDM-1
C465,Escherichia coli,Urine,24/12/2016,Sakon Nakhon,HiSeq,DRX141307,-,-,ST410,NDM-5
C466,Klebsiella pneumoniae,Urine,9/11/2016,Sakon Nakhon,HiSeq,DRX141308,-,-,ST340,OXA-181
C467,Escherichia coli,Urine,9/11/2016,Sakon Nakhon,HiSeq,DRX141309,-,-,ST361,NDM-1
C468,Klebsiella pneumoniae,Peritoneal dialysis fluid,12/1/2017,Sakon Nakhon,HiSeq,DRX141310,-,-,ST11,OXA-181
C469,Klebsiella pneumoniae,Urine,21/12/2016,Sakon Nakhon,HiSeq,DRX141311,-,-,ST11,OXA-181
C470,Escherichia coli,Urine,10/1/2017,Sakon Nakhon,HiSeq,DRX141312,GridION,DRX187488,ST405,NDM-5
C471,Klebsiella pneumoniae,Sputum,17/12/2016,Sakon Nakhon,HiSeq,DRX141313,-,-,ST48,NDM-1
C472,Klebsiella pneumoniae,Urine,7/1/2017,Sakon Nakhon,HiSeq,DRX141314,-,-,ST147,NDM-1
C473,Klebsiella pneumoniae,Gastric content,16/1/2017,Sakon Nakhon,HiSeq,DRX141315,-,-,ST340,OXA-181
C474,Klebsiella pneumoniae,Urine,5/1/2017,Sakon Nakhon,HiSeq,DRX141316,-,-,ST11,OXA-181
C475,Klebsiella pneumoniae,Urine,22/12/2016,Sakon Nakhon,HiSeq,DRX141317,-,-,ST336,NDM-1
C476,Escherichia coli,Urine,12/1/2017,Sakon Nakhon,HiSeq,DRX141318,-,-,ST410,NDM-5
C477,Klebsiella pneumoniae,Sputum,10/1/2017,Sakon Nakhon,HiSeq,DRX141319,-,-,ST11,OXA-181
C478,Escherichia coli,Urine,10/1/2017,Sakon Nakhon,HiSeq,DRX141320,-,-,ST167,NDM-5
C479,Klebsiella pneumoniae,Sputum,14/1/2017,Sakon Nakhon,HiSeq,DRX141321,-,-,ST11,OXA-181
C480,Klebsiella pneumoniae,Sputum,22/1/2017,Sakon Nakhon,HiSeq,DRX141322,-,-,ST11,OXA-181
C481,Klebsiella pneumoniae,Blood,25/12/2016,Sakon Nakhon,HiSeq,DRX141323,-,-,ST11,NDM-1 OXA-181
C482,Klebsiella pneumoniae,Sputum,11/1/2017,Sakon Nakhon,HiSeq,DRX141324,-,-,ST11,OXA-181
C485,Klebsiella pneumoniae,Sputum,22/12/2016,Nakhon Phanom,HiSeq,DRX141326,-,-,ST11,OXA-181
C486,Klebsiella pneumoniae,Sputum,31/12/2016,Nakhon Phanom,HiSeq,DRX141327,-,-,ST11,OXA-181
C489,Klebsiella pneumoniae,Urine,10/1/2017,Nakhon Phanom,HiSeq,DRX141330,-,-,ST11,OXA-181
C490,Klebsiella pneumoniae,Urine,18/1/2017,Nakhon Phanom,HiSeq,DRX141331,-,-,ST70,NDM-1
C492,Klebsiella pneumoniae,Pus,17/1/2017,Surin,HiSeq,DRX141332,-,-,ST231,OXA-232
C495,Escherichia coli,Urine,24/1/2017,Surin,HiSeq,DRX141333,-,-,ST410,NDM-5
C497,Escherichia coli,Pus,25/1/2017,Surin,HiSeq,DRX141334,-,-,ST88,NDM-1
C520,Klebsiella pneumoniae,Sputum,18/2/2017,Surin,HiSeq,DRX141335,-,-,ST16,NDM-1 OXA-232
C521,Escherichia coli,Sputum,19/2/2017,Surin,HiSeq,DRX141336,-,-,ST410,NDM-5
C524,Escherichia coli,Sputum,20/2/2017,Surin,HiSeq,DRX141337,-,-,ST410,NDM-5
C528,Klebsiella pneumoniae,Urine,23/2/2017,Surin,HiSeq,DRX141338,-,-,ST231,OXA-232
C535,Klebsiella pneumoniae,Sputum,12/3/2017,Surin,HiSeq,DRX141339,-,-,ST231,OXA-232
C536,Klebsiella pneumoniae,Sputum,10/3/2017,Surin,HiSeq,DRX141340,-,-,ST231,OXA-232
C537,Klebsiella pneumoniae,Sputum,15/3/2017,Surin,HiSeq,DRX141341,-,-,ST231,OXA-232
C538,Klebsiella pneumoniae,Sputum,16/3/2017,Surin,HiSeq,DRX141342,-,-,ST11,OXA-48
C540,Escherichia coli,Pus,6/3/2017,Surin,HiSeq,DRX141344,-,-,ST744,NDM-1
C541,Klebsiella pneumoniae,Pus,12/3/2017,Surin,HiSeq,DRX141345,-,-,ST231,OXA-232
C542,Klebsiella pneumoniae,Urine,14/3/2017,Surin,HiSeq,DRX141346,-,-,ST231,OXA-232
C543,Klebsiella pneumoniae,Urine,13/3/2017,Surin,HiSeq,DRX141347,-,-,ST231,OXA-232
C544,Klebsiella pneumoniae,Urine,10/3/2017,Surin,HiSeq,DRX141348,-,-,ST231,OXA-232
C545,Escherichia coli,Urine,12/1/2017,Udon Thani,HiSeq,DRX141349,-,-,ST405,NDM-5
C546,Klebsiella pneumoniae,Blood,16/1/2017,Udon Thani,HiSeq,DRX141350,-,-,ST11,NDM-5
C547,Escherichia coli,Urine,27/1/2017,Udon Thani,HiSeq,DRX141351,-,-,ST405,NDM-5
C548,Klebsiella pneumoniae,Urine,31/1/2017,Udon Thani,HiSeq,DRX141352,-,-,ST15,OXA-48
C549,Escherichia coli,Ascitic fluid,7/2/2017,Udon Thani,HiSeq,DRX141353,-,-,ST405,NDM-5
C550,Escherichia coli,Ascitic fluid,17/2/2017,Udon Thani,HiSeq,DRX141354,-,-,ST410,NDM-1
C551,Klebsiella pneumoniae,Sputum,27/2/2017,Udon Thani,HiSeq,DRX141355,-,-,ST336,OXA-181
C552,Klebsiella pneumoniae,Urine,4/3/2017,Udon Thani,HiSeq,DRX141356,-,-,ST147,NDM-1
C553,Escherichia coli,Ascitic fluid,8/3/2017,Udon Thani,HiSeq,DRX141357,-,-,ST361,NDM-5
C554,Escherichia coli,Sputum,16/3/2017,Udon Thani,HiSeq,DRX141358,-,-,ST2011,NDM-1
C555,Escherichia coli,Urine,17/3/2017,Udon Thani,HiSeq,DRX141359,-,-,ST88,NDM-1
C556,Klebsiella pneumoniae,Urine,18/3/2017,Udon Thani,HiSeq,DRX141360,-,-,ST340,OXA-181
C557,Klebsiella pneumoniae,Urine,19/3/2017,Udon Thani,HiSeq,DRX141361,-,-,ST48,NDM-5
C558,Escherichia coli,Blood,17/3/2017,Udon Thani,HiSeq,DRX141362,-,-,ST405,NDM-5
C559,Klebsiella pneumoniae,Sputum,24/3/2017,Surin,HiSeq,DRX141363,-,-,ST16,NDM-1 OXA-232
C562,Escherichia coli,Sputum,6/4/2017,Surin,HiSeq,DRX141364,-,-,ST410,NDM-5
C566,Escherichia coli,Urine,5/4/2017,Surin,HiSeq,DRX141365,-,-,ST410,NDM-5
C567,Klebsiella pneumoniae,Sputum,4/4/2017,Surin,HiSeq,DRX141366,-,-,ST16,NDM-1 OXA-232
C568,Klebsiella pneumoniae,Urine,2/4/2017,Surin,HiSeq,DRX141367,-,-,ST231,OXA-232
C570,Klebsiella pneumoniae,Sputum,28/3/2017,Surin,HiSeq,DRX141368,-,-,ST16,NDM-1 OXA-232
C573,Klebsiella pneumoniae,Sputum,5/3/2017,Sakon Nakhon,HiSeq,DRX141370,-,-,ST340,OXA-181
C574,Klebsiella pneumoniae,Sputum,14/3/2017,Sakon Nakhon,HiSeq,DRX141371,-,-,ST11,OXA-181
C575,Klebsiella pneumoniae,Bedsore,25/3/2017,Sakon Nakhon,HiSeq,DRX141372,-,-,ST11,OXA-181
C576,Klebsiella pneumoniae,Sputum,27/2/2017,Sakon Nakhon,HiSeq,DRX141373,-,-,ST340,OXA-181
C577,Klebsiella pneumoniae,Sputum,7/3/2017,Sakon Nakhon,HiSeq,DRX141374,-,-,ST340,OXA-181
C578,Klebsiella pneumoniae,Sputum,11/3/2017,Sakon Nakhon,HiSeq,DRX141375,-,-,ST11,OXA-181
C579,Escherichia coli,Urine,4/4/2017,Sakon Nakhon,HiSeq,DRX141376,-,-,ST410,NDM-1
C580,Klebsiella pneumoniae,Sputum,20/3/2017,Sakon Nakhon,HiSeq,DRX141377,-,-,ST11,OXA-181
C581,Klebsiella pneumoniae,Sputum,6/4/2017,Sakon Nakhon,HiSeq,DRX141378,-,-,ST340,OXA-181
C582,Klebsiella pneumoniae,Sputum,6/3/2017,Sakon Nakhon,HiSeq,DRX141379,-,-,ST340,OXA-181
C583,Klebsiella pneumoniae,Sputum,1/3/2017,Sakon Nakhon,HiSeq,DRX141380,-,-,ST11,OXA-181
C584,Escherichia coli,Urine,16/3/2017,Sakon Nakhon,HiSeq,DRX141381,-,-,ST410,NDM-5
C585,Klebsiella pneumoniae,Urine,2/4/2017,Sakon Nakhon,HiSeq,DRX141382,-,-,ST147,NDM-1
C586,Klebsiella pneumoniae,Sputum,3/3/2017,Sakon Nakhon,HiSeq,DRX141383,-,-,ST11,OXA-181
C587,Klebsiella pneumoniae,Sputum,3/4/2017,Sakon Nakhon,HiSeq,DRX141384,-,-,ST340,OXA-181
C588,Klebsiella pneumoniae,Sputum,15/3/2017,Sakon Nakhon,HiSeq,DRX141385,-,-,ST340,OXA-181
C589,Klebsiella pneumoniae,Sputum,9/3/2017,Sakon Nakhon,HiSeq,DRX141386,-,-,ST340,OXA-181
C590,Klebsiella pneumoniae,Sputum,2/3/2017,Sakon Nakhon,HiSeq,DRX141387,-,-,ST340,OXA-181
C591,Klebsiella pneumoniae,Urine,8/3/2017,Sakon Nakhon,HiSeq,DRX141388,-,-,ST11,OXA-181
C592,Klebsiella pneumoniae,Sputum,7/3/2017,Sakon Nakhon,HiSeq,DRX141389,-,-,ST11,OXA-181
C593,Klebsiella pneumoniae,Sputum,21/3/2017,Sakon Nakhon,HiSeq,DRX141390,-,-,ST11,OXA-181
C594,Escherichia coli,Urine,17/1/2017,Sakon Nakhon,HiSeq,DRX141391,-,-,ST410,NDM-5
C595,Escherichia coli,Sputum,7/4/2017,Sakon Nakhon,HiSeq,DRX141392,-,-,ST361,NDM-5
C596,Klebsiella pneumoniae,Sputum,24/1/2017,Sakon Nakhon,HiSeq,DRX141393,-,-,ST147,NDM-1
C597,Klebsiella pneumoniae,Sputum,1/4/2017,Sakon Nakhon,HiSeq,DRX141394,-,-,ST11,OXA-181
C598,Klebsiella pneumoniae,Sputum,31/3/2017,Sakon Nakhon,HiSeq,DRX141395,-,-,ST340,OXA-181
C599,Klebsiella pneumoniae,Sputum,30/3/2017,Sakon Nakhon,HiSeq,DRX141396,-,-,ST11,OXA-181
C600,Klebsiella pneumoniae,Urine,29/3/2017,Sakon Nakhon,HiSeq,DRX141397,-,-,ST16,NDM-1 OXA-232
C601,Klebsiella pneumoniae,Urine,23/1/2017,Sakon Nakhon,HiSeq,DRX141398,-,-,ST147,NDM-1
C623,Escherichia coli,Sputum,13/4/2017,Surin,HiSeq,DRX141399,-,-,ST410,NDM-5
C626,Klebsiella pneumoniae,Blood,10/4/2017,Bueng Kan,HiSeq,DRX141400,-,-,ST16,NDM-1 OXA-232
C627,Klebsiella pneumoniae,Sputum,17/4/2017,Bueng Kan,HiSeq,DRX141401,-,-,ST16,NDM-1 OXA-232
C628,Klebsiella pneumoniae,Sputum,20/4/2017,Bueng Kan,HiSeq,DRX141402,-,-,ST16,NDM-1 OXA-232
C629,Klebsiella pneumoniae,Sputum,22/4/2017,Bueng Kan,HiSeq,DRX141403,-,-,ST16,NDM-1 OXA-232
C630,Klebsiella pneumoniae,Sputum,15/3/2017,Bueng Kan,HiSeq,DRX141404,-,-,ST336,NDM-1
C631,Klebsiella pneumoniae,Urine,7/3/2017,Bueng Kan,HiSeq,DRX141405,-,-,ST16,OXA-181
C632,Klebsiella pneumoniae,Sputum,1/5/2017,Bueng Kan,HiSeq,DRX141406,-,-,ST16,NDM-1 OXA-232
C633,Klebsiella pneumoniae,Sputum,5/5/2017,Bueng Kan,HiSeq,DRX141407,-,-,ST16,NDM-1 OXA-232
C634,Klebsiella pneumoniae,Blood,25/4/2017,Bueng Kan,HiSeq,DRX141408,-,-,ST16,NDM-1 OXA-232
C635,Klebsiella pneumoniae,Blood,29/4/2017,Bueng Kan,HiSeq,DRX141409,-,-,ST16,NDM-1 OXA-232
C665,Escherichia coli,Sputum,10/4/2017,Sakon Nakhon,HiSeq,DRX141410,-,-,ST361,NDM-5
C666,Klebsiella pneumoniae,Sputum,13/4/2017,Sakon Nakhon,HiSeq,DRX141411,-,-,ST1859,NDM-1 OXA-181
C667,Klebsiella pneumoniae,Sputum,20/4/2017,Sakon Nakhon,HiSeq,DRX141412,-,-,ST340,OXA-181
C668,Klebsiella pneumoniae,Sputum,17/4/2017,Sakon Nakhon,HiSeq,DRX141413,-,-,ST11,OXA-181
C669,Klebsiella pneumoniae,Drainage fluid from liver,14/4/2017,Sakon Nakhon,HiSeq,DRX141414,-,-,ST11,OXA-181
C670,Klebsiella pneumoniae,Urine,13/4/2017,Sakon Nakhon,HiSeq,DRX141415,-,-,ST11,OXA-181
C671,Escherichia coli,Urine,12/4/2017,Sakon Nakhon,HiSeq,DRX141416,-,-,ST410,NDM-5
C672,Klebsiella pneumoniae,Sputum,18/4/2017,Sakon Nakhon,HiSeq,DRX141417,-,-,ST147,NDM-1
C673,Klebsiella pneumoniae,Sputum,16/4/2017,Sakon Nakhon,HiSeq,DRX141418,-,-,ST11,OXA-181
C674,Klebsiella pneumoniae,Sputum,30/4/2017,Sakon Nakhon,HiSeq,DRX141419,-,-,ST340,OXA-181
C675,Klebsiella pneumoniae,Blood,21/4/2017,Sakon Nakhon,HiSeq,DRX141420,-,-,ST11,OXA-181
C676,Klebsiella pneumoniae,Blood,21/4/2017,Sakon Nakhon,HiSeq,DRX141421,-,-,ST147,NDM-1
C677,Klebsiella pneumoniae,Urine,24/4/2017,Sakon Nakhon,HiSeq,DRX141422,-,-,ST147,NDM-1
C680,Klebsiella pneumoniae,Pus,3/5/2017,Sakon Nakhon,HiSeq,DRX141423,-,-,ST340,OXA-181
C681,Klebsiella pneumoniae,Sputum,4/5/2017,Sakon Nakhon,HiSeq,DRX141424,-,-,ST340,OXA-181
C682,Klebsiella pneumoniae,Sputum,6/5/2017,Sakon Nakhon,HiSeq,DRX141425,-,-,ST11,OXA-181
C684,Escherichia coli,Urine,8/5/2017,Sakon Nakhon,HiSeq,DRX141426,-,-,ST410,NDM-5
C685,Escherichia coli,Urine,14/5/2017,Sakon Nakhon,HiSeq,DRX141427,-,-,ST410,NDM-1
C686,Klebsiella pneumoniae,Sputum,16/5/2017,Sakon Nakhon,HiSeq,DRX141428,-,-,ST147,NDM-1
C687,Escherichia coli,Urine,16/5/2017,Sakon Nakhon,HiSeq,DRX141429,-,-,ST361,NDM-5
C688,Klebsiella pneumoniae,Ascitic fluid,3/5/2017,Surin,HiSeq,DRX141430,-,-,ST231,OXA-232
C689,Escherichia coli,Urine,3/5/2017,Surin,HiSeq,DRX141431,-,-,ST410,NDM-5
C690,Klebsiella pneumoniae,Sputum,4/5/2017,Surin,HiSeq,DRX141432,-,-,ST231,OXA-232
C692,Klebsiella pneumoniae,Blood,5/5/2017,Surin,HiSeq,DRX141434,-,-,ST231,OXA-232
C693,Klebsiella pneumoniae,Sputum,4/5/2017,Surin,HiSeq,DRX141435,-,-,ST231,OXA-232
C694,Klebsiella pneumoniae,Sputum,5/5/2017,Surin,HiSeq,DRX141436,-,-,ST231,OXA-232
C695,Klebsiella pneumoniae,Urine,15/5/2017,Surin,HiSeq,DRX141437,-,-,ST231,NDM-1
C696,Klebsiella pneumoniae,Blood,12/5/2017,Surin,HiSeq,DRX141438,-,-,ST231,OXA-232
C697,Klebsiella pneumoniae,Sputum,12/5/2017,Surin,HiSeq,DRX141439,-,-,ST231,OXA-232
C698,Klebsiella pneumoniae,Sputum,12/5/2017,Surin,HiSeq,DRX141440,-,-,ST231,OXA-232
C699,Klebsiella pneumoniae,Sputum,12/5/2017,Surin,HiSeq,DRX141441,-,-,ST323,NDM-1
C700,Escherichia coli,Sputum,12/5/2017,Surin,HiSeq,DRX141442,-,-,ST410,NDM-5
C701,Escherichia coli,Urine,15/5/2017,Surin,HiSeq,DRX141443,-,-,ST410,NDM-5
C702,Klebsiella pneumoniae,Urine,12/5/2017,Surin,HiSeq,DRX141444,-,-,ST231,OXA-232
C703,Escherichia coli,Urine,12/5/2017,Surin,HiSeq,DRX141445,-,-,ST410,NDM-5
C704,Escherichia coli,Blood,25/3/2017,Udon Thani,HiSeq,DRX141446,-,-,ST354,NDM-1
