reference,strain,SampleAcc,LaneAcc,SupplierName,StudyAccession,species,species_match,contig_count,N50,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,SUPPLIER_SAMPLE_NAME,DATE,Strain,main_ST,neonate,major_wards
Lester et al 2022,30602_7#185,ERS3502192,ERR4504332,CES17I_0519_1,ERP115360,Klebsiella pneumoniae,strong,56,540223,954625,5613716,yes (395),ambiguous_bases,ST4073,0,1,9,19,-,0,-,0,-,0,-,0,-,0,-,wzi5,KL5,aac(3)-IIa.v1^;aac(6')-Ib'.v1;strA.v1;strB.v1,-,-,qnrS1,-,-,CatB4.v1;catII.2*;cmlA5,arr-2,sul1;sul2,tet(A).v1,-,dfrA1.v2;dfrA14.v2*,LAP-2;OXA-1;OXA-10;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-37,35Q,-,-,-,OXA-9.v1*-42%;aadA*?-0%,-,ST4073,12,6,1,3,8,5,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES17I,2018,NA,other,n,unknown
Lester et al 2022,30602_7#190,ERS3502289,ERR4504335,CES12X_0519_1,ERP115360,Klebsiella pneumoniae,strong,43,430223,923486,5412082,yes (857),ambiguous_bases,ST1427,0,1,8,12,-,0,-,0,-,0,-,0,-,0,-,-,-,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,fosA7*?-0%,ST1427,2,1,10,1,9,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES12X,2018,NA,other,n,unknown
Lester et al 2022,30602_7#218,ERS3502200,ERR4504348,CES17V_0519_1,ERP115360,Klebsiella pneumoniae,strong,45,413440,1062841,5588510,yes (827),ambiguous_bases,ST14,1,1,8,13,ybt 9; ICEKp3,183-2LV,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA*,-,-,qnrB1.v2^,-,-,CatB4.v1;catII.2*;cmlA5,arr-2,sul2,-,-,dfrA14.v2*,OXA-1;OXA-10,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,-,-,-,ST14,1,6,1,1,1,1,1,5,11,6*,5,1,25,37,9,78,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES17V,2019,NA,ST14,n,unknown
Lester et al 2022,30602_7#256,ERS3502311,ERR4504366,CES158_0519_1,ERP115360,Klebsiella pneumoniae,strong,46,524259,1025135,5581972,yes (979),ambiguous_bases,ST607,1,1,8,12,ybt 14; ICEKp5,135-3LV,-,0,-,0,-,0,-,0,-,wzi133,KL25,aac(3)-IIa.v1;aac(6')-Ib-cr.v2;aadA16*;strB.v1*,-,-,-,-,-,catII.2*,arr-3,sul1;sul2,tet(D),-,dfrA27,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1^,-,-,-,-,strA.v1*?-0%,-,ST607,2,1,2,80,10,1,155,4,4,5,4,1,27,251,95,4,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES158,2018,NA,ST607,n,unknown
Lester et al 2022,30602_7#272,ERS3502315,ERR4504377,CES15K_0519_1,ERP115360,Klebsiella pneumoniae,strong,142,334797,836262,5596466,yes (877),ambiguous_bases,ST39,1,1,8,14,ybt 16; ICEKp12,277,-,0,-,0,-,0,-,0,-,wzi83,KL23,aac(3)-IIa.v1;aac(6')-Ib-cr.v2;aadA16*;strA.v1*;strB.v1*?,-,-,-,-,-,catA1^;catII.2*,arr-3,sul1;sul2,tet(D),-,dfrA27,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST39,2,1,2,4,9,1,14,6,15,5,4,11,33,23,2,11,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES15K,2018,NA,ST39,n,unknown
Lester et al 2022,30602_7#296,ERS3502321,ERR4504394,CES15T_0519_1,ERP115360,Klebsiella pneumoniae,strong,41,366630,791518,5679261,yes (141),ambiguous_bases,ST39,1,1,7,11,ybt 16; ICEKp12,294,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,-,-,-,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST39,2,1,2,4,9,1,14,6,15,5,4,11,286,304,2,11,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25*,-,-,-,-,-,CES15T,2018,NA,ST39,n,unknown
Lester et al 2022,30602_7#300,ERS3502322,ERR4504397,CES15S_0519_1,ERP115360,Klebsiella pneumoniae,strong,41,378132,1137491,5557196,yes (73),ambiguous_bases,ST307,0,1,8,12,-,0,-,0,-,0,-,0,-,0,-,wzi173,"KL102 (KL149,KL155)",aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,GyrA-83I;ParC-80I,-,-,ST307,4,1,2,52,1,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES15S,2018,NA,ST307,n,unknown
Lester et al 2022,30602_7#373,ERS3502342,ERR4504450,CES16B_0519_1,ERP115360,Klebsiella pneumoniae,strong,61,380848,732454,5557553,yes (746),ambiguous_bases,ST35,0,1,6,9,-,0,-,0,-,0,-,0,-,0,-,wzi85,KL30,aac(3)-IIa.v1^;aac(3)-IId^;aac(6')-Ib'.v1;aadA*,-,-,-,-,-,catII.2*,-,sul2,-,-,dfrA30*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-33*,-,-,-,-,OXA-9.v1*-42%,-,ST35,2,1,2,1,10,1,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES16B,2018,NA,ST35,n,unknown
Lester et al 2022,30602_7#46,ERS3502254,ERR4504264,CES13Z_0519_1,ERP115360,Klebsiella pneumoniae,strong,54,372259,583707,5653220,yes (524),ambiguous_bases,ST39,0,1,7,12,-,0,-,0,-,0,-,0,-,0,-,wzi62,KL62,aac(3)-IId^;aph3-Ia.v1^;strA.v1^;strB.v1,-,-,-,-,-,catA1^,-,sul1;sul2*,tet(A).v1,-,dfrA30*;dfrA7,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST39,2,1,2,4,9,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES13Z,2018,NA,ST39,n,unknown
Lester et al 2022,30602_7#49,ERS3502255,ERR4504266,CES141_0519_1,ERP115360,Klebsiella pneumoniae,strong,56,295170,1018743,5517377,yes (337),ambiguous_bases,ST17,1,1,7,8,ybt 16; ICEKp12,277,-,0,-,0,-,0,-,0,-,wzi141,KL25,aac(3)-IIa.v1;strA.v1*,-,-,-,-,-,catII.2*,-,sul2*,tet(D),-,dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,aph(6)-Id.v2*?-53%,ST17,2,1,1,1,4,4,4,6,15,5,4,11,33,23,2,11,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES141,2018,NA,ST17,n,unknown
Lester et al 2022,36195_1#104,ERS5122592,ERR8574838,CES1B1,ERP115360,Klebsiella pneumoniae,strong,33,325710,1184606,5540811,yes (325),ambiguous_bases,ST307,1,1,6,8,ybt 9; ICEKp3,187,-,0,-,0,-,0,-,0,-,wzi173,"KL102 (KL149,KL155)",aac(3)-IIa.v1^;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,-,-,sul2,-,-,dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,GyrA-83I;ParC-80I,-,-,ST307,4,1,2,52,1,1,7,5,11,6,5,1,25,282,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES1B1,2019,NA,ST307,n,unknown
Lester et al 2022,36195_1#105,ERS5122415,ERR8574839,CES12W,ERP115360,Klebsiella pneumoniae,strong,47,356029,1165746,5649767,yes (1272),ambiguous_bases,ST1552,0,1,8,13,-,0,-,0,-,0,-,0,-,0,-,wzi119,KL24,aac(3)-IIa.v1;aadA1.v1^;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,catA1^,-,sul1;sul2,tet(A).v1,-,dfrA1.v2;dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST1552,2,1,2,1,3,25,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES12W,2018,NA,ST1552,n,unknown
Lester et al 2022,36195_1#111,ERS5122596,ERR8574843,CES13U,ERP115360,Klebsiella pneumoniae,strong,1468,380835,1197059,6231767,yes (5013),ambiguous_bases,ST256,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi209,KL47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11.v1^,35Q,-,-,-,TEM-206*?-0%;tet(B).v2*?-0%,aac(3)-IId?-0%,ST256,2,1,2,1,13,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES13U,2018,NA,other,n,unknown
Lester et al 2022,36195_1#11,ERS5122407,ERR8574768,CES17K,ERP115360,Klebsiella pneumoniae,strong,69,371155,1004133,5781294,yes (1347),ambiguous_bases,ST4,0,1,7,15,-,0,-,0,-,0,-,0,-,0,-,wzi13,KL13,aac(3)-IIa.v1;aac(6')-Ib-cr.v2;aadA^;strA.v1;strB.v1*,-,-,qnrS1,-,-,CatB4.v1;catA1*,-,sul1^;sul2,-,-,dfrA15.v2,OXA-1;SCO-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST4,3,1,1,1,3,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES17K,2018,NA,other,n,unknown
Lester et al 2022,36195_1#126,ERS5122604,ERR8574855,CES1BH,ERP115360,Klebsiella pneumoniae,strong,38,428831,764926,5784117,yes (83),ambiguous_bases,ST22,0,1,6,7,-,0,-,0,-,0,-,0,-,0,-,wzi9,KL9,aac(3)-IIa.v1;aadA^,-,-,-,-,-,-,-,sul1^,tet(A).v1,-,dfrA15.v2,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1^,-,-,-,-,-,-,ST22,2,3,1,1,1,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA,other,n,unknown
Lester et al 2022,36195_1#131,ERS5122606,ERR8574858,CES1A1,ERP115360,Klebsiella pneumoniae,strong,76,184577,471784,5620277,yes (1),ambiguous_bases,ST25,1,1,9,14,ybt 14; ICEKp5,145-2LV,-,0,-,0,-,0,-,0,-,wzi72,KL2,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aph3-Ia.v1^;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,mphA,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST25,2,1,1,1,10,4,13,4,4,5,4,1,275,328*,2,4,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES1A1,2019,NA,ST25,n,unknown
Lester et al 2022,36195_1#140,ERS5122610,ERR8574865,CES140,ERP115360,Klebsiella pneumoniae,strong,24,552582,2055047,5372317,yes (577),ambiguous_bases,ST48,1,1,3,5,ybt 10; ICEKp4,481-4LV,-,0,-,0,-,0,-,0,-,wzi62,KL62,aac(3)-IIa.v1;strA.v1^;strB.v1,-,-,-,-,-,-,-,-,-,-,-,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,sul2*?-85%,-,ST48,2,5,2,2,7,1,10,32,12,193,39*,25,91,564*,135,25*,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES140,2018,NA,ST48,n,unknown
Lester et al 2022,36195_1#146,ERS5122432,ERR8574869,CES12G,ERP115360,Klebsiella pneumoniae,strong,47,423104,1156886,5649662,yes (829),ambiguous_bases,ST1552,0,1,8,13,-,0,-,0,-,0,-,0,-,0,-,wzi119,KL24,aac(3)-IIa.v1;aadA1.v1^;strA.v1*;strB.v1,-,-,qnrB1.v2^,-,-,catA1^,-,sul1;sul2,tet(A).v1,-,dfrA1.v2;dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST1552,2,1,2,1,3,25,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES12G,2018,NA,ST1552,n,unknown
Lester et al 2022,36195_1#150,ERS5297832,ERR8574872,CES1C7,ERP115360,Klebsiella pneumoniae,strong,356,350851,797354,5661402,yes (1763),ambiguous_bases,ST45,1,2,7,12,ybt 10; ICEKp4,78,-,0,-,0,-,0,-,0,-,wzi50,"KL15 (KL17,KL51,KL52)",aph(3')-VI;strA.v1*;strB.v1,-,-,-,-,mphA,-,-,sul1;sul2*,tet(A).v1,-,dfrA14.v2*;dfrA19*,CARB-2.v1^;TEM-1D.v1^,-,-,-,NDM-1,SHV-1,-,-,-,-,-,OXA-356*?-0%;mphE.v2?-61%;msrE?-50%;tet(39)?-0%,ST45,2,1,1,6,7,1,12,3,12,4,11,3,21,18,3,10,16,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES1C7,2019,NA,ST45,n,unknown
Lester et al 2022,36195_1#153,ERS5122436,ERR8574875,CES1BW,ERP115360,Klebsiella pneumoniae,strong,39,426678,1300589,5404761,yes (226),ambiguous_bases,ST1427,0,1,7,8,-,0,-,0,-,0,-,0,-,0,-,-,-,strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,-,-,sul2,tet(A).v1,-,dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,fosA7*?-0%,ST1427,2,1,10,1,9,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES1BW,2019,NA,other,n,unknown
Lester et al 2022,36195_1#155,ERS5122619,ERR8574877,CES1AD,ERP115360,Klebsiella pneumoniae,strong,26,1462438,2019748,5484351,yes (809),ambiguous_bases,ST14,1,1,8,12,ybt 10; ICEKp4,78,-,0,-,0,-,0,-,0,-,wzi16,KL16 (KL143),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,-,-,-,ST14,1,6,1,1,1,1,1,3,12,4,11,3,21,18,3,10,16,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES1AD,2019,NA,ST14,n,unknown
Lester et al 2022,36195_1#16,ERS5122341,ERR8574772,CES192,ERP115360,Klebsiella pneumoniae,strong,44,519279,1209347,5563796,yes (403),ambiguous_bases,ST147,1,1,8,16,ybt 16; ICEKp12,280,-,0,-,0,-,0,-,0,-,wzi64,KL64,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;strA.v1;strB.v1,-,-,qnrS1,-,mphA,CatB4.v1;catA1^;catII.2*,-,sul1;sul2,-,-,dfrA12,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,OmpK35-7%,-,GyrA-83I;ParC-80I,-,-,ST147,3,4,6,1,7,4,38,6,15,5,4,11,125,129,2,11,51,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES192,2019,NA,other,n,unknown
Lester et al 2022,36195_1#186,ERS5122448,ERR8574899,CES17S,ERP115360,Klebsiella pneumoniae,strong,31,424594,915044,5322813,yes (181),ambiguous_bases,ST584,0,1,7,11,-,0,-,0,-,0,-,0,-,0,-,wzi9,KL9,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,CatB4.v1,-,sul2,-,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-168^,146V,-,-,-,-,-,ST584,4,1,2,1,1,7,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES17S,2018,NA,ST584,n,unknown
Lester et al 2022,36195_1#189,ERS5122450,ERR8574902,CES18Q,ERP115360,Klebsiella pneumoniae,strong,47,413438,1063231,5588348,yes (482),ambiguous_bases,ST14,1,1,8,13,ybt 9; ICEKp3,183-2LV,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA*,-,-,qnrB1.v2^,-,-,CatB4.v1;catII.2*;cmlA5,arr-2,sul2,-,-,dfrA14.v2*,OXA-1;OXA-10,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,-,-,-,ST14,1,6,1,1,1,1,1,5,11,6*,5,1,25,37,9,78,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES18Q,2019,NA,ST14,n,unknown
Lester et al 2022,36195_1#208,ERS5122459,ERR8574916,CES1C0,ERP115360,Klebsiella pneumoniae,strong,60,391089,729895,5611933,no,-,ST29,1,1,6,9,ybt 13; ICEKp2,303-2LV,-,0,-,0,-,0,-,0,-,wzi19,KL19,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1^,-,-,-,-,-,CatB4.v1,-,sul2,-,-,dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-187,-,-,-,-,-,OXA-1?-0%,ST29,2,3,2,2,6,4,4,6,4,20,61,1,253,299,2*,76,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES1C0,2019,NA,ST29,n,unknown
Lester et al 2022,36195_1#217,ERS5122471,ERR8574923,CES14M,ERP115360,Klebsiella pneumoniae,strong,40,416466,873827,5425582,yes (569),ambiguous_bases,ST17,1,1,5,5,ybt 9; ICEKp3,183,-,0,-,0,-,0,-,0,-,wzi141,KL25,aac(3)-IId^,-,-,-,-,-,-,-,sul2,-,-,dfrA30*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST17,2,1,1,1,4,4,4,5,11,6,5,1,25,37,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES14M,2018,NA,ST17,n,unknown
Lester et al 2022,36195_1#222,ERS5122473,ERR8574926,CES196,ERP115360,Klebsiella pneumoniae,strong,63,412580,1063225,5597513,yes (625),ambiguous_bases,ST14,1,1,8,13,ybt 9; ICEKp3,183-2LV,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA*,-,-,qnrB1.v2^,-,-,CatB4.v1;catII.2*;cmlA5,arr-2,sul2,-,-,dfrA14.v2*,OXA-1;OXA-10,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,-,-,-,ST14,1,6,1,1,1,1,1,5,11,6*,5,1,25,37,9,78,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES196,2019,NA,ST14,n,unknown
Lester et al 2022,36195_1#225,ERS5122475,ERR8574929,CES19R,ERP115360,Klebsiella pneumoniae,strong,34,465939,927788,5424466,yes (95),ambiguous_bases,ST3328,0,1,6,10,-,0,-,0,-,0,-,0,-,0,-,wzi149,KL62,aac(3)-IIa.v1;aadA^;strB.v1,-,-,-,-,-,-,-,sul1^;sul2,tet(A).v1,-,dfrA14.v2;dfrA15.v2,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1*,-,-,-,-,-,strA.v1*?-66%,ST3328,4,20,2,1,1,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES19R,2019,NA,other,n,unknown
Lester et al 2022,36195_1#246,ERS5122482,ERR8574944,CES148,ERP115360,Klebsiella pneumoniae,strong,38,372050,738124,5645047,yes (417),ambiguous_bases,ST39,0,1,7,12,-,0,-,0,-,0,-,0,-,0,-,wzi62,KL62,aac(3)-IId^;aph3-Ia.v1^;strA.v1^;strB.v1,-,-,-,-,-,catA1^,-,sul1;sul2*?,tet(A).v1,-,dfrA30*;dfrA7,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST39,2,1,2,4,9,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES148,2018,NA,ST39,n,unknown
Lester et al 2022,36195_1#254,ERS5122699,ERR8574951,CES19L,ERP115360,Klebsiella pneumoniae,strong,28,577917,1512557,5656603,yes (619),ambiguous_bases,ST3559,0,1,8,12,-,0,-,0,-,0,-,0,-,0,-,wzi187,KL27,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,fosA7*-15%,-,ST3559,2,1,2,1,9,192,116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES19L,2019,NA,other,n,unknown
Lester et al 2022,36195_1#25,ERS5297830,ERR8574779,CES15W,ERP115360,Klebsiella pneumoniae,strong,84,287864,551838,5620600,yes (1),ambiguous_bases,ST25,0,1,7,15,-,0,-,0,-,0,-,0,-,0,-,wzi72,KL2,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1;strB.v1,-,-,qnrS1,-,-,CatB4.v1;catA1*,-,sul1;sul2,-,-,dfrA14.v2*;dfrA15.v2,LAP-2;OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST25,2,1,1,1,10,4,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES15W,2018,NA,ST25,n,unknown
Lester et al 2022,36195_1#261,ERS5122487,ERR8574956,CES19N,ERP115360,Klebsiella pneumoniae,strong,41,327481,806266,5678781,yes (76),ambiguous_bases,ST39,1,1,7,11,ybt 16; ICEKp12,294,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,-,-,-,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST39,2,1,2,4,9,1,14,6,15,5,4,11,286,304,2,11,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25*,-,-,-,-,-,CES19N,2019,NA,ST39,n,unknown
Lester et al 2022,36195_1#266,ERS5122489,ERR8574959,CES1AW,ERP115360,Klebsiella pneumoniae,strong,53,375680,840260,5678206,yes (1200),ambiguous_bases,ST607,1,1,8,14,ybt 14; ICEKp5,135-3LV,-,0,-,0,-,0,-,0,-,wzi133,KL25,aac(3)-IIa.v1;aac(6')-Ib-cr.v2;aadA16*;strA.v1*;strB.v1*,-,-,qnrB6^,-,-,catII.2*,arr-3,sul1;sul1?;sul2,-,-,dfrA27,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1^,-,-,-,-,-,-,ST607,2,1,2,80,10,1,155,4,4,5,4,1,27,251,95,4,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CES1AW,2019,NA,ST607,n,unknown
