S. No, ID,Source,Location,Reference,Sample Accession,Reads Accession,Collection Year,ST,Baps Level1,Baps Level2,K-Type,ybt-type,Host disease,Isolation source,Source details
244,K4/CI4,Livestock,India,This study,ERS16090857,ERR11759392,2021,ST2735,2,5,unknown (KL110),-,,Poultry,Chicken Intestine
245,K5/CF1,Livestock,India,This study,ERS16090858,ERR11759393,2021,ST5639,2,4,K57,-,,Poultry,Chicken Feed
246,k6/CW3,Livestock,India,This study,ERS16090859,ERR11759394,2021,ST515,2,5,unknown (KL146),-,,Poultry,Chicken dropping
247,K8/CI3,Livestock,India,This study,ERS16090860,ERR11759395,2021,ST661,2,4,unknown (KL162),-,,Poultry,Chicken Intestine
248,K9/CM7,Livestock,India,This study,ERS16090861,ERR11759396,2021,ST3630,2,4,unknown (KL167),-,,Poultry,Chicken Meat
249,MI01,Livestock,India,This study,ERS16090862,ERR11759397,2021,ST29,2,5,K19,ybt 14,,Goat,Goat Intestine
250,MI02,Livestock,India,This study,ERS16090863,ERR11759398,2021,ST138,4,13,K34,-,,Goat,Goat Intestine
251,MI03,Livestock,India,This study,ERS16090864,ERR11759399,2022,ST2433,2,4,K30,-,,Goat,Goat Intestine
252,MI07,Livestock,India,This study,ERS16090865,ERR11759400,2022,ST1726,2,4,K81,-,,Goat,Goat Intestine
253,MM02,Livestock,India,This study,ERS16090866,ERR11759429,2021,ST1109,2,5,K2,-,,Goat,Goat Meat
254,MM04,Livestock,India,This study,ERS16090867,ERR11759401,2022,ST138,4,13,unknown (K50),-,,Goat,Goat Meat
255,MM09,Livestock,India,This study,ERS16090868,ERR11759402,2022,ST295-2LV,2,4,K71,-,,Goat,Goat Meat
256,MM11,Livestock,India,This study,ERS16090869,ERR11759403,2022,ST182,2,4,K47,-,,Goat,Goat Meat
257,MM15_Kleb,Livestock,India,This study,ERS16090870,ERR11759404,2022,ST25-1LV,2,4,K2,-,,Goat,Goat Meat
258,MM16,Livestock,India,This study,ERS16090871,ERR11759405,2022,ST25-1LV,2,4,K2,-,,Goat,Goat Meat
259,Na-5,Hospital Sewage,India,This study,ERS16090787,,2020,ST147,2,6,K10,-,,hospital sewage,
260,Na6,Hospital Sewage,India,This study,ERS16090788,ERR11759406,2020,ST5645,6,17,unknown (K81),-,,hospital sewage,
261,OHB-1,Clinical,India,This study,ERS16090674,ERR11759290,2021,ST437,2,7,K36,ybt 9,Sepsis,blood,Human
262,OHB-2,Clinical,India,This study,ERS16090675,ERR11759291,2020,ST14,3,8,K2,ybt 14,Sepsis,blood,Human
263,OHB-3,Clinical,India,This study,ERS16090676,ERR11759292,2021,ST437,2,7,K36,ybt 9,Sepsis,blood,Human
264,OHB-4,Clinical,India,This study,ERS16090677,ERR11759293,2021,ST14,3,8,K64,ybt 14,Sepsis,blood,Human
265,OHB-5,Clinical,India,This study,ERS16090678,ERR11759294,2020,ST2127,2,4,K47,-,Sepsis,blood,Human
266,OHB-6,Clinical,India,This study,ERS16090679,ERR11759295,2021,ST15,3,9,unknown (KL112),ybt 16,Sepsis,blood,Human
267,OHB-7,Clinical,India,This study,ERS16090680,ERR11759296,2021,ST16,2,5,K81,ybt 16,Sepsis,blood,Human
268,OHB-8,Clinical,India,This study,ERS16090681,ERR11759297,2021,ST14,3,8,K2,ybt 14,Sepsis,blood,Human
269,OHB-9,Clinical,India,This study,ERS16090682,ERR11759298,2021,ST101-1LV,2,5,K17,ybt 9,Sepsis,blood,Human
270,OHB-10,Clinical,India,This study,ERS16090683,ERR11759299,2020,ST2096,3,8,K64,ybt 14,Sepsis,blood,Human
271,OHB-11,Clinical,India,This study,ERS16090684,ERR11759300,2021,ST2096,3,8,K64,ybt 14,Sepsis,blood,Human
272,OHB-12,Clinical,India,This study,ERS16090685,ERR11759301,2021,ST2096,3,8,K64,ybt 14,Sepsis,blood,Human
273,OHB-13,Clinical,India,This study,ERS16090686,ERR11759302,2020,ST2096,3,8,K64,ybt 14,Sepsis,blood,Human
274,OHB-14,Clinical,India,This study,ERS16090687,ERR11759303,2021,ST16,2,5,K81,ybt 16,Sepsis,blood,Human
275,OHB-15,Clinical,India,This study,ERS16090688,ERR11759304,2021,ST147,2,6,K10,ybt 9,Sepsis,blood,Human
276,OHB-16,Clinical,India,This study,ERS16090689,ERR11759305,2021,ST2497,2,7,K64,ybt 16,Sepsis,blood,Human
277,OHB-17,Clinical,India,This study,ERS16090690,ERR11759306,2021,ST437,2,7,K36,ybt 9,Sepsis,blood,Human
278,OHB-18,Clinical,India,This study,ERS16090691,ERR11759307,2020,ST2096,3,8,K64,ybt 14,Sepsis,blood,Human
279,OHB-19,Clinical,India,This study,ERS16090692,ERR11759308,2021,ST231,1,1,K51,-,Sepsis,blood,Human
280,OHB-20,Clinical,India,This study,ERS16090693,ERR11759309,2021,ST16,2,5,K81,ybt 16,Sepsis,blood,Human
281,OHB-21,Clinical,India,This study,ERS16090694,ERR11759310,2021,ST231,1,1,K51,-,Sepsis,blood,Human
282,OHB-22,Clinical,India,This study,ERS16090695,ERR11759311,2021,ST15,3,9,K24,ybt 16,Sepsis,blood,Human
283,OHB-23,Clinical,India,This study,ERS16090696,ERR11759312,2021,ST437,2,7,K36,ybt 9,Sepsis,blood,Human
284,OHB-24,Clinical,India,This study,ERS16090697,ERR11759313,2021,ST15,3,9,unknown (KL112),ybt 16,Sepsis,blood,Human
285,OHB-25,Clinical,India,This study,ERS16090698,ERR11759314,2021,ST2096,3,8,K64,ybt 14,Sepsis,blood,Human
286,OHB-26,Clinical,India,This study,ERS16090699,ERR11759315,2021,ST437,2,7,K36,ybt 9,Sepsis,blood,Human
287,OHB-27,Clinical,India,This study,ERS16090700,ERR11759316,2021,ST395,2,7,K64,ybt 16,Sepsis,blood,Human
288,OHB-28,Clinical,India,This study,ERS16090701,ERR11759317,2021,ST15,3,9,unknown (KL112),ybt 16,Sepsis,blood,Human
289,OHB-29,Clinical,India,This study,ERS16090702,ERR11759318,2021,ST2096,3,8,K64,ybt 14,Sepsis,blood,Human
290,OHB-30,Clinical,India,This study,ERS16090703,ERR11759319,2021,ST15,3,9,unknown (KL112),ybt 16,Sepsis,blood,Human
291,OHB-31,Clinical,India,This study,ERS16090704,ERR11759320,2021,ST15,3,9,K2,ybt 16,Sepsis,blood,Human
292,OHB-32,Clinical,India,This study,ERS16090705,ERR11759321,2020,ST2882,2,4,unknown (KL128),-,Sepsis,blood,Human
293,OHB-33,Clinical,India,This study,ERS16090706,ERR11759322,2021,ST16,2,5,K81,ybt 16,Sepsis,blood,Human
294,OHB-34,Clinical,India,This study,ERS16090707,ERR11759323,2021,ST15,3,9,unknown (KL112),ybt 16,Sepsis,blood,Human
295,OHB-35,Clinical,India,This study,ERS16090708,ERR11759324,2021,ST16,2,5,K81,ybt 16,Sepsis,blood,Human
296,OHB-36,Clinical,India,This study,ERS16090709,ERR11759325,2020,ST231,1,1,K51,ybt 14,Sepsis,blood,Human
297,OHB-37,Clinical,India,This study,ERS16090710,ERR11759326,2021,ST1040-1LV,6,16,unknown (KL111),-,Sepsis,blood,Human
298,OHB-38,Clinical,India,This study,ERS16090711,ERR11759327,2021,ST2497,2,7,K64,ybt 16,Sepsis,blood,Human
299,OHB-39,Clinical,India,This study,ERS16090712,ERR11759328,2020,ST231,1,1,K51,-,Sepsis,blood,Human
300,OHB-40,Clinical,India,This study,ERS16090713,ERR11759329,2021,ST231,1,2,K64,ybt 9,Sepsis,blood,Human
301,OHB-41,Clinical,India,This study,ERS16090714,ERR11759330,2021,ST152,2,4,unknown (KL149),-,Sepsis,blood,Human
302,OHB-42,Clinical,India,This study,ERS16090715,,2021,ST1808,2,4,K15,-,Sepsis,blood,Human
303,OHB-43,Clinical,India,This study,ERS16090716,ERR11759331,2021,ST16,2,5,K81,-,Sepsis,blood,Human
304,OHB-44,Clinical,India,This study,ERS16090717,ERR11759332,2021,ST231,1,1,K51,-,Sepsis,blood,Human
305,OHB-45,Clinical,India,This study,ERS16090718,ERR11759333,2021,NA,5,15,unknown (K68),-,Sepsis,blood,Human
306,OHB-46,Clinical,India,This study,ERS16090719,,2020,ST2096,3,8,K64,ybt 14,Sepsis,blood,Human
307,OHB-47,Clinical,India,This study,ERS16090720,ERR11759334,2020,ST15,3,9,K19,ybt 15,Sepsis,blood,Human
308,OHB-48,Clinical,India,This study,ERS16090721,ERR11759335,2020,ST2497,2,7,K64,-,Sepsis,blood,Human
309,OHS-1,Clinical,India,This study,ERS16090722,ERR11759413,2021,ST392,2,6,K27,-,respiratory infection,Sputum,Human
310,OHS-2,Clinical,India,This study,ERS16090723,ERR11759414,2021,ST29,2,5,K54,ybt 14,respiratory infection,Sputum,Human
311,OHS-3,Clinical,India,This study,ERS16090724,ERR11759415,2021,ST3663,2,4,unknown (K2),ybt 10,respiratory infection,Sputum,Human
312,OHS-4,Clinical,India,This study,ERS16090725,ERR11759416,2021,ST437,2,7,K36,ybt 9,respiratory infection,Sputum,Human
313,OHS-5,Clinical,India,This study,ERS16090726,,2021,ST327,2,4,K39,-,respiratory infection,Sputum,Human
314,OHS-6,Clinical,India,This study,ERS16090727,ERR11759417,2021,ST147,2,6,K51,ybt 14,respiratory infection,Sputum,Human
315,OHS-7,Clinical,India,This study,ERS16090728,ERR11759418,2021,ST5641,2,4,K30,-,respiratory infection,Sputum,Human
316,OHS-8,Clinical,India,This study,ERS16090729,ERR11759419,2021,ST16,2,5,unknown (K81),-,respiratory infection,Sputum,Human
317,OHS-9,Clinical,India,This study,ERS16090730,ERR11759420,2021,ST395,2,7,K64,ybt 16,respiratory infection,Sputum,Human
318,OHS-10,Clinical,India,This study,ERS16090731,ERR11759421,2020,ST11,2,7,unknown (KL105),-,respiratory infection,Sputum,Human
319,OHS-11,Clinical,India,This study,ERS16090732,ERR11759422,2020,ST893,2,4,K20,ybt 19,respiratory infection,Sputum,Human
320,PI01,Livestock,India,This study,ERS16090872,ERR11759407,2021,ST29,2,5,K19,ybt 14,,Swine,Pig Intestine
321,PI02,Livestock,India,This study,ERS16090873,ERR11759408,2021,ST4818-1LV,4,11,unknown (K17),-,,Swine,Pig Intestine
322,PI03,Livestock,India,This study,ERS16090874,ERR11759409,2021,ST4818-1LV,4,11,unknown (K17),-,,Swine,Pig Intestine
323,PI04,Livestock,India,This study,ERS16090875,ERR11759410,2021,ST2083-3LV,6,17,K11,-,,Swine,Pig Intestine
324,PM02,Livestock,India,This study,ERS16090876,ERR11759411,2021,ST1027-2LV,2,4,K13,-,,Swine,Pig Meat
325,PM04,Livestock,India,This study,ERS16090877,ERR11759412,2021,ST4818-1LV,4,11,unknown (K17),-,,Swine,Pig Meat
326,VMC-2,Hospital Sewage,India,This study,ERS16090789,ERR11759423,2020,ST37,2,4,unknown (KL125),-,,hospital sewage,
327,VMC-3-KP-1,Hospital Sewage,India,This study,ERS16090790,ERR11759424,2020,ST668,6,18,unknown (KL172),-,,hospital sewage,
328,VMC-3-KP2,Hospital Sewage,India,This study,ERS16090791,ERR11759425,2020,ST147,2,6,K64,ybt 9,,hospital sewage,
329,VMC-5,Hospital Sewage,India,This study,ERS16090794,ERR11759426,2020,ST5644,6,18,unknown (KL172),-,,hospital sewage,
330,VMC-6,Hospital Sewage,India,This study,ERS16090792,ERR11759427,2020,ST3876,6,17,K23,-,,hospital sewage,
331,VMC-6-KP1,Hospital Sewage,India,This study,ERS16090793,ERR11759428,2020,ST313,2,4,unknown (KL107),-,,hospital sewage,
