study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJNA551327	False	31440476	PMC6694789	10.3389/fcimb.2019.00281	europepmc_accession	high	True	1	9.0	1.8	False	False	False	1	Tracking Carbapenem-Producing <i>Klebsiella pneumoniae</i> Outbreak in an Intensive Care Unit by Whole Genome Sequencing.
PRJNA802088	False	37428086	PMC10433805	10.1128/aac.00368-23	europepmc_accession	medium	True	1	5.0	1.0	False	False	False	1	Multiplicity of <i>bla</i><sub>KPC</sub> Genes and pKpQIL Plasmid Plasticity in the Development of Ceftazidime-Avibactam and Meropenem Coresistance in Klebsiella pneumoniae Sequence Type 307.
PRJNA875629	False	36421260	PMC9687000	10.3390/antibiotics11111616	europepmc_accession	high	True	1	5.0	1.0	False	False	False	1	The Genetic Characteristics and Carbapenem Resistance Mechanism of ST307 <i>Klebsiella pneumoniae</i> Coharbouring <i>bla</i><sub>CMY-6</sub>, <i>bla</i><sub>OXA-48</sub>, and a Truncated <i>bla</i><sub>NDM-1</sub>.
PRJNA882601	True					low		0			False	False	False	0	
PRJNA715300	True					low		0			False	False	False	0	
PRJNA776301	True					low		0			False	False	False	0	
PRJNA613075	False	33935984	PMC8085564	10.3389/fmicb.2021.604031	europepmc_accession,ncbi_bioproject	high	True	2	5.0	1.0	False	False	False	1	Multidrug-Resistant (MDR) <i>Klebsiella variicola</i> Strains Isolated in a Brazilian Hospital Belong to New Clones.
PRJNA733494	False	35895774	PMC9661483	10.2460/ajvr.21.12.0205	europepmc_accession	high		1	5.0	1.0	False	False	False	1	Evaluation of canine raw food products for the presence of extended-spectrum beta-lactamase- and carbapenemase-producing bacteria of the order Enterobacterales.
PRJNA296604	True					low		0			False	False	False	0	
PRJNA491527	True					low		0			False	False	False	0	
PRJNA691968	True					high		0			False	False	True	1	
PRJNA657522	False	34225485	PMC8406280	10.1128/mbio.01114-21	europepmc_accession	high	True	1	5.0	1.0	False	False	False	1	Replication Dynamics for Six Gram-Negative Bacterial Species during Bloodstream Infection.
PRJNA687988	True					low		0			False	False	False	0	
PRJNA622828	True					low		0			False	False	False	0	
PRJNA1067287	True					low		0			False	False	False	0	
PRJDB5117	False	28138943		10.1007/s15010-017-0986-3	ncbi_bioproject	high		1	4.0	1.0	False	False	False	1	Nosocomial transmission of carbapenem-resistant Klebsiella pneumoniae elucidated by single-nucleotide variation analysis: a case investigation.
PRJNA981541	False	38373647	PMC11055495	10.1016/j.ijid.2024.02.014	europepmc_accession	high		1	4.0	1.0	False	False	False	3	Real-time genomic epidemiologic investigation of a multispecies plasmid-associated hospital outbreak of NDM-5-producing Enterobacterales infections.
PRJNA980722	False	37855460	PMC10715106	10.1128/spectrum.02179-23	europepmc_accession	high	True	1	4.0	1.0	False	False	False	1	Clinical significance of &lt;i&gt;Nosocomiicoccus ampullae&lt;/i&gt; isolated from blood cultures.
PRJNA650119	False	38965152	PMC11224175	10.1186/s13568-024-01737-w	europepmc_accession	medium	True	1	4.0	1.0	False	False	False	3	Complete genome sequence, phenotypic correlation and pangenome analysis of uropathogenic Klebsiella spp.
PRJNA529243	False	31578306	PMC6795395	10.1172/jci.insight.130848	europepmc_accession	high	True	1	4.0	1.0	False	False	False	1	Transmission and clearance of potential procarcinogenic bacteria during fecal microbiota transplantation for recurrent Clostridioides difficile.
PRJEB14532	False	27457073	PMC4960868	10.1186/s13742-016-0137-2	europepmc_accession	high	False	1	4.0	1.0	False	False	False	1	Streaming algorithms for identification of pathogens and antibiotic resistance potential from real-time MinION(TM) sequencing.
PRJNA493667	True					high		0			False	False	True	1	
PRJNA982891	False	38193658	PMC10846127	10.1128/spectrum.03065-23	europepmc_accession	high	False	1	4.0	1.0	False	False	False	1	Rapid nanopore sequencing and predictive susceptibility testing of positive blood cultures from intensive care patients with sepsis.
PRJEB37902	False	32710748	PMC7422900	10.1093/femsec/fiaa147	europepmc_accession,europepmc_title	high	True	2	75.0	18.75	False	False	False	1	Culturable diversity of bacterial endophytes associated with medicinal plants of the Western Ghats, India.
PRJNA664586	False	36016808	PMC9397405	10.3389/fvets.2022.940912	europepmc_accession	high	True	1	4.0	1.0	False	False	False	2	Genetic characterization of hypervirulent <i>Klebsiella pneumoniae</i> responsible for acute death in captive marmosets.
PRJNA953359	True					high		0			False	False	False	10	
PRJNA983061	True					low		0			False	False	False	0	
PRJNA531517	False	31384648	PMC6661503	10.1016/j.dib.2019.104257	europepmc_accession	high	True	1	8.0	2.0	False	False	False	1	Data on whole-genome sequencing of extended-spectrum beta-lactamases producing <i>Enterobacteriaceae</i> isolates from Malaysia.
PRJNA564151	True					low		1	4.0	1.0	True	False	False	2	
PRJNA723854	True					low		0			False	False	False	0	
PRJEB32700	False	31494305		10.1016/j.jgar.2019.08.007	ncbi_bioproject	high		1	56.0	14.0	False	False	False	1	A link between the newly described colistin resistance gene mcr-9 and clinical Enterobacteriaceae isolates carrying bla<sub>SHV-12</sub> from horses in Sweden.
PRJNA739632	True					low		0			False	False	False	0	
PRJNA736994	True					low		0			False	False	False	0	
PRJNA1037744	True					low		0			False	False	False	0	
PRJNA1102902	True					low		0			False	False	False	0	
PRJNA996143	False	38319084	PMC10913460	10.1128/spectrum.04111-23	europepmc_accession	high	True	1	4.0	1.0	False	False	False	1	KPC-2 allelic variants in &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; isolates resistant to ceftazidime-avibactam from Argentina: &lt;i&gt;bla&lt;/i&gt;&lt;sub&gt;KPC-80&lt;/sub&gt;, &lt;i&gt;bla&lt;/i&gt;&lt;sub&gt;KPC-81&lt;/sub&gt;, &lt;i&gt;bla&lt;/i&gt;&lt;sub&gt;KPC-96&lt;/sub&gt; and &lt;i&gt;bla&lt;/i&gt;&lt;sub&gt;KPC-97&lt;/sub&gt;.
PRJNA639351	False	35320327	PMC8942217	10.1371/journal.pone.0265884	europepmc_accession	high	False	1	4.0	1.0	False	False	False	1	Whole genome sequencing of Klebsiella pneumoniae clinical isolates sequence type 627 isolated from Egyptian patients.
PRJNA952959	True					low		0			False	False	False	0	
PRJEB8104	False	38515176	PMC10958879	10.1186/s13059-024-03216-8	europepmc_accession	medium	True	1			False	False	False	4	Cataloging the phylogenetic diversity of human bladder bacterial isolates.
PRJNA445372	False	31954832		10.1016/j.ijantimicag.2020.105903	ncbi_bioproject	high		1	4.0	1.0	False	False	False	2	KPC-2-producing Klebsiella pneumoniae ST147 in a neonatal unit: Clonal isolates with differences in colistin susceptibility attributed to AcrAB-TolC pump.
PRJNA746265	True					high		0			False	False	True	2	
PRJEB37779	False	33613476	PMC7886708	10.3389/fmicb.2021.592291	europepmc_accession	high	True	1	4.0	1.0	False	False	False	1	Plasmid-Borne and Chromosomal ESBL/AmpC Genes in <i>Escherichia coli</i> and <i>Klebsiella pneumoniae</i> in Global Food Products.
PRJNA787449	True					low		0			False	False	False	0	
PRJEB34028	True					low		0			False	False	False	0	
PRJNA485133	False	31127290	PMC6640307	10.1093/jac/dkz183	europepmc_title	high		1	4.0	1.0	False	False	False	1	Reduced ceftazidime and ertapenem susceptibility due to production of OXA-2 in Klebsiella pneumoniae ST258.
PRJEB9824	True					low		0			False	False	False	0	
PRJNA947927	False	37719365	PMC10501869	10.1016/j.apsb.2023.06.003	europepmc_accession	high	True	1	4.0	1.0	False	False	False	1	Polymyxin resistance caused by large-scale genomic inversion due to IS<i>26</i> intramolecular translocation in <i>Klebsiella pneumoniae</i>.
PRJNA1017663	False	38177534	PMC10897476	10.1038/s44321-023-00007-9	europepmc_accession	high	True	1	4.0	1.0	False	False	False	1	Pyridylpiperazine efflux pump inhibitor boosts in vivo antibiotic efficacy against K. pneumoniae.
PRJNA1014981	False	38274740	PMC10808480	10.3389/fmicb.2023.1320312	europepmc_accession	high	True	1	4.0	1.0	False	False	False	1	Machine learning and feature extraction for rapid antimicrobial resistance prediction of <i>Acinetobacter baumannii</i> from whole-genome sequencing data.
PRJNA511988	True					low		0			False	False	False	2	
PRJEB34702	True					low		0			False	False	False	0	
PRJNA493254	False	30323046	PMC6325174	10.1128/aac.01396-18	europepmc_accession	high		1	56.0	14.0	False	False	False	1	OXA-48-Like-Producing Klebsiella pneumoniae in Southern Spain in 2014-2015.
PRJNA868191	False	36610697		10.1016/j.micpath.2023.105969	ncbi_bioproject	high		1	4.0	1.0	False	False	False	1	Antibiotic resistance and virulence characteristics of four carbapenem-resistant Klebsiella pneumoniae strains coharbouring bla<sub>KPC</sub> and bla<sub>NDM</sub> based on whole genome sequences from a tertiary general teaching hospital in central China between 2019 and 2021.
PRJEB36565	False	32066506	PMC7026959	10.1186/s13756-020-0696-y	europepmc_accession,ncbi_bioproject	high	False	2	4.0	1.0	False	False	False	1	Flies from a tertiary hospital in Rwanda carry multidrug-resistant Gram-negative pathogens including extended-spectrum beta-lactamase-producing E. coli sequence type 131.
PRJNA772899	False	37180238	PMC10174314	10.3389/fmicb.2023.1147846	europepmc_accession,ncbi_bioproject	high	True	2	73.0	18.25	False	False	False	1	Plasmid-mediated colistin resistance among human clinical <i>Enterobacterales</i> isolates: national surveillance in the Czech Republic.
PRJNA745055	False	35042478	PMC8764819	10.1186/s12866-021-02413-w	europepmc_accession	low	True	1	4.0	1.0	False	False	False	11	Distribution, characterization, and antibiotic resistance of hypervirulent Klebsiella pneumoniae isolates in a Chinese population with asymptomatic bacteriuria.
PRJNA774102	False	35203816	PMC8868282	10.3390/antibiotics11020213	europepmc_accession	high	True	1	4.0	1.0	False	False	False	1	Massive Spread of OXA-48 Carbapenemase-Producing Enterobacteriaceae in the Environment of a Swiss Companion Animal Clinic.
PRJEB23208	False	29851962	PMC5978789	10.1371/journal.pone.0198103	europepmc_accession	high	True	1	4.0	1.0	False	False	False	2	High prevalence of MRSA and multi-resistant gram-negative bacteria in refugees admitted to the hospital-But no hint of transmission.
PRJEB37472	False	32749955	PMC7641421	10.1099/mgen.0.000419	europepmc_accession	high	True	1	4.0	1.0	False	False	False	1	Community-acquired infection caused by the uncommon hypervirulent <i>Klebsiella pneumoniae</i> ST66-K2 lineage.
PRJNA408214	True					low		0			False	False	True	1	
PRJNA790720	False	40475381	PMC12137328	10.3389/fmicb.2025.1543427	europepmc_accession	medium	False	1	4.0	1.0	False	False	False	1	Diversity of mobile genetic elements in carbapenem-resistant Enterobacterales isolated from the intensive care units of a tertiary care hospital in Northeast India.
PRJDB15848	False	39119043	PMC11306930	10.1093/jacamr/dlae124	europepmc_accession	high	True	1	4.0	1.0	False	False	False	1	Genomic characterization of carbapenemase-producing Enterobacterales from Dhaka food markets unveils the spread of high-risk antimicrobial-resistant clones and plasmids co-carrying <i>bla</i> <sub>NDM</sub> and <i>mcr-1.1</i>.
PRJEB7689	True					low		0	4.0	1.0	False	False	False	0	
PRJNA904531	True					low		0			False	False	False	0	
PRJEB39709	True					low		0			False	False	False	0	
PRJEB53460	False	35899275	PMC9314704	10.1093/ofid/ofac324	europepmc_accession	high	True	1	4.0	1.0	False	False	False	1	Transmission of Antibiotic-Susceptible <i>Escherichia coli</i> Causing Urinary Tract Infections in a Fecal Microbiota Transplantation Recipient: Consequences for Donor Screening?
PRJEB52194	False	37186228	PMC10035410	10.1002/mbo3.1349	europepmc_accession	high	True	1	4.0	1.0	False	False	False	1	High prevalence of bla<sub>CTX-M-15</sub> type extended-spectrum beta-lactamases in Gambian hooded vultures (Necrosyrtes monachus): A threatened species with substantial human interaction.
PRJDB14068	False	36515531	PMC9888285	10.1128/aem.01712-22	europepmc_accession	medium	True	1			False	False	False	2	Disinfectant Susceptibility of Third-Generation-Cephalosporin/Carbapenem-Resistant Gram-Negative Bacteria Isolated from the Oral Cavity of Residents of Long-Term-Care Facilities.
PRJEB45009	True					high		0			False	False	True	1	
PRJEB8302	True					low		0			False	False	False	0	
PRJEB12361	False	27990135	PMC5130978	10.3389/fmicb.2016.01862	europepmc_accession	high	True	1			False	False	False	2	Predominance of CTX-M-15 among ESBL Producers from Environment and Fish Gut from the Shores of Lake Victoria in Mwanza, Tanzania.
PRJNA686374	True					low		0			False	False	False	0	
PRJNA1031676	True					low		0			False	False	False	0	
PRJEB74697	False	38990012	PMC11304683	10.1128/aac.00663-24	europepmc_accession	high		1	3.0	1.0	False	False	False	1	<i>In vivo</i> selection of carbapenem resistance during persistent <i>Klebsiella pneumoniae</i> sequence type 395 bloodstream infection due to OmpK36 deletion.
PRJNA432294	True					low		0			False	False	False	0	
PRJNA687343	True					low		0			False	False	False	0	
PRJDB17235	False	38674079	PMC11049973	10.3390/ijms25084494	europepmc_accession	high	True	1	67.0	22.3333	False	False	False	1	Molecular Epidemiology of Carbapenem-Resistant <i>Klebsiella aerogenes</i> in Japan.
PRJNA1086703	False	38601926	PMC11004243	10.3389/fmicb.2024.1332458	europepmc_accession	medium	True	1	3.0	1.0	False	False	False	1	Detection and characterization of eravacycline heteroresistance in clinical bacterial isolates.
PRJNA553302	True					low		0			False	False	False	0	
PRJNA1100498	False	39171923	PMC11423586	10.1128/msphere.00423-24	europepmc_accession	high	False	1	3.0	1.0	False	False	False	1	&lt;i&gt;In vivo&lt;/i&gt; evolution to hypermucoviscosity and ceftazidime/avibactam resistance in a liver abscess caused by &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; sequence type 512.
PRJNA450215	True					low		0			False	False	False	0	
PRJEB12513	False	29932391	PMC6096937	10.1099/mgen.0.000190	europepmc_accession	medium	True	1	162.0	54.0	False	False	False	7	Genetic analysis of invasive Escherichia coli in Scotland reveals determinants of healthcare-associated versus community-acquired infections.
PRJNA774508	False	35681810	PMC9179660	10.3390/ani12111347	europepmc_accession	medium	False	1	3.0	1.0	False	False	False	3	Phenotypic and Genetic Characterization of <i>Klebsiella pneumoniae</i> Isolates from Wild Animals in Central Italy.
PRJNA717003	True					low		0			False	False	False	0	
PRJNA768347	False	35602062	PMC9121779	10.3389/fmicb.2022.858821	europepmc_accession	high	True	1	15.0	5.0	False	False	False	1	Submarine Outfalls of Treated Wastewater Effluents are Sources of Extensively- and Multidrug-Resistant KPC- and OXA-48-Producing <i>Enterobacteriaceae</i> in Coastal Marine Environment.
PRJEB6921	True					low		0			False	False	False	0	
PRJNA793783	False	35638816	PMC9241947	10.1128/spectrum.00403-22	europepmc_accession	high	True	1	3.0	1.0	False	False	False	1	Spread of the <i>bla</i><sub>OXA-48</sub>/IncL Plasmid within and between Dogs in City Parks, France.
PRJEB30066	True					low		0			False	False	False	0	
PRJEB73531	False	38843111	PMC11156391	10.1371/journal.ppat.1012235	europepmc_accession,ncbi_bioproject	medium	True	2	3.0	1.0	False	False	False	1	Harvesting and amplifying gene cassettes confers cross-resistance to critically important antibiotics.
PRJNA930651	True					low		0			False	False	False	0	
PRJNA917544	False	37417759	PMC10449501	10.1128/msphere.00170-23	europepmc_accession,published_version	high	True	2	3.0	1.0	False	False	False	1	Growth in a biofilm promotes conjugation of a <i>bla</i> <sub>NDM-1</sub>-bearing plasmid between <i>Klebsiella pneumoniae</i> strains.
PRJNA892272	False	36494741	PMC9734789	10.1186/s13756-022-01194-9	europepmc_accession,ncbi_bioproject	high	True	2	3.0	1.0	False	False	False	1	Wastewater-based surveillance in Italy leading to the first detection of mcr-10-positive Klebsiella quasipneumoniae.
PRJNA896194	True					high		0			False	False	False	0	
PRJNA931241	True					low		0			False	False	False	0	
PRJNA912639	False	37098978	PMC10190287	10.1128/mra.00110-23	europepmc_accession	high	True	1	245.0	81.6667	True	False	False	3	Hybrid Genome Assemblies of 245 Avian and Broiler Barn Environment-Associated Escherichia coli Strains Isolated from Saskatchewan Broiler Farms.
PRJNA477326	False	30323331	PMC6289251	10.1038/s41591-018-0202-8	europepmc_accession	high		1	3.0	1.0	False	False	False	2	Precision identification of diverse bloodstream pathogens in the gut microbiome.
PRJEB31941	False	31138611	PMC6652756	10.1128/iai.00211-19	europepmc_accession	high	True	1	3.0	1.0	False	False	False	1	Bacterial Microcompartment-Mediated Ethanolamine Metabolism in Escherichia coli Urinary Tract Infection.
PRJEB27805	True					low		0	3.0	1.0	False	False	False	0	
PRJNA635912	False	32726577	PMC7554178	10.1016/j.chom.2020.06.018	europepmc_accession,europepmc_title	high		2	3.0	1.0	False	False	False	1	An Enteric Pathogen Subverts Colonization Resistance by Evading Competition for Amino Acids in the Gut.
PRJNA910533	False	38086168		10.1016/j.diagmicrobio.2023.116153	ncbi_bioproject	high		1	3.0	1.0	False	False	False	1	Pharmacokinetic/pharmacodynamic evaluation of tigecycline dosing in a hollow fiber infection model against clinical bla-KPC producing Klebsiella Pneumoniae isolates.
PRJNA907796	True					low		0			False	False	False	0	
PRJNA906295	False	36939321	PMC10128065	10.1128/mbio.03538-22	europepmc_accession,ncbi_bioproject	high	True	2	3.0	1.0	False	False	False	1	Deep Divergence and Genomic Diversification of Gut Symbionts of Neotropical Stingless Bees.
PRJNA248593	True					low		0			False	False	False	0	
PRJEB24657	True					low		0	3.0	1.0	False	False	False	0	
PRJNA877287	False	36314799	PMC9667764	10.1128/jcm.01012-22	europepmc_accession	high		1	40.0	13.3333	False	False	False	1	Optimized Method for Bacterial Nucleic Acid Extraction from Positive Blood Culture Broth for Whole-Genome Sequencing, Resistance Phenotype Prediction, and Downstream Molecular Applications.
PRJDB9688	False	33443109	PMC8534291	10.1128/mbio.01954-20	europepmc_accession	high	True	1	3.0	1.0	False	False	False	1	Emergence of the Novel Aminoglycoside Acetyltransferase Variant <i>aac(6')-Ib-D179Y</i> and Acquisition of Colistin Heteroresistance in Carbapenem-Resistant <i>Klebsiella pneumoniae</i> Due to a Disrupting Mutation in the DNA Repair Enzyme MutS.
PRJNA392853	True					low		0			False	False	False	0	
PRJNA534306	False	32766684		10.1093/jac/dkaa279	ncbi_bioproject	medium		1	3.0	1.0	False	False	False	1	Arrival of the rare carbapenemase OXA-204 in Canada causing a multispecies outbreak over 3 years.
PRJNA641131	True					low		0			False	False	False	0	
PRJNA851446	False	35820535	PMC12160923	10.1016/j.ijantimicag.2022.106635	europepmc_accession,europepmc_title	high		2	3.0	1.0	False	False	False	1	Cefiderocol heteroresistance in Klebsiella pneumoniae is linked to mutations in the siderophore receptor cirA and β-lactamase activities.
PRJNA860216	False	37022279	PMC10269823	10.1128/spectrum.04584-22	europepmc_accession	high	True	1	5.0	1.6667	False	False	False	1	First Report of OXA-181-Producing <i>Enterobacterales</i> Isolates in Latin America.
PRJNA269984	True					low		0			False	False	False	3	
PRJNA636411	True					low		0	3.0	1.0	False	False	False	0	
PRJNA631981	True					low		0			False	False	False	0	
PRJNA843571	True					low		0			False	False	False	3	
PRJNA656584	True					low		0			False	False	False	0	
PRJNA680857	True					high		0			False	False	True	1	
PRJEB20997	True					high		0			False	False	True	4	
PRJNA357722	True					high		0			False	False	True	6	
PRJNA339728	False	28368366	PMC5488087	10.3390/microorganisms5020016	ncbi_bioproject	high	False	1	3.0	1.0	False	False	False	1	Insights on Klebsiella pneumoniae Biofilms Assembled on Different Surfaces Using Phenotypic and Genotypic Approaches.
PRJEB13304	False	27297071	PMC4906610	10.1186/s12864-016-2740-0	europepmc_accession	high	True	1	11.0	3.6667	False	False	False	1	Local transmission and global dissemination of New Delhi Metallo-Beta-Lactamase (NDM): a whole genome analysis.
PRJNA354234	True					high		0			False	False	True	5	
PRJNA809422	False	35711756	PMC9197264	10.3389/fmicb.2022.879321	europepmc_accession,europepmc_title	high	True	2	3.0	1.0	False	False	False	1	Changes in Higher-Order Chromosomal Structure of <i>Klebsiella pneumoniae</i> Under Simulated Microgravity.
PRJNA673369	True					low		0			False	False	False	0	
PRJNA481356	True					low		0			False	False	False	0	
PRJNA847761	True					low		0			False	False	False	0	
PRJNA354216	False	29040419	PMC5848316	10.1093/cid/cix885	europepmc_accession	high		1			False	False	False	1	High Rates of Human Fecal Carriage of mcr-1-Positive Multidrug-Resistant Enterobacteriaceae Emerge in China in Association With Successful Plasmid Families.
PRJNA604100	True					low		0			False	False	False	0	
PRJNA1099652	True					low		0			False	False	False	0	
PRJNA482007	True					low		0			False	False	False	0	
PRJNA615899	True					low		0			True	False	False	5	
PRJNA1020811	False	38354391		10.1139/cjm-2023-0175	europepmc_title,published_version	high		2	3.0	1.0	False	False	False	2	Do we still need Illumina sequencing data? Evaluating Oxford Nanopore Technologies R10.4.1 flow cells and the Rapid v14 library prep kit for Gram negative bacteria whole genome assemblies.
PRJNA508495	True					high		0			False	False	True	2	
PRJNA746575	False	35040981	PMC9383231	10.1093/jac/dkab495	europepmc_accession	high		1	3.0	1.0	False	False	False	1	Spread of hypervirulent multidrug-resistant ST147 Klebsiella pneumoniae in patients with severe COVID-19: an observational study from Italy, 2020-21.
PRJNA746285	False	34988712	PMC8731190	10.1007/s10096-021-04388-y	europepmc_accession,europepmc_title	high	False	2	3.0	1.0	False	False	False	1	Interplay between Klebsiella pneumoniae producing KPC-31 and KPC-3 under treatment with high dosage meropenem: a case report.
PRJNA512885	True					low		0			False	False	False	0	
PRJNA730402	True					low		0			False	False	False	0	
PRJEB63064	False	37842870	PMC10619465	10.1080/22221751.2023.2271096	europepmc_accession	high	False	1	3.0	1.0	False	False	False	1	Convergent <i>Klebsiella pneumoniae</i> strains belonging to a sequence type 307 outbreak clone combine cefiderocol and carbapenem resistance with hypervirulence.
PRJNA645311	False	35802735	PMC9269877	10.1371/journal.pone.0270707	europepmc_accession	high	False	1	3.0	1.0	False	False	False	1	Dissemination of carbapenemase-producing Enterobacterales in the community of Rawalpindi, Pakistan.
PRJNA374677	False	29844109	PMC5974468	10.1128/mbio.00542-18	europepmc_accession,europepmc_secondary	high	True	2			False	False	False	2	Genomic and Geographic Context for the Evolution of High-Risk Carbapenem-Resistant <i>Enterobacter cloacae</i> Complex Clones ST171 and ST78.
PRJNA186035	False	29906258	PMC6113870	10.1099/mgen.0.000185	europepmc_accession	medium	True	1			True	True	False	25	GenomeTrakr proficiency testing for foodborne pathogen surveillance: an exercise from 2015.
PRJNA1125279	True					low		0	3.0	1.0	False	False	False	0	
PRJEB55839	False	36695920	PMC9899198	10.1007/s10096-023-04552-6	europepmc_accession	high	True	1	3.0	1.0	False	False	False	1	Klebsiella pneumoniae carrying multiple alleles of antigen 43-encoding gene of Escherichia coli associated with biofilm formation.
PRJNA607307	True					low		0			False	False	False	0	
PRJNA1029998	True					low		0			False	False	False	0	
PRJNA840888	False	37679664	PMC10483776	10.1186/s12879-023-08579-0	europepmc_accession	medium	False	1	142.0	71.0	False	False	False	1	Unraveling virulence determinants in extended-spectrum beta-lactamase-producing Escherichia coli from East Africa using whole-genome sequencing.
PRJNA310664	True					low		0			False	False	False	0	
PRJNA293225	True					high		0			False	False	True	14	
PRJDB11627	True					low		0			False	False	False	0	
PRJNA884103	False	37134153	PMC10259202	10.1126/scitranslmed.adg5562	europepmc_accession,ncbi_bioproject	high		2			False	False	False	1	Gut pathogen colonization precedes bloodstream infection in the neonatal intensive care unit.
PRJEB49171	False	35326769	PMC8944778	10.3390/antibiotics11030305	europepmc_accession	high	True	1	39.0	19.5	False	False	False	1	Molecular Characterization of <i>MCR-1</i> Producing <i>Enterobacterales</i> Isolated in Poultry Farms in the United Arab Emirates.
PRJEB4506	False	24370932	PMC3977605	10.1093/jac/dkt494	ncbi_bioproject	high	False	1	40.0	20.0	False	False	False	1	Rapid single-colony whole-genome sequencing of bacterial pathogens.
PRJEB44904	False	34327794		10.1111/1462-2920.15689	ncbi_bioproject	high		1	53.0	26.5	False	False	False	1	From farm to fork: Colistin voluntary withdrawal in Portuguese farms reflected in decreasing occurrence of mcr-1-carrying Enterobacteriaceae from chicken meat.
PRJNA523425	False	35178041	PMC8846945	10.3389/fmicb.2021.807398	europepmc_accession	medium	True	1	2.0	1.0	False	False	False	1	Sentinel Surveillance Reveals Emerging Daptomycin-Resistant ST736 <i>Enterococcus faecium</i> and Multiple Mechanisms of Linezolid Resistance in Enterococci in the United States.
PRJNA614638	True					low		0			False	False	False	0	
PRJNA516562	True					low		0			False	False	False	0	
PRJEB33365	True					high		0			False	False	True	2	
PRJNA230969	False	29242221	PMC5730671	10.1128/genomea.01321-17	europepmc_accession,ncbi_bioproject	medium	True	2	2244.0	1122.0	False	False	False	15	Species-Wide Collection of <i>Escherichia coli</i> Isolates for Examination of Genomic Diversity.
PRJEB18525	True					low		0			False	False	False	0	
PRJNA599529	False	34347523	PMC8478445	10.1128/aem.00488-21	europepmc_accession	medium		1	37.0	18.5	False	False	False	2	Extended-Spectrum β-Lactamase-Producing and <i>mcr-1</i>-Positive Escherichia coli from the Gut Microbiota of Healthy Singaporeans.
PRJNA628849	True					low		0			False	False	False	0	
PRJNA230968	True					low		0			False	False	False	0	
PRJEB44350	False	34206177	PMC8305640	10.3390/microorganisms9071345	europepmc_accession,ncbi_bioproject	high	False	2	4.0	2.0	False	False	False	1	Nearly Identical Plasmids Encoding VIM-1 and Mercury Resistance in Enterobacteriaceae from North-Eastern Germany.
PRJNA944929	False	37103784	PMC10283472	10.2807/1560-7917.es.2023.28.17.2300196	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	Within-patient horizontal transfer of pOXA-48 from a hypervirulent <i>Klebsiella pneumoniae</i> SL218 to <i>Serratia marcescens</i> following spread of the <i>K. pneumoniae</i> isolate among hospitalised patients, Denmark, 2021.
PRJEB44175	False	34806003	PMC8597959	10.1093/jacamr/dlab156	europepmc_accession,europepmc_title	high	True	2	35.0	17.5	False	False	False	3	Genetic analysis of plasmid-encoded <i>mcr-1</i> resistance in Enterobacteriaceae derived from poultry meat in the Netherlands.
PRJNA300270	False	39680383	PMC11879209	10.1093/jac/dkae454	europepmc_accession	medium	False	1	2.0	1.0	False	False	False	3	Genomic analysis of early ST32 Acinetobacter baumannii strains recovered in US military treatment facilities reveals distinct lineages and links to the origins of the Tn6168 ampC transposon.
PRJNA837742	False	36036576	PMC9603458	10.1128/spectrum.02473-22	europepmc_accession	medium	True	1			False	False	False	1	Spatiotemporal Investigation of Antibiotic Resistance in the Urban Water Cycle Influenced by Environmental and Anthropogenic Activity.
PRJNA610429	True					low		0			False	False	False	0	
PRJEB50707	True					low		0			False	False	False	0	
PRJNA645027	True					low		0			False	False	False	0	
PRJNA636827	False	32973725	PMC7466660	10.3389/fmicb.2020.02007	europepmc_accession,europepmc_title,ncbi_bioproject	high	True	3	4.0	2.0	False	False	False	1	Nanopore MinION Sequencing Reveals Possible Transfer of &lt;i&gt;bla&lt;/i&gt; &lt;sub&gt;KPC-2&lt;/sub&gt; Plasmid Across Bacterial Species in Two Healthcare Facilities.
PRJEB3353	False	23857503	PMC4001082	10.1001/jamainternmed.2013.7734	ncbi_bioproject	high		1	2.0	1.0	False	False	False	3	Rapid bacterial whole-genome sequencing to enhance diagnostic and public health microbiology.
PRJEB44490	True					low		0			False	False	False	0	
PRJNA612645	False	32229491	PMC7269499	10.1128/aac.02200-19	europepmc_accession	medium		1	2.0	1.0	False	False	False	1	Proteomic Changes of Klebsiella pneumoniae in Response to Colistin Treatment and <i>crrB</i> Mutation-Mediated Colistin Resistance.
PRJEB46059	False	34502111	PMC8431375	10.3390/ijms22179196	europepmc_accession,ncbi_bioproject	high	True	2	2.0	1.0	False	False	False	2	Hypervirulent <i>Klebsiella pneumoniae</i> Sequence Type 420 with a Chromosomally Inserted Virulence Plasmid.
PRJNA623051	True					low		0			False	False	False	0	
PRJNA503785	True					high		0			False	False	True	4	
PRJEB33694	False	31527032	PMC6879233	10.1128/aac.01111-19	europepmc_accession	high		1	2.0	1.0	False	False	False	1	Phenotypic, biochemical and genetic analysis of KPC-41, a KPC-3 variant conferring resistance to ceftazidime-avibactam and exhibiting reduced carbapenemase activity.
PRJNA874344	True					low		0			False	False	False	0	
PRJEB25425	True					low		0			False	False	False	0	
