study_accession	paper_short_title	field	proposed_value	applies_whole_project	paper_coverage_fraction	ena_taxon_samples	evidence_quote
PRJNA820335	Clinical CR-hvKP ST11 strains collection	host	Homo sapiens	True		110	Clinical CR-hvKP ST11 strains collection
PRJNA835677	aerobactin in pigs	host	pig	True		150	KpSC isolates from healthy Norwegian pigs were characterized...and compared to KpSC isolates from pigs in Thailand
PRJNA845975	bangladesh_child_heatlh_research_foundation	host	Homo sapiens	True		567	Children hospitalized in these hospitals who matched the WHO-defined clinical criteria for pneumonia, severe pneumonia, severe disease, and meningitis were evaluated by trained research physicians.
PRJNA855907	canadian_blaoxa48	host	Homo sapiens	True		508	Enterobacterales organisms isolated from patients between 2010 and 2021 were eligible for inclusion
PRJNA857686	nevada_health_lab	host	Homo sapiens	True		313	HAI bacteria sequenced at the Nevada State Public Health Lab — HAI (Healthcare-Associated Infections) implies human hosts
PRJNA885285	Cambodia_MDRE	host	Homo sapiens	True		130	Stool samples were collected from 290 participants in 84 families (42 family units in each arm).
PRJNA978102	boston_bsis	host	Homo sapiens	True		108	108 clinical isolates of Klebsiella (mostly Klebsiella pneumoniae) from bloodstream infections (BSI) of hospitalized individuals at Massachusetts General Hospital
PRJNA996149	Cefiderocol_CRE_China	host	Homo sapiens	True		320	A total of 320 non-duplicate CRKp clinical isolates were collected from six hospitals in different cities in China between 2014 and 2022.
PRJDB14656	japanese_surveillance	isolation_source	blood culture	True		234	Whole-genome sequencing of Klebsiella pneumoniae, K. variicola, and K. quasipneumoniae isolated from blood culture positive specimens in Japan.
PRJEB21605	Klebsiella_pneumoniae_pan_Asian_genomic_surveillance_network_pilot_	isolation_source	blood	True		149	K. pneumoniae isolates obtained from blood cultures derived from hospital- and/or community-associated BSI, following routine diagnostic protocols in each hospital laboratory.
PRJEB22252	baby_biomes_uk	isolation_source	feces	True		237	we cultivated bacterial species from human faecal samples on different selective agar media and broth
PRJEB29143	word diagnostics	isolation_source	stool	True		498	Although human gut carriage of Kp is well documented, its role as a reservoir and primary source of high-risk infections remains to be characterized precisely.
PRJEB36486	malawi_colonisation_dynamics	isolation_source	stool	True		221	serial stool sampling and selective ESBL-E culture with subsequent whole genome sequencing of isolates
PRJEB39293	maternal_amr_low_income_countrie	isolation_source	rectal swab	True		161	From 211 isolates from K. pneumoniae, 161 were sequenced (125 BRs, 36 MRs)... rectal samples were to be taken from all mothers on recruitment and from neonates... sterile swabs in Amies Transport Medium with charcoal (Liofilchem) were used
PRJEB5065	mdr_surveillance_uk_ireland	isolation_source	blood	True		381	We used genomic and phylogenetic approaches to analyze a collection of MDR K. pneumoniae isolates systematically obtained from bloodstream infections in hospitals across the United Kingdom and Ireland.
PRJEB58216	greek_cpe	isolation_source	blood	True		209	We recovered 392 CRKP bloodstream isolates from patients admitted to a tertiary referral hospital in Athens, Greece, between 2003 and 2018 and analysed 209 of those by whole genome sequencing.
PRJNA398288	cephalosporin Autralia, NZ and Singapore	isolation_source	blood	True		36	isolated from patients with bloodstream infections
PRJNA549322	NYC_CRE	isolation_source	blood	False		284	patients with CRE bacteremia ... Bloodstream isolates were shipped to a central laboratory.
PRJNA604910	ratcliffe_hospital_sink_drains	isolation_source	hospital sink drain aspirate	True		264	autoclaved tubing cut to 10 inches was used to aspirate from sink p-traps via a sterile 50 ml syringe
PRJNA604975	oxfordshire_bsi_surveillance	isolation_source	blood	True		910	Blood cultures processed by the laboratory were taken as part of routine clinical workup.
PRJNA626430	OXA fitness effect	isolation_source	rectal swab	True		159	recovered from patients in a large hospital in Madrid, Spain... pOXA-48-carrying enterobacteria recovered from patients in a large hospital... from the gut microbiota of hospitalized patients
PRJNA641987	subsaharan_neonatal_outbreak	isolation_source	blood	True		16	We studied all K. pneumoniae bloodstream isolates reported from neonates admitted to the ward
PRJNA648389	texan_esbl	isolation_source	blood	True		126	We defined an index K. pneumoniae bacteraemia isolate as the first occurrence of a positive blood culture
PRJNA789336	CPK bloodstream	isolation_source	blood	True		258	carbapenem-resistant Klebsiella spp. (CRK) bloodstream infections; A total of 187 patients with CRK bacteraemia were recruited.
PRJNA885285	Cambodia_MDRE	isolation_source	stool	True		130	The 290 faecal samples were stored at −80°C in tryptone soya broth/10% glycerol medium immediately on receipt at the laboratory.
PRJNA978102	boston_bsis	isolation_source	blood	True		108	WGS was performed on the first K. pneumoniae bloodstream isolate collected from patients between July 2021 and May 2022.
PRJNA982859	Wastewater_USA_isolates	isolation_source	wastewater	True		183	Miscellaneous bacteria isolated from wastewater and submitted to the FDA GenomeTrakr project.
