study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJNA271899	cpe_surveillance_five_us_hospitals	104.0	train	20260612	1219	2800	730	1	False	"{""Klebsiella aerogenes"": 65, ""Klebsiella grimontii"": 1, ""Klebsiella michiganensis"": 3, ""Klebsiella ornithinolytica"": 2, ""Klebsiella oxytoca"": 24, ""Klebsiella planticola"": 1, ""Klebsiella pneumoniae"": 617, ""Klebsiella pneumoniae CHS 32"": 1, ""Klebsiella pneumoniae CHS 46"": 1, ""Klebsiella pneumoniae CHS 67"": 1, ""Klebsiella quasipneumoniae"": 5, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 1, ""Klebsiella sp. MGH475B"": 1, ""Klebsiella variicola"": 7}"	ok
PRJEB1800	nepal_hospital_outbreak	89.0	train	20260612	121	122	121	1	False	"{""Klebsiella pneumoniae"": 121}"	ok
PRJNA351909	melb_surveillance	16.0	train	20260612	58	59	58	1	False	"{""Klebsiella pneumoniae"": 58}"	ok
PRJNA475751	pittsburgh_edshat		train	20260612	14702	15052	948	1	False	"{""Klebsiella aerogenes"": 52, ""Klebsiella grimontii"": 1, ""Klebsiella huaxiensis"": 2, ""Klebsiella michiganensis"": 35, ""Klebsiella ornithinolytica"": 7, ""Klebsiella oxytoca"": 86, ""Klebsiella pasteurii"": 1, ""Klebsiella planticola"": 6, ""Klebsiella pneumoniae"": 738, ""Klebsiella quasipneumoniae"": 13, ""Klebsiella sp. LTGPAF-6F"": 1, ""Klebsiella spallanzanii"": 1, ""Klebsiella variicola"": 5}"	ok
PRJNA564992	canada_esbl		train	20260612	813	814	142	1	False	"{""Klebsiella pneumoniae"": 142}"	ok
PRJNA789565	michigan_matched_colonising_infecting		train	20260612	330	562	330	1	False	"{""Klebsiella pneumoniae"": 254, ""Klebsiella quasipneumoniae"": 21, ""Klebsiella variicola"": 55}"	ok
PRJEB74192	One Health Norway	3255.0	val	20260612	3261	3831	3261	9	True	"{""Klebsiella pneumoniae"": 3212, ""Klebsiella pneumoniae subsp. pneumoniae"": 16, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 1, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 11, ""Klebsiella quasivariicola"": 1, ""Klebsiella variicola subsp. variicola"": 20}"	ok
PRJNA857686	nevada_health_lab	1345.0	val	20260612	1345	1345	313	1	False	"{""Klebsiella aerogenes"": 5, ""Klebsiella ornithinolytica"": 1, ""Klebsiella oxytoca"": 13, ""Klebsiella pneumoniae"": 291, ""Klebsiella variicola"": 3}"	ok
PRJEB17615	Philipines_network	1290.0	val	20260612	1284	1290	365	1	False	"{""Klebsiella pneumoniae"": 365}"	ok
PRJDB10842	enterobacterales_japan	1240.0	val	20260612	5144	5387	1482	1	False	"{""Klebsiella aerogenes"": 184, ""Klebsiella grimontii"": 1, ""Klebsiella michiganensis"": 28, ""Klebsiella ornithinolytica"": 8, ""Klebsiella oxytoca"": 19, ""Klebsiella pasteurii"": 1, ""Klebsiella planticola"": 1, ""Klebsiella pneumoniae"": 233, ""Klebsiella pneumoniae subsp. ozaenae"": 61, ""Klebsiella pneumoniae subsp. pneumoniae"": 834, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 6, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 59, ""Klebsiella quasivariicola"": 1, ""Klebsiella variicola"": 46}"	ok
PRJEB29740	indian_cpe_surveillance	1072.0	val	20260612	3691	3691	930	1	False	"{""Klebsiella aerogenes"": 4, ""Klebsiella pneumoniae"": 885, ""Klebsiella quasipneumoniae"": 35, ""Klebsiella variicola"": 6}"	ok
PRJEB50614	indian_cpe_surveillance	1072.0	val	20260612	1044	1044	644	1	False	"{""Klebsiella pneumoniae"": 644}"	ok
PRJNA604975	oxfordshire_bsi_surveillance	886.0	val	20260612	4090	4090	910	1	False	"{""Klebsiella oxytoca"": 1, ""Klebsiella pneumoniae"": 909}"	ok
PRJNA768622	Manchester_TRACE	769.0	val	20260612	1642	1642	832	1	False	"{""Klebsiella ornithinolytica"": 63, ""Klebsiella oxytoca"": 26, ""Klebsiella pneumoniae"": 743}"	ok
PRJNA564424	Manchester_TRACE	569.0	val	20260612	569	569	537	1	False	"{""Klebsiella aerogenes"": 2, ""Klebsiella ornithinolytica"": 3, ""Klebsiella oxytoca"": 6, ""Klebsiella pneumoniae"": 526}"	ok
PRJNA686897	chigago_cpe_ndm	486.0	val	20260612	486	486	452	1	False	"{""Klebsiella aerogenes"": 3, ""Klebsiella pneumoniae"": 449}"	ok
PRJEB36683	CC14 KP clone	457.0	val	20260612	1820	1820	1820	1	False	"{""Klebsiella grimontii"": 2, ""Klebsiella michiganensis"": 1, ""Klebsiella pneumoniae"": 235, ""Klebsiella pneumoniae 11227-1"": 1554, ""Klebsiella quasipneumoniae"": 7, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 5, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 9, ""Klebsiella variicola"": 3, ""Klebsiella variicola subsp. variicola"": 4}"	ok
PRJEB29742	columbia_cpe_surveillance	425.0	val	20260612	555	555	555	1	False	"{""Klebsiella aerogenes"": 7, ""Klebsiella grimontii"": 2, ""Klebsiella michiganensis"": 5, ""Klebsiella oxytoca"": 9, ""Klebsiella pneumoniae"": 494, ""Klebsiella quasipneumoniae"": 37, ""Klebsiella variicola"": 1}"	ok
PRJNA557275	columbia_irvine_polymyxin_resistance	388.0	val	20260612	340	340	340	1	False	"{""Klebsiella pneumoniae"": 340}"	ok
PRJEB50822	Spain CPK	336.0	val	20260612	403	403	376	1	False	"{""Klebsiella pneumoniae"": 376}"	ok
PRJNA996149	Cefiderocol_CRE_China	320.0	val	20260612	320	320	320	1	False	"{""Klebsiella pneumoniae"": 320}"	ok
PRJEB39943	CCRE survey	313.0	val	20260612	3434	3434	2904	1	False	"{""Klebsiella pneumoniae"": 2904}"	ok
PRJEB42331	dutch_cpe_surveillance	307.0	val	20260612	167	167	80	1	False	"{""Klebsiella pneumoniae"": 80}"	ok
PRJEB15226	cenre-sepcific typing	288.0	val	20260612	1806	1806	288	1	False	"{""Klebsiella oxytoca"": 18, ""Klebsiella pneumoniae"": 270}"	ok
PRJNA855907	canadian_blaoxa48	270.0	val	20260612	2147	2215	508	1	False	"{""Klebsiella aerogenes"": 7, ""Klebsiella grimontii"": 2, ""Klebsiella michiganensis"": 24, ""Klebsiella ornithinolytica"": 15, ""Klebsiella oxytoca"": 45, ""Klebsiella planticola"": 7, ""Klebsiella pneumoniae"": 375, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 5, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 4, ""Klebsiella sp. 02B20CPO002"": 1, ""Klebsiella sp. 41A20CPO022"": 1, ""Klebsiella variicola"": 1, ""Klebsiella variicola subsp. variicola"": 21}"	ok
PRJDB12075	Desinfectant susceptibility	241.0	val	20260612	225	241	184	1	False	"{""Klebsiella pneumoniae"": 170, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 1, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 6, ""Klebsiella variicola subsp. variicola"": 7}"	ok
PRJNA765801	CPK Enterobacteriales	213.0	val	20260612	514	514	213	1	False	"{""Klebsiella aerogenes"": 5, ""Klebsiella michiganensis"": 1, ""Klebsiella oxytoca"": 12, ""Klebsiella pneumoniae"": 194, ""Klebsiella quasipneumoniae"": 1}"	ok
PRJEB36486	malawi_colonisation_dynamics	203.0	val	20260612	268	268	221	1	False	"{""Klebsiella pneumoniae"": 221}"	ok
PRJEB1563	invasive_kilifi	198.0	val	20260612	198	198	198	1	False	"{""Klebsiella pneumoniae"": 191, ""Klebsiella sp."": 7}"	ok
PRJNA396774	ml_predict_mic	177.0	val	20260612	177	177	177	1	False	"{""Klebsiella pneumoniae"": 177}"	ok
PRJNA395086	aminoglycoside_resistance	166.0	val	20260612	166	166	166	1	False	"{""Klebsiella pneumoniae"": 166}"	ok
PRJEB39293	maternal_amr_low_income_countrie	158.0	val	20260612	422	422	161	1	False	"{""Klebsiella pneumoniae"": 150, ""Klebsiella quasipneumoniae"": 11}"	ok
PRJNA835677	aerobactin in pigs	150.0	val	20260612	150	192	150	1	False	"{""Klebsiella pneumoniae"": 116, ""Klebsiella pneumoniae subsp. pneumoniae"": 16, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 2, ""Klebsiella variicola subsp. variicola"": 16}"	ok
PRJNA646358	Cietnamise ICUs	141.0	val	20260612	207	207	141	1	False	"{""Klebsiella pneumoniae"": 134, ""Klebsiella quasipneumoniae"": 6, ""Klebsiella variicola"": 1}"	ok
PRJNA885285	Cambodia_MDRE	130.0	val	20260612	406	406	130	1	False	"{""Klebsiella pneumoniae"": 89, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 40, ""Klebsiella variicola subsp. variicola"": 1}"	ok
PRJNA978102	boston_bsis	108.0	val	20260612	108	108	108	1	False	"{""Klebsiella pneumoniae"": 94, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 2, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 7, ""Klebsiella variicola subsp. variicola"": 5}"	ok
PRJNA641987	subsaharan_neonatal_outbreak	16.0	val	20260612	16	16	16	1	False	"{""Klebsiella pneumoniae"": 16}"	ok
