study_accession	tag	n_samples	paper	paper_title	study_type	study_type_excluded	study_setting	amr_study	country_base	country_filled	collection_date_base	collection_date_filled	isolation_source_base	isolation_source_filled	host_base	host_filled
PRJEB51676	tail50_99	63	https://pmc.ncbi.nlm.nih.gov/articles/PMC9218594/	Evaluation of Fourier Transform Infrared Spectroscopy as a First-Line Typing Tool for the Identification of Extended-Spectrum β-Lactamase-Producing <i>Klebsiella pneumoniae</i> Outbreaks in the Hospital Setting.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB51925	sub10	8	https://pmc.ncbi.nlm.nih.gov/articles/PMC9769692/	An Emerging Lineage of Uropathogenic Extended Spectrum β-Lactamase Escherichia coli ST127.	observational	False	hospital		1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB51966	tail50_99	59	https://pmc.ncbi.nlm.nih.gov/articles/PMC11025145/	Respiratory carriage of hypervirulent Klebsiella pneumoniae by indigenous populations of Malaysia.	observational	False	community	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB52158	tail10_24	16	https://doi.org/10.3389/fmicb.2025.1603736	Genomic characterization of Vibrio cholerae isolated from clinical and environmental sources during the 2022–2023 cholera outbreak in Kenya	observational	False	mixed	surveillance	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
PRJEB52194	sub10	4	https://pmc.ncbi.nlm.nih.gov/articles/PMC10035410/	High prevalence of bla<sub>CTX-M-15</sub> type extended-spectrum beta-lactamases in Gambian hooded vultures (Necrosyrtes monachus): A threatened species with substantial human interaction.	observational	False	community	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB52722	sub10	2	https://doi.org/10.1101/2022.05.12.491637	Evaluation of metagenomic, 16S rRNA gene and ultra-plexed PCR-based sequencing approaches for profiling antimicrobial resistance gene and bacterial taxonomic composition of polymicrobial samples	other	False	hospital	amr	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB53051	sub10	2	https://pmc.ncbi.nlm.nih.gov/articles/PMC9607333/	Molecular Epidemiology of <i>mcr-1</i>-Positive <i>Escherichia coli</i> and <i>Klebsiella pneumoniae</i> Isolates: Results from Russian Sentinel Surveillance (2013-2018).	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB53419	tail50_99	84	https://pubmed.ncbi.nlm.nih.gov/36640136/	Molecular features and transmission of NDM-producing Enterobacterales in Israeli hospitals.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB53460	sub10	4	https://pmc.ncbi.nlm.nih.gov/articles/PMC9314704/	Transmission of Antibiotic-Susceptible <i>Escherichia coli</i> Causing Urinary Tract Infections in a Fecal Microbiota Transplantation Recipient: Consequences for Donor Screening?	observational	False	hospital	amr	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB53512	sub10	8	https://pmc.ncbi.nlm.nih.gov/articles/PMC9926764/	Genomic analysis of the international high-risk clonal lineage Klebsiella pneumoniae sequence type 395.	observational	False	hospital	surveillance	1.0	1.0	0.125	0.125	0.0	0.0	0.0	1.0
PRJEB53835	test	363			observational	False	community	amr	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0
PRJEB54568	tail25_49	26	https://pmc.ncbi.nlm.nih.gov/articles/PMC9554532/	Phenotypic and molecular characterization of IMP-producing Enterobacterales in Spain: Predominance of IMP-8 in <i>Klebsiella pneumoniae</i> and IMP-22 in <i>Enterobacter roggenkampii</i>.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB54810	tail100	165	https://pmc.ncbi.nlm.nih.gov/articles/PMC9376106/	Adaptation to novel spatially-structured environments is driven by the capsule and alters virulence-associated traits.	experimental_evolution	True			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB54871	sub10	5			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB5495	tail50_99	87			observational	False		amr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB55414	tail100	114	https://pmc.ncbi.nlm.nih.gov/articles/PMC10434048/	Widespread Detection of Yersiniabactin Gene Cluster and Its Encoding Integrative Conjugative Elements (ICE<i>Kp</i>) among Nonoutbreak OXA-48-Producing <i>Klebsiella pneumoniae</i> Clinical Isolates from Spain and the Netherlands.	observational	False	hospital	amr	1.0	1.0	0.34210526315789475	0.34210526315789475	0.0	0.0	0.0	1.0
PRJEB55525	sub10	6	https://pmc.ncbi.nlm.nih.gov/articles/PMC11405340/	Transmission dynamics of ESBL/AmpC and carbapenemase-producing Enterobacterales between companion animals and humans.	observational	False	community	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJEB55839	sub10	3	https://pmc.ncbi.nlm.nih.gov/articles/PMC9899198/	Klebsiella pneumoniae carrying multiple alleles of antigen 43-encoding gene of Escherichia coli associated with biofilm formation.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
PRJEB55873	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC9598702/	Multidrug-Resistant High-Risk <i>Escherichia coli</i> and <i>Klebsiella pneumoniae</i> Clonal Lineages Occur in Black-Headed Gulls from Two Conservation Islands in Germany.	observational	False	community	amr	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJEB55904	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC9606995/	Geno- and Phenotypic Characteristics of a <i>Klebsiella pneumoniae</i> ST20 Isolate with Unusual Colony Morphology.	observational	False	hospital	surveillance	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB56146	test	156	https://pmc.ncbi.nlm.nih.gov/articles/PMC10370044/	Nationwide, population-based observational study of the molecular epidemiology and temporal trend of carbapenemase-producing Enterobacterales in Norway, 2015 to 2021.	observational	False	mixed	amr	1.0	1.0	1.0	1.0	0.9743589743589743	0.9807692307692307	0.0	1.0
PRJEB56148	sub10	6	https://pubmed.ncbi.nlm.nih.gov/34297981/	Molecular Epidemiology and Risk Factors for Extended-Spectrum β-Lactamase-Producing Enterobacterales in Long-Term Care Residents.	observational	False	community	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB56212	tail25_49	36	https://pmc.ncbi.nlm.nih.gov/articles/PMC9960421/	Genomic Characterization of Multidrug-Resistant Extended Spectrum β-Lactamase-Producing <i>Klebsiella pneumoniae</i> from Clinical Samples of a Tertiary Hospital in South Kivu Province, Eastern Democratic Republic of Congo.	observational	False	mixed	amr	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB56668	tail50_99	73	https://pmc.ncbi.nlm.nih.gov/articles/PMC10326032/	Genomic features of Klebsiella isolates from artisanal ready-to-eat food production facilities.	observational	False	community	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB56918	tail100	465	https://pmc.ncbi.nlm.nih.gov/articles/PMC10505216/	Whole genomes from bacteria collected at diagnostic units around the world 2020.	observational	False	mixed	surveillance	1.0	1.0	1.0	1.0	0.9956989247311828	0.9956989247311828	0.0	1.0
PRJEB57159	test	30			observational	False	community	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.16666666666666666
PRJEB57245	tail50_99	85	https://pmc.ncbi.nlm.nih.gov/articles/PMC9854421/	Carbapenemase-Producing <i>Klebsiella pneumoniae</i> in COVID-19 Intensive Care Patients: Identification of IncL-VIM-1 Plasmid in Previously Non-Predominant Sequence Types.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB58018	train	201	https://pmc.ncbi.nlm.nih.gov/articles/PMC12862290/	International spread or local outbreak? Epidemiologic analyses of transmission patterns of NDM-1-producing &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; based on genomic surveillance data, Germany, January 2022 to February 2023.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB58069	sub10	9			observational	False	community	amr	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
PRJEB58136	train	138	https://pmc.ncbi.nlm.nih.gov/articles/PMC11652666/	Limited Evidence of Spillover of Antimicrobial-Resistant Klebsiella pneumoniae from Animal/Environmental Reservoirs to Humans in Vellore, India.	observational	False	mixed	mixed	1.0	1.0	1.0	1.0	0.8913043478260869	0.8913043478260869	0.0	1.0
PRJEB58216	train	209	https://pmc.ncbi.nlm.nih.gov/articles/PMC10483420/	Three <i>Klebsiella pneumoniae</i> lineages causing bloodstream infections variably dominated within a Greek hospital over a 15 year period.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB58365	tail10_24	13	https://pmc.ncbi.nlm.nih.gov/articles/PMC10665453/	Multidrug-resistant isolates from Ukrainian patients in a German health facility: a genomic surveillance study focusing on antimicrobial resistance and bacterial relatedness.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB58617	sub10	5			observational	False		amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB58695	tail10_24	10	https://pmc.ncbi.nlm.nih.gov/articles/PMC12753507/	SeqAfrica: empowering Africa's fight against antimicrobial resistance through genomics.	observational	False		surveillance	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
PRJEB58827	sub10	2	https://pmc.ncbi.nlm.nih.gov/articles/PMC9952161/	Whole-Genome Sequencing Snapshot of Clinically Relevant Carbapenem-Resistant Gram-Negative Bacteria from Wastewater in Serbia.	observational	False	mixed	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB59013	tail25_49	42			observational	False	hospital		1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB59061	sub10	1	https://doi.org/10.1101/2022.02.08.479540	Multi-excitation Raman Spectroscopy Complements Whole Genome Sequencing for Rapid Detection of Bacterial Infection and Resistance in WHO Priority Pathogens	observational	False	hospital	amr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB59337	sub10	5	https://pubmed.ncbi.nlm.nih.gov/37125187/	Highly sensitive quantitative phase microscopy and deep learning aided with whole genome sequencing for rapid detection of infection and antimicrobial resistance.	observational	False	hospital	amr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB59403	tail50_99	59	https://pubmed.ncbi.nlm.nih.gov/37201847/	Carbapenemase-producing Gram-negative bacteria in hospital wastewater, wastewater treatment plants and surface waters in a metropolitan area in Germany, 2020.	observational	False	mixed	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB59858	tail25_49	28	https://pmc.ncbi.nlm.nih.gov/articles/PMC10021837/	Clinical and laboratory factors associated with neonatal sepsis mortality at a major Vietnamese children's hospital.	observational	False	hospital	surveillance	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
PRJEB59975	tail50_99	54	https://pmc.ncbi.nlm.nih.gov/articles/PMC10464136/	Various arrangements of mobile genetic elements among CC147 subpopulations of Klebsiella pneumoniae harboring bla<sub>NDM-1</sub>: a comparative genomic analysis of carbapenem resistant strains.	observational	False	hospital	mixed	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB60070	sub10	2	https://pmc.ncbi.nlm.nih.gov/articles/PMC10135176/	In Vitro Activity of Cefiderocol on Multiresistant Bacterial Strains and Genomic Analysis of Two Cefiderocol Resistant Strains.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB60418	tail10_24	20	https://pmc.ncbi.nlm.nih.gov/articles/PMC10434174/	From Farm to Fork: Persistence of Clinically Relevant Multidrug-Resistant and Copper-Tolerant Klebsiella pneumoniae Long after Colistin Withdrawal in Poultry Production.	observational	False	community	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.95
PRJEB60429	sub10	2	https://pmc.ncbi.nlm.nih.gov/articles/PMC12164281/	Beyond patient contact: combined short- and long read sequencing reveals continuous occurrence of genomically related carbapenemase-producing Enterobacterales and plasmid mobility in a hospital, Germany, 2018 to 2021.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB60446	sub10	2			other	False		surveillance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB60478	tail25_49	41	https://pmc.ncbi.nlm.nih.gov/articles/PMC8060595/	AMR-Diag: Neural network based genotype-to-phenotype prediction of resistance towards β-lactams in &lt;i&gt;Escherichia coli&lt;/i&gt; and &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt;.	observational	False	hospital	surveillance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB60743	tail25_49	38	https://pubmed.ncbi.nlm.nih.gov/37315739/	Genotypic characterisation of carbapenemase-producing organisms obtained in Denmark from patients associated with the war in Ukraine.	observational	False	hospital	amr	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
PRJEB60914	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC10444851/	Antibiotics promote intestinal growth of carbapenem-resistant Enterobacteriaceae by enriching nutrients and depleting microbial metabolites.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB61017	sub10	1			observational	False			1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJEB61083	tail10_24	12	https://pmc.ncbi.nlm.nih.gov/articles/PMC10597170/	Management and control of an outbreak of NDM-producing Klebsiella pneumoniae in a teaching hospital	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB61660	sub10	5	https://pmc.ncbi.nlm.nih.gov/articles/PMC10294845/	Screening of <i>Klebsiella pneumoniae</i> Isolates for Carbapenemase and Hypervirulence-Associated Genes by Combining the Eazyplex<sup>®</sup> Superbug CRE and hvKp Assays.	observational	False	hospital	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB61934	sub10	1			observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB61973	sub10	2	https://pmc.ncbi.nlm.nih.gov/articles/PMC11222139/	Klebsiella oxytoca inhibits Salmonella infection through multiple microbiota-context-dependent mechanisms.	observational	False		surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJEB62836	tail25_49	48	https://pmc.ncbi.nlm.nih.gov/articles/PMC11092894/	Decoding <i>Klebsiella pneumoniae</i> in poultry chain: unveiling genetic landscape, antibiotic resistance, and biocide tolerance in non-clinical reservoirs.	observational	False	community	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB62871	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC10631821/	Evaluation of the RESIST ACINETO multiplex immunochromatographic assay for detection of OXA-23-like, OXA-40/58-like and NDM carbapenemase production in Acinetobacter baumannii.	observational	False			1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJEB63064	sub10	3	https://pmc.ncbi.nlm.nih.gov/articles/PMC10619465/	Convergent <i>Klebsiella pneumoniae</i> strains belonging to a sequence type 307 outbreak clone combine cefiderocol and carbapenem resistance with hypervirulence.	observational	False	hospital		1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
PRJEB63210	tail100	162	https://pmc.ncbi.nlm.nih.gov/articles/PMC11790497/	ESKAPE pathogens rapidly develop resistance against antibiotics in development in vitro.	experimental_evolution	True			1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
PRJEB63349	test	687	https://pmc.ncbi.nlm.nih.gov/articles/PMC11178878/	International and regional spread of carbapenem-resistant Klebsiella pneumoniae in Europe.	observational	False	hospital	amr	1.0	1.0	0.9796215429403202	0.9796215429403202	1.0	1.0	0.0	1.0
PRJEB63361	train	413	https://pmc.ncbi.nlm.nih.gov/articles/PMC12810914/	Carbapenem resistant Klebsiella pneumoniae isolates at a tertiary hospital in Cape Town, South Africa, are dominated by specific local clones rather than previously described international lineages.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB6416	sub10	1			observational	False	hospital	amr	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB64408	tail50_99	95	https://pmc.ncbi.nlm.nih.gov/articles/PMC11101633/	Genomic insights unveil the plasmid transfer mechanism and epidemiology of hypervirulent Klebsiella pneumoniae in Vietnam	observational	False	mixed	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB64632	tail25_49	30	https://pmc.ncbi.nlm.nih.gov/articles/PMC10915899/	Carbapenem- and cefiderocol-resistant <i>Enterobacterales</i> in surface water in Kumasi, Ashanti Region, Ghana.	observational	False	community	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB64702	tail50_99	87	https://pmc.ncbi.nlm.nih.gov/articles/PMC11223429/	Genomic characterization of Klebsiella pneumoniae carbapenemase-producing Klebsiella pneumoniae (KPC-Kp) strains circulating in three university hospitals in Northern Italy over three years.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB64775	tail25_49	25	https://pmc.ncbi.nlm.nih.gov/articles/PMC10829384/	Clinically relevant sequence types of carbapenemase-producing Escherichia coli and Klebsiella pneumoniae detected in Finnish wastewater in 2021-2022.	observational	False	community	amr	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJEB64895	train	142	https://pmc.ncbi.nlm.nih.gov/articles/PMC10668257/	Emergence and persistent spread of carbapenemase-producing <i>Klebsiella pneumoniae</i> high-risk clones in Greek hospitals, 2013 to 2022.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
PRJEB6574	train	214			observational	False	mixed	surveillance	0.8317757009345794	0.8317757009345794	0.8317757009345794	0.8317757009345794	0.8317757009345794	0.8317757009345794	0.8317757009345794	0.8317757009345794
PRJEB66292	sub10	1			experimental_evolution	True			1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB66360	tail50_99	60	https://pmc.ncbi.nlm.nih.gov/articles/PMC10714954/	Heteroresistance to colistin in wild-type &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; isolates from clinical origin.	experimental_evolution	True	hospital	mixed	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB6657	sub10	1			observational	False	community	surveillance	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB6688	tail25_49	38	https://pmc.ncbi.nlm.nih.gov/articles/PMC4214299/	Genomic definition of hypervirulent and multidrug-resistant Klebsiella pneumoniae clonal groups.	observational	False	mixed	surveillance	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
PRJEB67440	tail10_24	17			observational	False	community	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB67696	tail10_24	18	https://doi.org/10.51585/gjm.2024.1.0030	WGS analysis of hypervirulent and MDR Klebsiella pneumoniae from Vietnam reveales an inverse relationship between resistome and virulome	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB67733	tail10_24	11			observational	False	community	surveillance	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJEB67940	tail25_49	36	https://pmc.ncbi.nlm.nih.gov/articles/PMC10924313/	Uncovering the spread of drug-resistant bacteria through next-generation sequencing based surveillance: transmission of extended-spectrum β-lactamase-producing Enterobacterales by a contaminated duodenoscope.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
PRJEB68301	sub10	9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11448410/	Targeted phage hunting to specific &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; clinical isolates is an efficient antibiotic resistance and infection control strategy.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB6891	train	513	https://pmc.ncbi.nlm.nih.gov/articles/PMC5850561/	Gastrointestinal Carriage Is a Major Reservoir of Klebsiella pneumoniae Infection in Intensive Care Patients.	observational	False	hospital	surveillance	0.003898635477582846	1.0	0.003898635477582846	1.0	0.003898635477582846	0.16569200779727095	0.0	1.0
PRJEB6921	sub10	3			observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB70314	tail10_24	15	https://pmc.ncbi.nlm.nih.gov/articles/PMC12909941/	Phage-meropenem synergy against OXA-48-producing Klebsiella pneumoniae clinical isolates.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJEB70870	sub10	6			observational	False	community	amr	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
PRJEB70897	tail10_24	24	https://pmc.ncbi.nlm.nih.gov/articles/PMC10869444/	Rapid typing of <i>Klebsiella pneumoniae</i> and <i>Pseudomonas aeruginosa</i> by Fourier-transform Infrared spectroscopy informs infection control in veterinary settings.	observational	False	community	amr	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB71325	tail10_24	18	https://pmc.ncbi.nlm.nih.gov/articles/PMC11004228/	&lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; exhibiting a phenotypic hyper-splitting phenomenon including the formation of small colony variants.	observational	False	hospital	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB71341	sub10	9	https://pmc.ncbi.nlm.nih.gov/articles/PMC12405260/	Multi-omics investigation reveals unique markers in &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; compared to closely related species.	observational	False	hospital	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB71714	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC11055328/	Short reads-based characterization of pathotype diversity and drug resistance among Escherichia coli isolated from patients attending regional referral hospitals in Tanzania.	observational	False	hospital	surveillance	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
PRJEB71832	sub10	5	https://pmc.ncbi.nlm.nih.gov/articles/PMC11539204/	Colonization with resistant bacteria in hospital employees: an epidemiological surveillance and typing study.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB71895	sub10	2	https://pmc.ncbi.nlm.nih.gov/articles/PMC11096173/	An antiplasmid system drives antibiotic resistance gene integration in carbapenemase-producing Escherichia coli lineages.	experimental_evolution	True	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB72521	tail10_24	12			observational	False			1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB73531	sub10	3	https://pmc.ncbi.nlm.nih.gov/articles/PMC11156391/	Harvesting and amplifying gene cassettes confers cross-resistance to critically important antibiotics.	observational	False	hospital		1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJEB73547	tail25_49	31			experimental_evolution	True			1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
PRJEB73590	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC12722760/	Using metagenomics and whole-genome sequencing to characterize enteric pathogens across various sources in Africa.	observational	False	community	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJEB74083	train	106	https://pmc.ncbi.nlm.nih.gov/articles/PMC11027475/	Emergence of OXA-48-producing <i>Klebsiella pneumoniae</i> in Lithuania, 2023: a multi-cluster, multi-hospital outbreak.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
PRJEB74142	sub10	1			other	False		amr	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
PRJEB74697	sub10	3	https://pmc.ncbi.nlm.nih.gov/articles/PMC11304683/	<i>In vivo</i> selection of carbapenem resistance during persistent <i>Klebsiella pneumoniae</i> sequence type 395 bloodstream infection due to OmpK36 deletion.	observational	False	hospital	mixed	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJEB75744	sub10	2			observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJEB75816	sub10	2	https://pmc.ncbi.nlm.nih.gov/articles/PMC12946264/	Genomic characterization and sub-clustering of Escherichia coli clonal complex 38 reveal host associated genetic markers.	observational	False			1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB76256	tail25_49	30	https://pmc.ncbi.nlm.nih.gov/articles/PMC11760810/	Hospital toilets and drainage systems as a reservoir for a long-term polyclonal outbreak of clinical infections with multidrug-resistant <i>Klebsiella oxytoca</i> species complex.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.9666666666666667
PRJEB76311	tail25_49	49	https://pmc.ncbi.nlm.nih.gov/articles/PMC11471225/	Exploring AMR and virulence in <i>Klebsiella pneumoniae</i> isolated from humans and pet animals: A complement of phenotype by WGS-derived profiles in a One Health study in Egypt.	observational	False	mixed	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB76496	tail25_49	46	https://pmc.ncbi.nlm.nih.gov/articles/PMC11834398/	Tracking clonal and plasmid transmission in colistin- and carbapenem-resistant <i>Klebsiella pneumoniae</i>.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB7657	tail10_24	13			observational	False			0.07692307692307693	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.0	0.0	0.07692307692307693	0.07692307692307693
PRJEB7689	sub10	4			observational	False	hospital	amr	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB76944	sub10	8			observational	False	hospital		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB78367	tail50_99	64	https://pmc.ncbi.nlm.nih.gov/articles/PMC12753507/	SeqAfrica: empowering Africa's fight against antimicrobial resistance through genomics.	observational	False	hospital		0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
PRJEB7967	tail50_99	69	https://pmc.ncbi.nlm.nih.gov/articles/PMC4513082/	Mapping the Evolution of Hypervirulent Klebsiella pneumoniae.	observational	False	mixed	surveillance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB8104	sub10	4	https://pmc.ncbi.nlm.nih.gov/articles/PMC10958879/	Cataloging the phylogenetic diversity of human bladder bacterial isolates.	observational	False		surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB8265	tail50_99	91	https://pmc.ncbi.nlm.nih.gov/articles/PMC11489765/	Molecular mechanisms of re-emerging chloramphenicol susceptibility in extended-spectrum beta-lactamase-producing Enterobacterales.	observational	False	hospital	surveillance	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB8302	sub10	3			observational	False	community	surveillance	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB8303	sub10	1			observational	False	community	surveillance	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB8559	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC4458127/	NxRepair: error correction in de novo sequence assembly using Nextera mate pairs.	other	False		surveillance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB8575	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC4370852/	The carbapenem inactivation method (CIM), a simple and low-cost alternative for the Carba NP test to assess phenotypic carbapenemase activity in gram-negative rods.	observational	False	hospital	amr	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
PRJEB8666	tail100	106	https://pmc.ncbi.nlm.nih.gov/articles/PMC8330565/	The genomic epidemiology of multi-drug resistant invasive non-typhoidal <i>Salmonella</i> in selected sub-Saharan African countries.	observational	False	hospital	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
