study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJEB54568	observational	False	26	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Spain	True		False	human	True		False
PRJNA504784	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable		False		False	human	True		False
PRJNA641166	experimental_evolution	True	25	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Spain	True	rectal swab	True	human	True		False
PRJNA790644	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA890192	observational	False	25	1.0	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Switzerland	True		False	human	True		False
PRJNA667192	observational	False	23	0.92	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	mixed	gradeable	Qatar	True	rectal swab	True	human	True		False
PRJEB9147	experimental_evolution	True			False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB14100	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	United Kingdom	True		False	human	True		False
PRJNA413541	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable		partial	ast_result	gradeable		not_gradeable	USA	True	urinary catheter biofilm	True	human	True		False
PRJNA728968	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	body fluid	True	human	True		False
PRJEB64775	observational	False	25	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Finland	True	wastewater	True	wastewater	True	2021-08-01	True
PRJNA744889	observational	False			True	none	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False		False		False
PRJNA858823	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False		False		False
PRJNA473419	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Ghana	True		False	human	True		False
